kingdom	phylum	class
seq1	Metazoa	Mollusca	Bivalvia
seq10	Chromista	Myzozoa	Dinophyceae
seq100	Metazoa	Arthropoda	Hexanauplia
seq10000	Chromista	Ciliophora	Oligohymenophorea
seq10002	Chromista	NA	Bigyra
seq10003	Protozoa	Choanozoa	Ichthyosporea
seq100075	Metazoa	Arthropoda	Hexanauplia
seq10009	Chromista	Endomyxa	Ascetosporea
seq100110	Metazoa	Nematoda	Chromadorea
seq100118	Chromista	Bacillariophyta	Fragilariophyceae
seq10012	Chromista	Ciliophora	Spirotrichea
seq10014	Metazoa	Nematoda	Chromadorea
seq10016	Chromista	Cercozoa	Imbricatea
seq1002	Chromista	Bacillariophyta	Coscinodiscophyceae
seq10021	Metazoa	Platyhelminthes	Trematoda
seq10025	Chromista	Cercozoa	Imbricatea
seq100266	Chromista	Myzozoa	Dinophyceae
seq10029	Metazoa	Platyhelminthes	Rhabditophora
seq10031	Protozoa	Sarcomastigophora	Acantharea
seq10035	Chromista	Ciliophora	Spirotrichea
seq100356	Protozoa	Choanozoa	Ichthyosporea
seq10040	Chromista	Ciliophora	Oligohymenophorea
seq10041	Chromista	Myzozoa	Dinophyceae
seq100571	Chromista	Myzozoa	Dinophyceae
seq100578	Metazoa	Platyhelminthes	Rhabditophora
seq100607	Chromista	Ciliophora	Spirotrichea
seq10061	Chromista	Heliozoa	Centroplasthelida
seq100635	Chromista	PX clade	Phaeophyceae
seq10066	Chromista	NA	Bigyra
seq10068	Chromista	Heliozoa	Centroplasthelida
seq10069	Metazoa	Nematoda	Chromadorea
seq100727	Chromista	Ciliophora	Litostomatea
seq10075	Chromista	Cercozoa	Imbricatea
seq10076	Metazoa	Platyhelminthes	Trematoda
seq100775	Chromista	Cercozoa	Imbricatea
seq10079	Chromista	Myzozoa	Dinophyceae
seq1008	Chromista	Ciliophora	Spirotrichea
seq10081	Chromista	Bacillariophyta	Bacillariophyceae
seq100830	Chromista	Bacillariophyta	Bacillariophyceae
seq10085	Chromista	Cercozoa	Imbricatea
seq10086	Chromista	Myzozoa	Dinophyceae
seq10087	Chromista	Ciliophora	Spirotrichea
seq100924	Chromista	Myzozoa	Dinophyceae
seq10094	Chromista	Ciliophora	Oligohymenophorea
seq10098	Chromista	Ciliophora	Litostomatea
seq10099	Plantae	Chlorophyta	Pyramimonadophyceae
seq101	Metazoa	Annelida	Polychaeta
seq101009	Metazoa	Mollusca	Gastropoda
seq101018	Fungi	Ascomycota	Saccharomycetes
seq10102	Chromista	Heliozoa	Centroplasthelida
seq101073	Metazoa	Mollusca	Bivalvia
seq1011	Metazoa	Arthropoda	Ostracoda
seq10111	Chromista	Myzozoa	Dinophyceae
seq101116	Metazoa	Mollusca	Bivalvia
seq101157	Chromista	Bacillariophyta	Bacillariophyceae
seq101175	Fungi	Ascomycota	Sordariomycetes
seq101184	Chromista	Ciliophora	Litostomatea
seq101198	Chromista	Myzozoa	Dinophyceae
