phylum	class
seq1	Mollusca	Bivalvia
seq10	NA	Dinophyceae
seq100	Arthropoda	Hexanauplia
seq10000	Ciliophora	Oligohymenophorea
seq10002	NA	Bigyra
seq10003	NA	Ichthyosporea
seq100075	Arthropoda	Hexanauplia
seq10009	Endomyxa	Ascetosporea
seq100110	Nematoda	Chromadorea
seq100118	Bacillariophyta	Fragilariophyceae
seq10012	Ciliophora	Spirotrichea
seq10014	Nematoda	Chromadorea
seq10016	Cercozoa	Imbricatea
seq1002	Bacillariophyta	Coscinodiscophyceae
seq10025	Cercozoa	Imbricatea
seq100266	NA	Dinophyceae
seq10031	NA	Acantharea
seq10035	Ciliophora	Spirotrichea
seq100356	NA	Ichthyosporea
seq10040	Ciliophora	Oligohymenophorea
seq10041	NA	Dinophyceae
seq100607	Ciliophora	Spirotrichea
seq10061	NA	Centroplasthelida
seq10066	NA	Bigyra
seq10068	NA	Centroplasthelida
seq10069	Nematoda	Chromadorea
seq100727	Ciliophora	Litostomatea
seq10075	Cercozoa	Imbricatea
seq10076	Platyhelminthes	Trematoda
seq10079	NA	Dinophyceae
seq1008	Ciliophora	Spirotrichea
seq10081	Bacillariophyta	Bacillariophyceae
seq10085	Cercozoa	Imbricatea
seq10086	NA	Dinophyceae
seq10087	Ciliophora	Spirotrichea
seq100924	NA	Dinophyceae
seq10094	Ciliophora	Oligohymenophorea
seq10098	Ciliophora	Litostomatea
seq10099	Chlorophyta	Pyramimonadophyceae
seq101	Annelida	Polychaeta
seq101009	Mollusca	Gastropoda
seq101018	Ascomycota	Saccharomycetes
seq10102	NA	Centroplasthelida
seq101073	Mollusca	Bivalvia
seq1011	Arthropoda	Ostracoda
seq10111	NA	Dinophyceae
seq101157	Bacillariophyta	Bacillariophyceae
seq101175	Ascomycota	Sordariomycetes
seq101184	Ciliophora	Litostomatea
seq101198	NA	Dinophyceae
seq101205	NA	Choanoflagellata
seq10127	Mollusca	Bivalvia
seq101290	Streptophyta	Magnoliopsida
seq10131	NA	Bigyra
seq101318	Platyhelminthes	Trematoda
seq101319	NA	Xanthophyceae
seq10132	NA	Chrysophyceae
seq10137	NA	Dinophyceae
seq10138	Chytridiomycota	Chytridiomycetes
seq1014	Ciliophora	Spirotrichea
seq10140	Arthropoda	Hexanauplia
seq101421	NA	Cryptophyceae
seq10155	Ciliophora	Oligohymenophorea
seq10159	Bryozoa	Gymnolaemata
seq10176	Ciliophora	Spirotrichea
seq1018	Bacillariophyta	Coscinodiscophyceae
seq101801	Nematoda	Chromadorea
seq10188	Ciliophora	Prostomatea
seq101890	Annelida	Clitellata
seq10193	Nematoda	Chromadorea
seq10198	NA	Dinophyceae
seq10199	Chordata	Actinopteri
seq102	Annelida	Polychaeta
seq10203	Cercozoa	Imbricatea
seq102071	Evosea	Variosea
seq1021	Arthropoda	Ostracoda
seq10211	NA	Dinophyceae
seq10213	NA	Dinophyceae
seq10224	Ciliophora	Prostomatea
seq1023	Nematoda	Chromadorea
seq10240	Chordata	Actinopteri
seq10245	Chlorophyta	Mamiellophyceae
seq102540	Ciliophora	Litostomatea
seq102549	NA	Dinophyceae
seq1026	Arthropoda	Hexanauplia
seq10265	Bacillariophyta	Bacillariophyceae
seq10270	Cercozoa	Imbricatea
seq102717	NA	Bigyra
seq10279	Platyhelminthes	Rhabditophora
seq1028	NA	Dinophyceae
seq102802	Platyhelminthes	Trematoda
seq10283	Ciliophora	Spirotrichea
seq102924	Ascomycota	Eurotiomycetes
seq102961	NA	Dinophyceae
seq103	Annelida	Clitellata
seq1030	Cnidaria	Anthozoa
seq103044	Ciliophora	Oligohymenophorea
seq103050	Mollusca	Bivalvia
seq10306	Ciliophora	Oligohymenophorea
seq10313	Ciliophora	Spirotrichea
seq103149	Ciliophora	Litostomatea
seq103179	Apicomplexa	Conoidasida
seq10323	Ciliophora	Litostomatea
seq103230	Bacillariophyta	Coscinodiscophyceae
seq10324	Ciliophora	Oligohymenophorea
seq1033	Arthropoda	Hexanauplia
seq10331	NA	Dinophyceae
seq103323	Echinodermata	Holothuroidea
seq10335	Ciliophora	Oligohymenophorea
seq10337	Nematoda	Chromadorea
seq1034	NA	Dinophyceae
seq10341	NA	Bigyra
seq103436	Apicomplexa	Conoidasida
seq103472	Nemertea	Palaeonemertea
seq1035	Arthropoda	Ostracoda
seq1036	Ciliophora	Spirotrichea
seq103613	Ciliophora	Spirotrichea
seq10365	Ciliophora	Litostomatea
seq10370	Ciliophora	Spirotrichea
seq10373	NA	Cryptophyceae
seq10377	Porifera	Calcarea
seq1039	Ascomycota	Saccharomycetes
seq103914	Annelida	Polychaeta
seq103972	Annelida	Clitellata
seq104	Arthropoda	Hexanauplia
seq1040	Platyhelminthes	Rhabditophora
seq10400	Mollusca	Bivalvia
seq10402	Ciliophora	Spirotrichea
seq10408	Nematoda	Chromadorea
seq10410	Ciliophora	Plagiopylea
seq104145	NA	Chrysophyceae
seq104149	Ciliophora	Karyorelictea
seq10418	Nematoda	Enoplea
seq10424	NA	Dinophyceae
seq10433	Ciliophora	Oligohymenophorea
seq104341	NA	Dinophyceae
seq10441	Ciliophora	Spirotrichea
seq104429	Basidiomycota	Tritirachiomycetes
seq10444	Nematoda	Chromadorea
seq104461	Bacillariophyta	Bacillariophyceae
seq10448	Chytridiomycota	Chytridiomycetes
seq104492	Nematoda	Chromadorea
seq1045	Ciliophora	Oligohymenophorea
seq10452	NA	Dinophyceae
seq10458	NA	Dinophyceae
seq1046	Arthropoda	Hexanauplia
seq10461	Bacillariophyta	Bacillariophyceae
seq10465	Nematoda	Chromadorea
seq10468	Bacillariophyta	Bacillariophyceae
seq104686	Discosea	Flabellinia
seq10474	Nematoda	Chromadorea
seq10477	Annelida	Polychaeta
seq104796	Cercozoa	Imbricatea
seq1048	Bacillariophyta	Coscinodiscophyceae
seq10483	Chytridiomycota	Chytridiomycetes
seq104856	NA	Breviatea
seq10486	Bacillariophyta	Bacillariophyceae
seq104916	Ciliophora	Nassophorea
seq10493	Platyhelminthes	Rhabditophora
seq10497	Ciliophora	Spirotrichea
seq10498	Mollusca	Gastropoda
seq1050	Ciliophora	Spirotrichea
seq105005	NA	Dinophyceae
seq1051	Arthropoda	Ostracoda
seq105144	Ciliophora	Litostomatea
seq10518	Platyhelminthes	Rhabditophora
seq105198	Mollusca	Bivalvia
seq10521	Nematoda	Chromadorea
seq105220	Mollusca	Gastropoda
seq105258	Ciliophora	Colpodea
seq105259	Ciliophora	Colpodea
seq10526	NA	Raphidophyceae
seq1053	Cnidaria	Hydrozoa
seq10531	Ciliophora	Spirotrichea
seq105349	NA	Dinophyceae
seq105376	Ciliophora	Spirotrichea
seq1054	NA	Dinophyceae
seq10544	Bacillariophyta	Mediophyceae
seq105479	Streptophyta	Magnoliopsida
seq10549	Ciliophora	Spirotrichea
seq1055	NA	Dinophyceae
seq105526	Platyhelminthes	Trematoda
seq105589	Cercozoa	Imbricatea
seq10560	Ciliophora	Litostomatea
seq105644	Endomyxa	Ascetosporea
seq10568	Endomyxa	Phytomyxea
seq105713	Arthropoda	Hexanauplia
seq10573	Bacillariophyta	Bacillariophyceae
seq10576	NA	Bigyra
seq10582	Bryozoa	Gymnolaemata
seq10588	Ciliophora	Spirotrichea
seq105896	Nematoda	Enoplea
seq105897	NA	Developea
seq10593	Nematoda	Chromadorea
seq106	NA	Dinophyceae
seq10614	Ciliophora	Karyorelictea
seq10621	NA	Bigyra
seq106259	Cercozoa	Thecofilosea
seq10626	NA	Chrysophyceae
seq106267	Chytridiomycota	Chytridiomycetes
seq10631	NA	Dinophyceae
seq10639	Nematoda	Chromadorea
seq1064	NA	Dictyochophyceae
seq10640	Nematoda	Chromadorea
seq10641	Cercozoa	Imbricatea
seq106415	Nematoda	Chromadorea
seq10645	NA	Dictyochophyceae
seq106502	NA	Dinophyceae
seq10651	Nematoda	Chromadorea
seq10653	Ciliophora	Litostomatea
seq106547	NA	Bigyra
seq10660	Endomyxa	Phytomyxea
seq1067	NA	Dinophyceae
seq10677	Bacillariophyta	Bacillariophyceae
seq106789	Nematoda	Chromadorea
seq1068	Cnidaria	Hydrozoa
seq10685	Bacillariophyta	Bacillariophyceae
seq1069	Platyhelminthes	Rhabditophora
seq106908	Basidiomycota	Agaricomycetes
seq10691	Ciliophora	Spirotrichea
seq10697	NA	Dinophyceae
seq10699	NA	Dinophyceae
seq107	Annelida	Polychaeta
seq10700	Nematoda	Chromadorea
seq107038	NA	Dinophyceae
seq10706	Annelida	Polychaeta
seq10708	NA	Cryptophyceae
seq10711	Ciliophora	Oligohymenophorea
seq1072	Ascomycota	Saccharomycetes
seq10723	Arthropoda	Hexanauplia
seq10729	NA	Dinophyceae
seq1073	Cercozoa	Imbricatea
seq1075	Bryozoa	Gymnolaemata
seq10753	Mollusca	Gastropoda
seq10754	NA	Dinophyceae
seq10757	Cercozoa	Thecofilosea
seq1076	Bacillariophyta	Coscinodiscophyceae
seq107627	Bacillariophyta	Bacillariophyceae
seq107633	Ascomycota	Pezizomycetes
seq10766	Ciliophora	Oligohymenophorea
seq107729	NA	Dinophyceae
seq107753	Cercozoa	Thecofilosea
seq107767	Arthropoda	Hexanauplia
seq1078	Bryozoa	Gymnolaemata
seq10783	Bacillariophyta	Coscinodiscophyceae
seq10787	Cercozoa	Imbricatea
seq1079	Nematoda	Enoplea
seq107910	NA	Dinophyceae
seq10794	Ciliophora	Oligohymenophorea
seq107942	Arthropoda	Hexanauplia
seq10795	Nematoda	Chromadorea
seq108	Chordata	Ascidiacea
seq108011	Ciliophora	Spirotrichea
seq108017	NA	Cryptophyceae
seq10804	Rotifera	Eurotatoria
seq10807	Nematoda	Chromadorea
seq1081	NA	Choanoflagellata
seq10810	Nematoda	Chromadorea
seq10818	Bacillariophyta	Mediophyceae
seq10819	NA	Bigyra
seq10823	NA	Bigyra
seq10824	Ciliophora	Litostomatea
seq10827	Bacillariophyta	Fragilariophyceae
seq10829	Ciliophora	Litostomatea
seq1083	Platyhelminthes	Rhabditophora
seq10830	Ciliophora	Spirotrichea
seq108359	Ciliophora	Litostomatea
seq108371	Platyhelminthes	Rhabditophora
seq10839	NA	Dinophyceae
seq10846	Ciliophora	Oligohymenophorea
seq1086	NA	Choanoflagellata
seq10864	Nematoda	Chromadorea
seq10870	Bacillariophyta	Bacillariophyceae
seq10872	Ciliophora	Litostomatea
seq10876	NA	Dinophyceae
seq10879	Nematoda	Chromadorea
seq10880	Nematoda	Chromadorea
seq108839	Endomyxa	Phytomyxea
seq10886	Rhodophyta	Florideophyceae
seq10888	Ciliophora	Oligohymenophorea
