Sample_ID	d14N_15N	Norm_d14N_15N	d12C_13C	Norm_d12C_13C	Remarks	QC	MISS
2C10EB1	-8.889	-8.809624933	-20.51	-19.79994945		OK	
2C10EB2	-11.148	-11.04380571	-20.367	-19.64061764		OK	
2C10EB3	-11.341	-11.41014091	-18.433	-18.30061497		OK	
2C10RB1	0.241	0.220065402	-24.641	-24.49541966		OK	
2C10RB2	-0.42	-0.43367231	-22.693	-22.51753479		OK	
2C10RB3	0.456	0.432703236	-22.734	-22.55974108		OK	
2C10SB1	-21.969	-21.74591733	-19.212	-18.5082432		OK	
2C10SB2	-23.551	-23.31053618	-19.538	-18.83973171		OK	
2C10SB3	-25.278	-25.01856194	-20.438	-19.87067583		OK	
2C11RB1	4.259031841	4.314735872	-21.86762752	-21.17099919	N under QL	N_und_QL	
2C11RB2	3.911940269	3.779878087	-21.99688605	-21.43589244	N under QL	N_und_QL	
2C11RB3	-1.598	-1.737862938	-21.001	-20.99573325		OK	
2C11SB1	-7.91	-8.004045687	-21.58	-20.91320971		OK	
2C11SB2	-5.288	-5.401078138	-20.703	-19.81620493		OK	
2C11SB3	-7.135	-7.234671221	-20.846	-19.95957393		OK	
2C12RB1	-2.818	-2.949007259	-23.374	-23.17788614		OK	
2C12RB2	-1.827	-1.965200683	-23.954	-23.97417836		OK	
2C12RB3	-8.534	-8.623516225	-24.145	-24.02110236		OK	
2C12SB1	-9.396	-9.47925918	-20.817	-20.79242078		OK	
2C12SB2	8.140614897	8.014131079	-21.64060422	-21.08498537	N under QL	N_und_QL	
2C12SB3	9.09266713	8.913101402	-21.49298814	-20.99013193	N under QL	N_und_QL	
2C13RB1	-7.5	-7.597021776	-27.85	-27.98723114		OK	
2C13RB2	1.378	1.216535013	-26.655	-26.68170108		OK	
2C13RB3	4.049	3.868146883	-27.044	-27.10072016		OK	
2C13SB1	-4.952	-5.067517079	-24.793	-24.66217604		OK	
2C13SB2	-6.93	-7.031159266	-25.027	-24.91277106		OK	
2C13SB3	-5.974	-6.082098634	-24.215	-24.05974535		OK	
2C14RB1	-0.934137103	3.149975522	-31.12548499	-31.12634482	N and C under QL	NC_und_QL	
2C14RB2	6.40404665	13.23113423	-29.36145045	-28.73233179	N and C under QL	NC_und_QL	
2C14RB3	NA	NA	-29.27020285	-28.27754384	N and C under QL	NC_und_QL	N
2C14SB1	0.957288804	2.012419046	-24.95780352	-23.87555517	N and C under QL	NC_und_QL	
2C14SB2	2.386309475	3.828898897	-25.02308131	-23.81793036	N and C under QL	NC_und_QL	
2C14SB3	2.181946069	3.415701262	-25.40559076	-24.38591786	N and C under QL	NC_und_QL	
2C15RB1	7.015646145	6.942535131	-23.62529661	-23.2944762	N under QL	N_und_QL	
2C15RB2	7.044632665	7.07232607	-24.0126019	-23.69969723	N under QL	N_und_QL	
2C15RB3	6.827128594	6.907750795	-24.21886924	-23.90928696	N under QL	N_und_QL	
2C15SB1	7.004089788	7.062967876	-21.61234905	-20.95146589	N under QL	N_und_QL	
2C15SB2	6.897949417	7.011124565	-21.48677693	-20.81982331	N under QL	N_und_QL	
2C15SB3	5.552318931	5.887077394	-22.53043837	-21.71446941	N under QL	N_und_QL	
2C16EB1	2.355178227	3.47137941	-22.63123034	-21.36156671	N under QL	N_und_QL	
2C16EB2	4.962392258	6.320318311	-22.60696582	-21.29722541	N and C under QL	NC_und_QL	
2C16EB3	4.299732298	5.66246489	-21.17105858	-19.76279542	N under QL	N_und_QL	
2C16RB1	6.813754094	6.042277246	-17.97777386	-17.81006485		OK	
2C16RB2	6.604039655	5.784693094	-17.67889673	-17.55112926		OK	
2C16RB3	5.49807409	4.929104515	-17.7167495	-17.37463551		OK	
2C16SB1	3.568462289	3.479532926	-19.34301666	-18.58415381	N under QL	N_und_QL	
2C16SB2	3.308054561	3.248001767	-17.58949417	-16.59360561	N under QL	N_und_QL	
2C16SB3	2.812689657	2.791489761	-18.04771063	-17.04158952	N under QL	N_und_QL	
2C17EB1	3.629	3.632242191	-19.964	-19.63033468		OK	
2C17EB2	3.529	3.533561907	-18.66	-18.64073026		OK	
2C17EB3	2.955	2.967137078	-19.708	-19.71076633		OK	
2C17RB1	6.115585464	8.285474793	-25.34018904	-24.61032093	N under QL	N_und_QL	
2C17RB2	0.782	0.82281451	-22.775	-21.80278037	N and C under QL	NC_und_QL	
