SiteA	SiteB	Mads_calc
1	3	67.52082
1	4	203.5346
1	5	299.9042
1	6	342.608
1	7	364.7415
1	8	253.3926
1	9	222.0133
1	10	178.1717
1	11	321.3932
1	12	346.2195
1	13	372.665
1	14	441.4465
1	15	497.5172
1	16	485.8853
1	17	509.7872
1	18	556.8605
1	19	563.6792
1	20	548.9087
1	21	560.6143
1	23	608.2833
1	24	595.5255
1	25	556.0494
1	26	511.4784
1	27	478.3603
1	28	448.5735
1	29	488.3162
1	30	454.5956
1	31	498.471
1	32	676.7998
1	33	698.4288
3	4	136.4291
3	5	233.2096
3	6	275.4479
3	7	298.0524
3	8	186.7614
3	9	154.9969
3	10	112.1843
3	11	254.9692
3	12	279.6774
3	13	305.8267
3	14	375.4623
3	15	430.7079
3	16	419.5726
3	17	445.685
3	18	492.2872
3	19	497.7841
3	20	482.1595
3	21	493.6235
3	23	541.0084
3	24	528.8686
3	25	489.1565
3	26	444.5576
3	27	411.8182
3	28	382.0314
3	29	421.7708
3	30	387.9645
3	31	431.8398
3	32	610.3691
3	33	632.1162
4	5	96.3696
4	6	190.9462
4	7	198.0168
4	8	158.1129
4	9	126.7336
4	10	83.51549
4	11	225.7883
4	12	250.9965
4	13	276.6459
4	14	346.6634
4	15	401.7943
4	16	390.2514
4	17	412.9397
4	18	460.249
4	19	468.8672
4	20	453.3607
4	21	464.6553
4	23	498.3593
4	24	486.4266
4	25	446.9183
4	26	401.7904
4	27	369.0543
4	28	353.2615
4	29	392.3861
4	30	359.2837
4	31	402.923
4	32	568.1407
4	33	588.4757
5	6	94.16563
5	7	101.6215
5	8	183.6472
5	9	222.7556
5	10	179.9774
5	11	155.5886
5	12	179.2624
5	13	194.2067
5	14	263.6952
5	15	319.266
5	16	307.7542
5	17	330.5294
5	18	377.4278
5	19	386.046
5	20	371.0395
5	21	382.0035
5	23	402.0498
5	24	389.528
5	25	350.141
5	26	305.217
5	27	272.3629
5	28	260.0445
5	29	299.5511
5	30	276.7264
5	31	320.7198
5	32	471.4493
5	33	492.1952
6	7	36.73607
6	8	89.36788
6	9	144.7641
6	10	174.8856
6	11	62.13119
6	12	85.42299
6	13	102.8738
6	14	172.5094
6	15	227.755
6	16	215.8034
6	17	242.7321
6	18	289.3344
6	19	294.8313
6	20	279.2067
6	21	290.6707
6	23	320.8456
6	24	308.7058
6	25	268.9937
6	26	224.3947
6	27	191.4259
6	28	171.5074
6	29	211.2467
6	30	185.0116
6	31	228.887
6	32	390.6271
6	33	410.844
7	8	112.6484
7	9	168.0156
7	10	198.3699
7	11	81.85973
7	12	102.4159
7	13	104.541
7	14	174.0296
7	15	229.4856
7	16	217.5886
7	17	241.0419
7	18	287.9403
7	19	296.3804
7	20	281.3738
7	21	292.4903
7	23	302.002
7	24	289.4803
7	25	250.0042
7	26	205.1692
7	27	172.3151
7	28	164.005
7	29	203.8078
7	30	180.6869
7	31	231.0542
7	32	371.4015
7	33	391.9147
8	9	55.98857
8	10	86.31714
8	11	68.6531
8	12	94.33344
8	13	120.1609
8	14	189.4713
8	15	244.953
8	16	232.8233
8	17	260.4334
8	18	306.4433
8	19	311.6183
8	20	296.9047
8	21	307.4867
8	23	355.5465
8	24	343.3176
8	25	303.5164
8	26	258.7705
8	27	226.1525
8	28	196.3656
8	29	235.9269
8	30	202.5916
8	31	246.585
8	32	424.8247
8	33	445.3668
9	10	55.34877
9	11	124.2531
9	12	149.4613
9	13	175.1107
9	14	245.1282
9	15	300.2591
9	16	288.4834
9	17	311.4045
9	18	358.7138
9	19	367.332
9	20	351.8255
9	21	363.1201
9	23	410.7033
9	24	398.7706
9	25	359.2623
9	26	314.1345
9	27	281.3984
9	28	251.7263
9	29	290.8509
9	30	257.7484
9	31	301.3878
9	32	480.1919
9	33	501.0269
10	11	154.1965
10	12	179.5227
10	13	205.4682
10	14	274.8677
10	15	330.4384
10	16	318.7486
10	17	341.7019
10	18	388.6003
10	19	397.2185
10	20	382.2119
10	21	393.176
10	23	441.1467
10	24	428.6249
10	25	389.2379
10	26	344.3138
10	27	311.4597
10	28	282.0839
10	29	321.2341
10	30	287.8989
10	31	331.8923
10	32	510.5462
10	33	531.2921
11	12	26.38854
11	13	57.25703
11	14	127.0385
11	15	182.4054
11	16	170.3046
11	17	193.5508
11	18	240.8602
11	19	249.4784
11	20	234.2079
11	21	245.4134
11	23	293.7758
11	24	285.137
11	25	245.75
11	26	200.297
11	27	167.5609
11	28	134.4464
11	29	173.7268
11	30	139.8948
11	31	183.7702
11	32	366.2364
11	33	386.8643
12	13	47.13885
12	14	116.5384
12	15	172.1091
12	16	159.6865
12	17	183.3726
12	18	230.271
12	19	238.8892
12	20	223.8826
12	21	234.8466
12	23	283.3358
12	24	276.2456
12	25	236.8587
12	26	191.9346
12	27	159.0805
12	28	124.3282
12	29	163.0195
12	30	129.5695
12	31	173.5629
12	32	358.1669
12	33	378.2948
13	14	69.10661
13	15	125.1773
13	16	113.0476
13	17	137.4474
13	18	184.5206
13	19	191.3394
13	20	176.5689
13	21	188.2744
13	23	236.1368
13	24	229.5291
13	25	191.5493
13	26	146.9783
13	27	113.8602
13	28	76.82652
13	29	116.2249
13	30	82.01973
13	31	126.1312
13	32	313.1537
13	33	333.7817
14	15	73.77004
14	16	76.07546
14	17	84.91546
14	18	132.2248
14	19	144.5609
14	20	149.5395
14	21	163.8626
14	23	213.5611
14	24	206.9277
14	25	229.9394
14	26	185.1044
14	27	152.2503
14	28	104.7771
14	29	143.552
14	30	81.6351
14	31	103.5554
14	32	351.6619
14	33	367.7272
15	16	63.7356
15	17	30.58422
15	18	77.48262
15	19	90.14058
15	20	146.0941
15	21	161.2188
15	23	210.9173
15	24	204.284
15	25	257.3671
15	26	229.8565
15	27	197.0024
15	28	143.3302
15	29	181.6051
15	30	106.1612
15	31	101.8964
15	32	367.8179
15	33	365.5222
16	17	68.05855
16	18	115.3679
16	19	112.0274
16	20	98.40937
16	21	113.6232
16	23	163.4998
16	24	157.214
16	25	209.9152
16	26	191.6987
16	27	158.9626
16	28	104.8795
16	29	143.5363
16	30	65.95804
16	31	53.77503
16	32	318.042
16	33	317.1916
17	18	47.1913
17	19	59.58861
17	20	134.6736
17	21	160.9299
17	23	219.4696
17	24	213.1714
17	25	265.9294
17	26	240.9554
17	27	207.7193
17	28	153.6362
17	29	192.204
17	30	117.1454
17	31	109.962
17	32	372.2589
17	33	369.8452
18	19	48.03444
18	20	118.2822
18	21	149.379
18	23	207.7406
18	24	203.0548
18	25	255.6669
18	26	278.4374
18	27	254.4396
18	28	200.4133
18	29	238.51
18	30	163.4515
18	31	122.2608
