cube_d14N_15N	d12C_13C	log_N	log_C	log_CN_ratio	log_NP_ratio	Dry_matter	Grain_size	Water_content	log_Organic_content	log_Inorganic_content	log_TP	Organic_content	Inorganic_content	C	N	log_PO4	log_Si	log_Chlorophyll	Salinity	Temperature	log_NO2	log_NO3	log_NH3	log_DN	Time	Latitude	Longitude	NO2	NO3	NH3	DN	PO4	Si	season	habitat	sal_group	cluster
autumn_1_rocks	17007.8751749728	-33.63798969	5.3900677081987	7.70580206684084	2.4698850382329	6.275159876225	0.790126739666667	2	0.381657154666667	-4.38065708834348	-4.73382456399874	-0.885092168026296	0.013007192	0.009077479	2454.710964	228.343411066667	-0.162518929497775	2.28136145654242	0.845411650897727	28.44073047	15.92016506	-0.393042588109607	2.55334381134123	1.73958859689915	2.95595140354215	24-09-19	55.4464839	8.4066144	0.675	12.85	5.695	19.22	0.85	9.79	autumn	rocks	3	1
autumn_1_sand	9966.05854927138	-24.0133823466667	4.10773981127543	6.20190328639793	2.24831415486834	5.90854602636163	0.814219661666667	2	0.330116111	-4.99777611049111	-5.24741517362845	-1.8008062150862	0.00675721133333333	0.00526226266666667	497.558366033333	60.8618694833333	-1.32802545299591	2.39698576841553	1.19180043612931	31.40622371	14.86349869	-1.32802545299591	0.795252403497099	-0.478035800943	1.1314021114911	24-09-19	55.46983904	8.31535033	0.265	2.215	0.62	3.1	0.265	10.99	autumn	sand	3	1
autumn_10_eelgrass	4577.47859403388	-19.2470606866667	6.25168996881764	7.36830303766631	1.27076374838943	7.88238399004917	0.793977319666667	2	0.387804848333333	-5.13752105668723	-5.50302265793344	-1.63069402123153	0.005930045	0.00408625	1685.227619	527.605678366667	-0.156653810045377	3.60127699337781	1.29533560081753	29.95134094	16.59964752	-1.89711998488588	-0.765717873394781	1.0952733874026	1.28232177073691	09-09-19	56.55391126	8.61017776	0.15	0.465	2.99	3.605	0.855	36.645	autumn	eelgrass	3	10
autumn_10_rocks	19731.8711316798	-23.19089851	7.18148503863381	7.92137740860421	0.894043049794132	8.37367778458236	0.808241221666667	1	0.338299697	-4.01388228527131	-3.53968163544258	-1.19219274594854	0.0186400786666667	0.029293171	2772.54694866667	1361.80542493333	-0.083381608939051	3.55177024014153	1.63005917945528	29.89684525	16.1827774	-1.36649173382371	0.113328685307003	2.00619857991212	2.17588743994809	10-09-19	56.55032935	8.61454023	0.255	1.12	7.435	8.81	0.92	34.875	autumn	rocks	3	10
autumn_10_sand	65.1988684729245	-19.07288358	6.62379713360508	7.34869776401527	0.87905131038987	8.06600296489964	0.801420058	2	0.367042222333333	-4.90065714555617	-5.72294772552164	-1.44220583129455	0.007461021	0.00327359	1556.55000166667	758.2422065	-0.502526820951296	3.62620585958588	1.30349917802567	30.00251403	16.72975922	-1.58474529984373	-0.502526820951296	0.741937344729377	1.0681530811834	09-09-19	56.55925617	8.61504498	0.205	0.605	2.1	2.91	0.605	37.57	autumn	sand	3	10
autumn_11_rocks	25187.3419122619	-21.20087496	6.22383934808482	8.13005814970731	2.06036948148871	7.20436180917883	0.772816935	1.33333333333333	0.410559220666667	-4.09964058475449	-4.55340222764743	-0.980522461094013	0.0166389766666667	0.0138539096666667	3549.53557166667	625.541081666667	0.378436435720245	2.41412646772695	0.30787215114956	28.69282292	18.0800972	-2.59026716544583	-0.553385238184787	1.01884732019925	1.22964055107451	02-09-19	56.8039704	10.282349	0.075	0.575	2.77	3.42	1.46	11.18	autumn	rocks	3	11
autumn_11_sand	8149.81408338597	-20.2296628566667	5.4006311884399	6.77827112978555	1.53179062120842	6.73609523213947	0.824092289666667	2	0.309383333333333	-5.41146660641628	-5.79956362464635	-1.33546404369957	0.00486003966666667	0.003043568	880.3176386	225.6933315	-0.438504962186365	1.99673904991459	0.261714614259715	29.26305749	17.19214821	-3.68887945411394	-2.00248050054371	-0.174353387144778	0	02-09-19	56.79719521	10.28607025	0.025	0.135	0.84	1	0.645	7.365	autumn	sand	3	11
autumn_12_rocks	11850.3343282452	-23.7243889533333	6.4869433224959	7.59024939816778	1.25745675563925	7.94175515516501	0.813469868333333	2	0.353582474666667	-4.33771085360609	-4.95628743775363	-1.45481183266911	0.0139532956666667	0.00866702	1989.28789333333	696.857618	0.211070970079941	4.44851637594271	1.21426500881286	19.19471169	15.94149971	-1.06421086195078	2.29202957905453	1.23982245721963	2.61703080271504	05-09-19	56.60978684	10.30299737	0.345	9.895	3.455	13.695	1.235	85.5	autumn	rocks	2	12
autumn_12_sand	31384.4408713517	-20.9558460266667	6.47946918765721	8.21569326737702	1.8903747596288	6.90626572944496	0.713095535333333	1	0.495884848333333	-4.51887452269197	-5.6268503973644	-0.426796541787756	0.010911444	0.00360218933333333	3706.957375	781.027194833333	0.0815799869924228	4.41176745918332	1.16413879408844	20.48894056	15.28698158	-1.25526609871349	2.20055236742889	1.17865499634165	2.53091517099556	05-09-19	56.60705356	10.29712065	0.285	9.03	3.25	12.565	1.085	82.415	autumn	sand	2	12
autumn_13_rocks	19609.2969410857	-27.2565507933333	6.46883975655546	7.26553469140396	0.9508456146536	8.02996108608781	0.831789541	3	0.304696666666667	-4.43494102794057	-4.37703281412244	-1.56112132953234	0.0129671756666667	0.0126655876666667	1438.10269566667	670.396308833333	-1.1239300966524	1.78925633900994	0.626449897905889	25.8002098	13.13498974	-3.2188758248682	-0.335472736288129	-2.99573227355399	-0.216913001563574	17-10-19	56.44552427	10.95986495	0.04	0.715	0.05	0.805	0.325	5.985	autumn	rocks	3	13
autumn_13_sand	9148.70352995487	-24.5448974833333	6.44764495507723	7.32450648559554	1.03101221035799	6.89774231534764	0.793690884	2	0.377596969666667	-4.58703586799472	-4.47575957830887	-0.450097360270405	0.01018773	0.011392583	1519.055777	635.0520782	-0.916290731874155	2.22570404865809	0.442514136012979	27.41535732	13.04090214	-1.44816976483798	0.772420361454453	-1.93102153656156	0.934130650002486	17-10-19	56.44816462	10.95508786	0.235	2.165	0.145	2.545	0.4	9.26	autumn	sand	3	13
autumn_14_rocks	NA	-29.37874015	NA	6.21278396159527	NA	NA	0.817965995666667	2	0.357224621333333	-4.90973222152842	-5.12152663335456	-1.10913587056448	0.00762228833333333	0.006340324	501.737009033333	NA	-1.06421086195078	2.09001049302907	-0.276031730011766	27.10616722	15.42168236	-2.16282315061889	0.186479566942618	-2.12026353620009	0.364643113587909	12-09-19	56.1388617	10.219473	0.115	1.205	0.12	1.44	0.345	8.085	autumn	rocks	3	14
autumn_14_sand	27135.1358085424	-24.0264677966667	4.73790772205933	6.92040637043529	2.33664932827242	5.04211448444995	0.811465761333333	2	0.357120909	-4.78651663709244	-4.74493602690899	-0.304206762390618	0.00834793166666667	0.008697177	1014.20986923333	114.3406526	-1.36649173382371	2.13712065326651	0.159922044559005	26.73888949	15.50922108	-3.50655789731998	-0.363843433417345	-1.68739945390381	-0.0943106794712414	12-09-19	56.12285239	10.22345435	0.03	0.695	0.185	0.91	0.255	8.475	autumn	sand	3	14
autumn_15_rocks	39022.4844134457	-23.6344867966667	5.8210362858043	8.35101743483198	2.68413182868606	6.56967184317487	0.80354985	1	0.362658333333333	-3.96433495482197	-4.71791812414341	-0.748635557370569	0.018985725	0.00898648866666667	4235.25458533333	338.346727233333	-0.0460439385014068	2.27777997407507	0.0663859810321246	28.81402122	12.93408966	-3.2188758248682	0.512823626428664	-2.99573227355399	0.56531380905006	19-09-19	55.7030775	9.6995034	0.04	1.67	0.05	1.76	0.955	9.755	autumn	rocks	3	15
autumn_15_sand	37955.8416044725	-21.1619195366667	5.66312109536748	7.83105648828103	2.32208607274682	6.8374892055261	0.800198249333333	2	0.364085151666667	-4.73512315003172	-5.34950868252945	-1.17436811015862	0.00894792	0.004757913	2545.98022466667	290.371231633333	0	2.32678978169086	1.80435625864987	28.90309459	12.94756222	-4.19970507787993	-1.80180980508156	0.0769610411361284	0.231111720963387	19-09-19	55.70038092	9.710981	0.015	0.165	1.08	1.26	1	10.245	autumn	sand	3	15
autumn_16_eelgrass	33204.587787034	-20.8071958466667	4.82431563820843	7.1513016887598	2.48113672991294	5.46930413258895	0.815662427666667	2	0.334995757666667	-5.34583800333379	-5.73185717309213	-0.644988494380515	0.00488547933333333	0.00346084366666667	1276.624917	124.513059933333	-1.06421086195078	1.92059234107102	0.228921719103381	22.0976984	12.66548824	-4.60517018598809	-1.40649706843741	-0.809680996815897	-0.356674943938732	18-09-19	55.5021309	10.61310246	0.01	0.245	0.445	0.7	0.345	6.825	autumn	eelgrass	2	16
autumn_16_rocks	34444.155212118	-17.5786098733333	7.54479203754041	9.71501415869854	2.32437280092824	7.22760267584101	0.498291488	1	0.728856313333333	-2.84476291808798	-4.00479375473012	0.317189361699405	0.0642982626666667	0.0200961566666667	18790.254141	2183.18097983333	-0.407968238326283	2.04769284336526	0.979938768397963	21.88548944	12.49409676	-2.99573227355399	-0.0460439385014068	0.457424847038875	0.949725507960392	18-09-19	55.48628704	10.59840165	0.05	0.955	1.58	2.585	0.665	7.75	autumn	rocks	2	16
autumn_16_sand	27325.2871689246	-17.4064496466667	5.77219368138109	7.90335952512531	2.2853165235306	6.59924253632284	0.797277124333333	2	0.374543506666667	-4.95306428232355	-5.8075921568479	-0.827048854941753	0.007067293	0.00301321133333333	2713.73262933333	321.503606333333	-1.02165124753198	2.01955883207846	0.516627603084742	22.11475489	12.94719028	-3.50655789731998	-1.13943428318836	-0.562118918153541	-0.0833816089390511	18-09-19	55.49418168	10.61822206	0.03	0.32	0.57	0.92	0.36	7.535	autumn	sand	2	16
autumn_17_eelgrass	27886.3550828107	-19.32727709	5.61707784650053	7.8505476924012	2.38762052580647	7.01028393701229	0.782563896	1	0.405771911666667	-4.82931390558639	-5.64696372222998	-1.39320609051177	0.00808893833333333	0.00352911866666667	2637.13251266667	280.642212966667	-0.85566611005772	2.23857976301813	0.375916928810196	27.44520775	14.80323792	-3.91202300542815	-0.606969484318893	-0.798507696217772	0.0148886124937506	16-09-19	55.48243617	9.71511814	0.02	0.545	0.45	1.015	0.425	9.38	autumn	eelgrass	3	17
autumn_17_rocks	28853.5517008793	-23.2269477066667	4.12310233057434	6.65679919578309	2.6878475450139	5.53720689343204	0.833857474	2	0.315367133	-5.36565684332476	-5.82335934786177	-1.41410456285771	0.00474954833333333	0.00297418566666667	879.298634666667	66.4904368366667	-0.27443684570176	1.82937633279936	0.423094541741722	27.2721379	14.69228935	-3.2188758248682	0.460584407329244	0.62057648772511	1.24846804421249	16-09-19	55.48988732	9.72807937	0.04	1.585	1.86	3.485	0.76	6.23	autumn	rocks	3	17
autumn_17_sand	28302.987144585	-17.3427441833333	5.68880817943633	7.86483800626686	2.33018050624474	6.96007448461874	0.823279123	1	0.341421212333333	-4.43747071798011	-5.47296783692503	-1.2712663051824	0.01195672	0.00423915	2622.29181133333	299.2009905	-0.400477566597125	2.53051716104005	0.376944234585533	27.3424993	14.93069649	-3.91202300542815	-0.967584026261706	-0.916290731874155	-0.22314355131421	16-09-19	55.4722045	9.72438389	0.02	0.38	0.4	0.8	0.67	12.56	autumn	sand	3	17
autumn_18_rocks	27393.83253638	-19.8016525033333	5.01305977359048	7.17656426527987	2.31765517139273	6.0892842260691	0.818937914666667	2	0.34167	-4.73959707575402	-5.35476569153771	-1.07622445247863	0.008804258	0.004786012	1310.17725366667	151.974265933333	0.570979546585738	3.64375132649619	2.59493449151427	24.20350357	14.80176163	-1.68739945390381	-1.22077992264232	2.41233595695316	2.45444744230329	17-09-19	55.11464713	9.50277209	0.185	0.295	11.16	11.64	1.77	38.235	autumn	rocks	2	18
autumn_18_sand	29744.8629893206	-20.2571821033333	6.06114441913195	8.29922825651094	2.39223451748388	6.65320165926923	0.754862625	1	0.449219091	-4.42904714802439	-5.59927480638851	-0.592057240137286	0.011978341	0.00372288033333333	4046.28009666667	431.840599366667	0.877549903557724	3.73205866820787	NA	24.25895595	14.33679962	-1.49165487677772	-0.415515443961666	1.78758409781757	1.92570744173779	17-09-19	55.11825552	9.4882245	0.225	0.66	5.975	6.86	2.405	41.765	autumn	sand	2	18
autumn_19_eelgrass	24878.4412745177	-20.71214207	5.14858318910363	7.34619439059691	2.35176188131636	6.24558505233593	0.806109167333333	2	0.367258205	-4.91961399345602	-5.66394535489165	-1.0970018632323	0.00731323733333333	0.00353895766666667	1561.15894433333	172.2163709	-0.867500567704723	2.48823443988067	1.68703379886516	17.74977314	12.03675652	-0.891598119283784	3.26766598903763	0.27002713721306	3.33113250721387	21-10-19	55.04167237	10.25488398	0.41	26.25	1.31	27.97	0.42	12.04	autumn	eelgrass	2	19
autumn_19_rocks	24052.7366615161	-20.2842842	5.52861798758807	7.80041935432629	2.42595204675969	6.2555137161165	0.816767469666667	2	0.356788485	-4.32021910361472	-5.57736806555478	-0.726895728528429	0.014189413	0.003901612	2651.48259533333	264.476717633333	-0.867500567704723	1.79923148406676	0.802039080284783	18.51820737	12.13624001	-1.46967597005894	2.61043737223521	0.415415438961332	2.73111547403321	21-10-19	55.04015914	10.25435219	0.23	13.605	1.515	15.35	0.42	6.045	autumn	rocks	2	19
autumn_19_sand	20092.4559420168	-17.8092300266667	5.07801996859397	7.2019589208052	2.27808963195293	5.89383338264092	0.823399512333333	2	0.326386111	-4.84441998144762	-5.64311608617031	-0.815813414046953	0.00788803233333333	0.00354599333333333	1343.12994133333	160.737354433333	-1.09362474715707	1.73165554515835	1.98201910248801	18.35552642	11.76206017	-1.63475572041839	2.38600670113312	-0.25489224962879	2.47148362945586	21-10-19	55.06489033	10.21874036	0.195	10.87	0.775	11.84	0.335	5.65	autumn	sand	2	19
autumn_20_eelgrass	23797.5117112585	-16.83161993	5.60751265587876	7.97704431941513	2.52368234349471	5.97451756669191	0.804241932	1	0.363520909	-4.39648068841394	-5.28828117750154	-0.367004910813148	0.0134638746666667	0.007460016	3443.09185266667	290.904776133333	-2.07944154167984	1.24126858906963	0.904048662188461	14.62111002	12.27562714	-5.29831736654804	-1.66073120682165	1.59025509301733	1.62629502950052	22-10-19	54.8791064	11.01524311	0.005	0.19	4.905	5.085	0.125	3.46	autumn	eelgrass	1	20
