Sample_ID	season	cluster	habitat	field_replicate	d14N_15N	d12C_13C	N	C	CN_ratio	Density	Dry_matter	Grain_size	Water_content	Organic_content	Inorganic_content	TP	NP_ratio	hb	snch	Salinity	sal_group	log_N	log_C	log_Organic_content	log_Inorganic_content	log_CN_ratio	log_NP_ratio	log_TP	d14N_15N_summedmin	cube_d14N_15N	hab_uni
1	2C10EB1	autumn	10	EB	1	-8.809624933	-19.79994945	457.5554981	1243.587243	3.170876078	1.860945455	0.802329217	2	0.367854545	0.005296789	0.00385924	0.195225433	2343.72894488599	eelgrass	autumn_10_eelgrass	29.95134094	3	6.12589818468084	7.1257554200104	-5.24065449108136	-5.55728500608272	1.15400791500702	7.75949850616306	-1.63360032148221	18.134653357	5963.86460690869	eelgrass
2	2C10EB2	autumn	10	EB	2	-11.04380571	-19.64061764	456.7238645	1249.205045	3.191000073	1.90645	0.800236041	2	0.38084	0.005356933	0.003866282	0.191346112	2386.89911034095	eelgrass	autumn_10_eelgrass	29.95134094	3	6.12407897304077	7.13026266398546	-5.22936366916171	-5.55546195724529	1.16033437017295	7.77775035914519	-1.65367138610442	15.90047258	4020.03742950243	eelgrass
3	2C10EB3	autumn	10	EB	3	-11.41014091	-18.30061497	668.5376725	2562.890569	4.472506367	1.87968	0.779366701	2	0.41472	0.007136413	0.004533228	0.200927656	3327.25561930608	eelgrass	autumn_10_eelgrass	29.95134094	3	6.5050927487313	7.84889102900308	-4.94254500981862	-5.3963210104723	1.49794895998832	8.10990310483926	-1.60481035610796	15.53413738	3748.53374569053	eelgrass
4	2C10RB1	autumn	10	RB	1	0.220065402	-24.49541966	961.1971198	2350.471243	2.852917881	1.703454545	0.804168001	1	0.333590909	0.01349105	0.035032515	0.252282656	3810.00079450567	rocks	autumn_10_rocks	29.89684525	3	6.86817950739507	7.76237111597113	-4.30572877635784	-3.35147864874615	1.0483422884312	8.2453846766524	-1.37720516925733	27.164343692	20044.6118099151	rocks
5	2C10RB2	autumn	10	RB	2	-0.43367231	-22.51753479	1287.852382	2981.453539	2.700901525	1.691381818	0.81185905	1	0.318218182	0.017580336	0.025796534	0.34370123	3747.01126906063	rocks	autumn_10_rocks	29.89684525	3	7.16073128984759	8.00016622534599	-4.04097427427976	-3.65751513716441	0.99358561542685	8.22871380627799	-1.0679825164304	26.51060598	18631.9780922596	rocks
6	2C10RB3	autumn	10	RB	3	0.432703236	-22.55974108	1836.366773	2985.716064	1.896862576	1.89798	0.808696614	1	0.36309	0.02484885	0.027050464	0.322584374	5692.67119243662	rocks	autumn_10_rocks	29.89684525	3	7.51554431865877	8.0015948844955	-3.69494380517634	-3.61005112041717	0.640201245524342	8.64693487081668	-1.13139055215791	27.376981526	20519.0234928649	rocks
7	2C10SB1	autumn	10	SB	1	-21.74591733	-18.5082432	651.4494036	1521.147155	2.724189586	1.851916667	0.799505017	2	0.3713	0.00738246	0.003488447	0.246738391	2640.2433806906	sand	autumn_10_sand	30.00251403	3	6.47919973215232	7.32722003642887	-4.90864836257964	-5.65829862747666	1.00217098425014	7.87862638154669	-1.39942664939437	5.19836096	140.47508297945	sand
8	2C10SB2	autumn	10	SB	2	-23.31053618	-18.83973171	749.2891006	1472.371032	2.292527948	1.826675	0.804444323	2	0.357216667	0.006843462	0.003193385	0.215422649	3478.22805112753	sand	autumn_10_sand	30.00251403	3	6.61912489115477	7.2946293273097	-4.98446153504262	-5.74667379625765	0.82965511613197	8.15427826238152	-1.53515337122675	3.63374211	47.9802277770664	sand
9	2C10SB3	autumn	10	SB	3	-25.01856194	-19.87067583	873.9881153	1676.131818	2.237429877	1.86595	0.800310834	2	0.37261	0.008157141	0.003138938	0.248568337	3516.08787284923	sand	autumn_10_sand	30.00251403	3	6.77306677750816	7.42424392830725	-4.80886153904626	-5.7638707528306	0.805327830787501	8.1651042507707	-1.39203747326254	1.92571635	7.14129466225737	sand
10	2C11RB1	autumn	11	RB	1	4.314735872	-21.17099919	291.9166449	2519.866948	10.0708364	1.811336364	0.7802125	1	0.398109091	0.014760826	0.006450553	0.320287944	911.419397353277	rocks	autumn_11_rocks	28.69282292	3	5.67646829884483	7.83196138069889	-4.21577849931601	-5.04358941541551	2.30964376187117	6.81500316163301	-1.13853486278819	31.259014162	30543.994421134	rocks
11	2C11RB2	autumn	11	RB	2	3.779878087	-21.43589244	359.2309071	3069.278376	9.968030869	1.812742857	0.776676229	2	0.404828571	0.018115382	0.028830646	0.366144648	981.117460168365	rocks	autumn_11_rocks	28.69282292	3	5.88396537699148	8.02919775627357	-4.01099386736088	-3.54631636036816	2.29938305885009	6.88869218753363	-1.00472681054215	30.724156377	29002.7981885358	rocks
12	2C11RB3	autumn	11	RB	3	-1.737862938	-20.99573325	1225.475693	5059.461391	4.816664248	1.79812	0.761562076	1	0.42874	0.017040722	0.00628053	0.450090903	2722.72930830597	rocks	autumn_11_rocks	28.69282292	3	7.11108436841814	8.52901531214949	-4.07214938758657	-5.07030090715862	1.57208162374488	7.90939007836984	-0.798305709951704	25.206415352	16015.2331271159	rocks
13	2C11SB1	autumn	11	SB	1	-8.004045687	-20.91320971	289.293063	959.6064994	3.869919673	1.7701	0.823591887	2	0.31226	0.007837192	0.002923181	0.262218976	1103.24991506336	sand	autumn_11_sand	29.26305749	3	5.66744023312564	6.86652330397303	-4.84887467204091	-5.83508287208798	1.35323375049553	7.00601557116199	-1.33857533803635	18.940232603	6794.4753076308	sand
14	2C11SB2	autumn	11	SB	2	-5.401078138	-19.81620493	191.4075465	849.7246581	5.179239025	1.75815	0.824377897	2	0.30877	0.003461184	0.002746646	0.240756247	795.026292713393	sand	autumn_11_sand	29.26305749	3	5.25440490614128	6.74491236536011	-5.66614455191659	-5.89737474802902	1.64465813910894	6.67837518670291	-1.42397028056163	21.543200152	9998.40326473549	sand
15	2C11SB3	autumn	11	SB	3	-7.234671221	-19.95957393	196.379385	831.6217583	4.940566368	1.74805	0.824307085	2	0.30712	0.003281743	0.003460877	0.288273236	681.226560345685	sand	autumn_11_sand	29.26305749	3	5.28004842605277	6.72337772002349	-5.71938059529134	-5.66623325382205	1.5974799740208	6.5238949385535	-1.24384651250073	19.709607069	7656.56367779161	sand
16	2C12RB1	autumn	12	RB	1	-2.949007259	-23.17788614	392.5870066	1792.858465	5.327909926	1.858375	0.812089415	2	0.349208333	0.007704465	0.003308	0.225549581	1740.57963157999	rocks	autumn_12_rocks	19.19471169	2	5.97275818552291	7.49156653295454	-4.86595524805235	-5.71141150182069	1.6729590273144	7.46197345833359	-1.48921527281068	23.995271031	13815.8299516089	rocks
17	2C12RB2	autumn	12	RB	2	-1.965200683	-23.97417836	853.6368771	2276.898841	3.111840705	1.94728	0.812697712	2	0.36473	0.015629715	0.016174824	0.242205851	3524.42714978013	rocks	autumn_12_rocks	19.19471169	2	6.74950590090535	7.73056963863856	-4.15858136888006	-4.12429931964355	1.1352144176667	8.1674731913394	-1.41796729043405	24.979077607	15585.803334956	rocks
18	2C12RB3	autumn	12	RB	3	-8.623516225	-24.02110236	844.3489703	1898.106374	2.622680331	1.880972727	0.815622478	2	0.346809091	0.018525707	0.006518236	0.23287512	3625.75860529884	rocks	autumn_12_rocks	19.19471169	2	6.73856588105943	7.54861202291025	-3.98859594388586	-5.03315149179665	0.96419682193664	8.19581881582204	-1.45725293476261	18.320762065	6149.36969817085	rocks
19	2C12SB1	autumn	12	SB	1	-9.47925918	-20.79242078	1477.054467	4003.910486	3.16252989	1.67842	0.695981935	1	0.51027	0.011452878	0.00378514	0.614616005	2403.21510501504	sand	autumn_12_sand	20.48894056	2	7.2978051586287	8.29502678404135	-4.46951422685415	-5.5766724046658	1.15137230539237	7.78456274692583	-0.486757588297129	17.46501911	5327.30050679761	sand
20	2C12SB2	autumn	12	SB	2	8.014131079	-21.08498537	419.77127	3394.531019	9.434390754	1.709281818	0.708968679	1	0.497454545	0.010973141	0.003501359	0.667468357	628.900629666853	sand	autumn_12_sand	20.48894056	2	6.03970996769347	8.12992089171733	-4.51230471933399	-5.65460410013587	2.24436160376262	6.44397326276831	-0.404263295074842	34.958409369	42722.335986094	sand
