Sample_ID	season	cluster	habitat	NO2NO3	NO2	NH3	PO4	Si	NO3	Chlorophyll	Latitude	Longitude	Salinity	Temperature	CTD_depth	d18O	SD_d18O	d12H	SD_d12H	sal_group	snch	Time	log_NO2NO3	log_NO2	log_NH3	log_PO4	log_Si	log_NO3	log_Chlorophyll	hab_uni	shc	log_DN	DN
autumn_10_eelgrass	2C10EW	autumn	10	EW	0.615	0.15	2.99	0.855	36.645	0.465	3.652221457	56.55391126	8.61017776	29.95134094	16.59964752	99.35131073	-0.598283738	0.043027511	-3.20828598	0.086701788	3	autumn_10_eelgrass	09-09-19	-0.486133011175619	-1.89711998488588	1.0952733874026	-0.156653810045377	3.60127699337781	-0.765717873394781	1.29533560081753	eelgrass	autumn_10_eelgrass	1.28232177073691	3.605
autumn_10_rocks	2C10RW	autumn	10	RW	1.375	0.255	7.435	0.92	34.875	1.12	5.104176772	56.55032935	8.61454023	29.89684525	16.1827774	78.6192894	-0.584218558	0.007348469	-3.221498914	0.06969218	3	autumn_10_rocks	10-09-19	0.318453731118535	-1.36649173382371	2.00619857991212	-0.083381608939051	3.55177024014153	0.113328685307003	1.63005917945528	rocks	autumn_10_rocks	2.17588743994809	8.81
autumn_10_sand	2C10SW	autumn	10	SW	0.81	0.205	2.1	0.605	37.57	0.605	3.68215868	56.55925617	8.61504498	30.00251403	16.72975922	99.93276596	-0.584053085	0.028624582	-3.271547907	0.018069311	3	autumn_10_sand	09-09-19	-0.210721031315653	-1.58474529984373	0.741937344729377	-0.502526820951296	3.62620585958588	-0.502526820951296	1.30349917802567	sand	autumn_10_sand	1.0681530811834	2.91
autumn_11_rocks	2C11RW	autumn	11	RW	0.65	0.075	2.77	1.46	11.18	0.575	1.360527036	56.8039704	10.282349	28.69282292	18.0800972	28.28512192	-0.90043691	0.053943489	-5.367099222	0.211358227	3	autumn_11_rocks	02-09-19	-0.430782916092454	-2.59026716544583	1.01884732019925	0.378436435720245	2.41412646772695	-0.553385238184787	0.30787215114956	rocks	autumn_11_rocks	1.22964055107451	3.42
autumn_11_sand	2C11SW	autumn	11	SW	0.16	0.025	0.84	0.645	7.365	0.135	1.299155729	56.79719521	10.28607025	29.26305749	17.19214821	100.249958	-0.713287273	0.076923338	-4.475726666	0.201510298	3	autumn_11_sand	02-09-19	-1.83258146374831	-3.68887945411394	-0.174353387144778	-0.438504962186365	1.99673904991459	-2.00248050054371	0.261714614259715	sand	autumn_11_sand	0	1
autumn_12_rocks	2C12RW	autumn	12	RW	10.24	0.345	3.455	1.235	85.5	9.895	3.367817838	56.60978684	10.30299737	19.19471169	15.94149971	64.81637955	-2.751260399	0.021033307	-18.45184449	0.080278889	2	autumn_12_rocks	05-09-19	2.32630161961136	-1.06421086195078	1.23982245721963	0.211070970079941	4.44851637594271	2.29202957905453	1.21426500881286	rocks	autumn_12_rocks	2.61703080271504	13.695
autumn_12_sand	2C12SW	autumn	12	SW	9.315	0.285	3.25	1.085	82.415	9.03	3.203163112	56.60705356	10.29712065	20.48894056	15.28698158	71.95491791	-2.553647274	0.0256671	-17.10966915	0.046317383	2	autumn_12_sand	05-09-19	2.23162600405355	-1.25526609871349	1.17865499634165	0.0815799869924228	4.41176745918332	2.20055236742889	1.16413879408844	sand	autumn_12_sand	2.53091517099556	12.565
autumn_13_rocks	2C13RW	autumn	13	RW	0.755	0.04	0.05	0.325	5.985	0.715	1.870956688	56.44552427	10.95986495	25.8002098	13.13498974	101.5153885	-1.762698256	0.154343448	-12.4409049	0.350976163	3	autumn_13_rocks	17-10-19	-0.281037529733112	-3.2188758248682	-2.99573227355399	-1.1239300966524	1.78925633900994	-0.335472736288129	0.626449897905889	rocks	autumn_13_rocks	-0.216913001563574	0.805
autumn_13_sand	2C13SW	autumn	13	SW	2.4	0.235	0.145	0.4	9.26	2.165	1.556615847	56.44816462	10.95508786	27.41535732	13.04090214	101.7793655	-1.314543464	0.036382688	-8.988160269	0.185091059	3	autumn_13_sand	17-10-19	0.8754687373539	-1.44816976483798	-1.93102153656156	-0.916290731874155	2.22570404865809	0.772420361454453	0.442514136012979	sand	autumn_13_sand	0.934130650002486	2.545
autumn_14_rocks	2C14RW	autumn	14	RW	1.32	0.115	0.12	0.345	8.085	1.205	0.758788854	56.1388617	10.219473	27.10616722	15.42168236	27.0154953	-1.377733323	0.032688938	-9.179933013	0.108339128	3	autumn_14_rocks	12-09-19	0.27763173659828	-2.16282315061889	-2.12026353620009	-1.06421086195078	2.09001049302907	0.186479566942618	-0.276031730011766	rocks	autumn_14_rocks	0.364643113587909	1.44
autumn_14_sand	2C14SW	autumn	14	SW	0.725	0.03	0.185	0.255	8.475	0.695	1.173419393	56.12285239	10.22345435	26.73888949	15.50922108	100.5169868	-1.335032999	0.03032106	-9.402609901	0.032992423	3	autumn_14_sand	12-09-19	-0.321583624127462	-3.50655789731998	-1.68739945390381	-1.36649173382371	2.13712065326651	-0.363843433417345	0.159922044559005	sand	autumn_14_sand	-0.0943106794712414	0.91
autumn_15_rocks	2C15RW	autumn	15	RW	1.71	0.04	0.05	0.955	9.755	1.67	1.068639112	55.7030775	9.6995034	28.81402122	12.93408966	62.44277954	-0.855895647	0.065295227	-5.330111886	0.129746548	3	autumn_15_rocks	19-09-19	0.536493370514568	-3.2188758248682	-2.99573227355399	-0.0460439385014068	2.27777997407507	0.512823626428664	0.0663859810321246	rocks	autumn_15_rocks	0.56531380905006	1.76
autumn_15_sand	2C15SW	autumn	15	SW	0.18	0.015	1.08	1	10.245	0.165	6.076058779	55.70038092	9.710981	28.90309459	12.94756222	100.1495361	-0.758082115	0.040007083	-5.181270845	0.11507331	3	autumn_15_sand	19-09-19	-1.71479842809193	-4.19970507787993	0.0769610411361284	0	2.32678978169086	-1.80180980508156	1.80435625864987	sand	autumn_15_sand	0.231111720963387	1.26
autumn_16_eelgrass	2C16EW	autumn	16	EW	0.255	0.01	0.445	0.345	6.825	0.245	1.257243617	55.5021309	10.61310246	22.0976984	12.66548824	94.69795227	-2.438957962	0.025737133	-17.338725	0.039085803	2	autumn_16_eelgrass	18-09-19	-1.36649173382371	-4.60517018598809	-0.809680996815897	-1.06421086195078	1.92059234107102	-1.40649706843741	0.228921719103381	eelgrass	autumn_16_eelgrass	-0.356674943938732	0.7
autumn_16_rocks	2C16RW	autumn	16	RW	1.005	0.05	1.58	0.665	7.75	0.955	2.664293098	55.48628704	10.59840165	21.88548944	12.49409676	46.31347656	-2.382349464	0.085453496	-16.47100577	0.112759479	2	autumn_16_rocks	18-09-19	0.00498754151103897	-2.99573227355399	0.457424847038875	-0.407968238326283	2.04769284336526	-0.0460439385014068	0.979938768397963	rocks	autumn_16_rocks	0.949725507960392	2.585
autumn_16_sand	2C16SW	autumn	16	SW	0.35	0.03	0.57	0.36	7.535	0.32	1.676364739	55.49418168	10.61822206	22.11475489	12.94719028	93.64023209	-2.296650907	0.033980877	-16.36716785	0.069744534	2	autumn_16_sand	18-09-19	-1.04982212449868	-3.50655789731998	-0.562118918153541	-1.02165124753198	2.01955883207846	-1.13943428318836	0.516627603084742	sand	autumn_16_sand	-0.0833816089390511	0.92
autumn_17_eelgrass	2C17EW	autumn	17	EW	0.565	0.02	0.45	0.425	9.38	0.545	1.45632615	55.48243617	9.71511814	27.44520775	14.80323792	97.44739532	-1.467942711	0.045294591	-9.835703006	0.167247621	3	autumn_17_eelgrass	16-09-19	-0.570929547835696	-3.91202300542815	-0.798507696217772	-0.85566611005772	2.23857976301813	-0.606969484318893	0.375916928810196	eelgrass	autumn_17_eelgrass	0.0148886124937506	1.015
autumn_17_rocks	2C17RW	autumn	17	RW	1.625	0.04	1.86	0.76	6.23	1.585	1.526678624	55.48988732	9.72807937	27.2721379	14.69228935	100.6732941	-1.381486977	0.029640625	-9.025266123	0.082150472	3	autumn_17_rocks	16-09-19	0.485507815781701	-3.2188758248682	0.62057648772511	-0.27443684570176	1.82937633279936	0.460584407329244	0.423094541741722	rocks	autumn_17_rocks	1.24846804421249	3.485
autumn_17_sand	2C17SW	autumn	17	SW	0.4	0.02	0.4	0.67	12.56	0.38	1.457823011	55.4722045	9.72438389	27.3424993	14.93069649	72.96266556	-1.346772438	0.032356864	-9.178935112	0.07588522	3	autumn_17_sand	16-09-19	-0.916290731874155	-3.91202300542815	-0.916290731874155	-0.400477566597125	2.53051716104005	-0.967584026261706	0.376944234585533	sand	autumn_17_sand	-0.22314355131421	0.8
autumn_18_rocks	2C18RW	autumn	18	RW	0.48	0.185	11.16	1.77	38.235	0.295	13.3957098	55.11464713	9.50277209	24.20350357	14.80176163	36.00263596	-1.754585619	0.106458912	-13.17442903	0.21824138	2	autumn_18_rocks	17-09-19	-0.7339691750802	-1.68739945390381	2.41233595695316	0.570979546585738	3.64375132649619	-1.22077992264232	2.59493449151427	rocks	autumn_18_rocks	2.45444744230329	11.64
autumn_18_sand	2C18SW	autumn	18	SW	0.885	0.225	5.975	2.405	41.765	0.66	NA	55.11825552	9.4882245	24.25895595	14.33679962	109.3956947	-1.989322027	0.07309902	-13.81322434	0.211723404	2	autumn_18_sand	17-09-19	-0.122167633974208	-1.49165487677772	1.78758409781757	0.877549903557724	3.73205866820787	-0.415515443961666	NA	sand	autumn_18_sand	1.92570744173779	6.86
autumn_19_eelgrass	2C19EW	autumn	19	EW	26.66	0.41	1.31	0.42	12.04	26.25	5.403429253	55.04167237	10.25488398	17.74977314	12.03675652	100.1446724	-3.369472918	0.031593776	-23.62348597	0.040970314	2	autumn_19_eelgrass	21-10-19	3.28316431475056	-0.891598119283784	0.27002713721306	-0.867500567704723	2.48823443988067	3.26766598903763	1.68703379886516	eelgrass	autumn_19_eelgrass	3.33113250721387	27.97
autumn_19_rocks	2C19RW	autumn	19	RW	13.835	0.23	1.515	0.42	6.045	13.605	2.230083615	55.04015914	10.25435219	18.51820737	12.13624001	102.5773048	-3.296572386	0.073331212	-23.42004159	0.109342428	2	autumn_19_rocks	21-10-19	2.62720161323889	-1.46967597005894	0.415415438961332	-0.867500567704723	1.79923148406676	2.61043737223521	0.802039080284783	rocks	autumn_19_rocks	2.73111547403321	15.35
autumn_19_sand	2C19SW	autumn	19	SW	11.065	0.195	0.775	0.335	5.65	10.87	7.257381599	55.06489033	10.21874036	18.35552642	11.76206017	100.0916481	-3.356578947	0.059199381	-23.51157486	0.132115732	2	autumn_19_sand	21-10-19	2.40378697350301	-1.63475572041839	-0.25489224962879	-1.09362474715707	1.73165554515835	2.38600670113312	1.98201910248801	sand	autumn_19_sand	2.47148362945586	11.84
autumn_1_rocks	2C1RW	autumn	1	RW	13.525	0.675	5.695	0.85	9.79	12.85	2.328936326	55.4464839	8.4066144	28.44073047	15.92016506	59.16004181	-0.843357483	0.009396808	-4.319949858	0.058493589	3	autumn_1_rocks	24-09-19	2.60453982473255	-0.393042588109607	1.73958859689915	-0.162518929497775	2.28136145654242	2.55334381134123	0.845411650897727	rocks	autumn_1_rocks	2.95595140354215	19.22
autumn_1_sand	2C1SW	autumn	1	SW	2.48	0.265	0.62	0.265	10.99	2.215	3.293004718	55.46983904	8.31535033	31.40622371	14.86349869	100.0914574	-0.34478987	0.033301151	-1.460123048	0.137424403	3	autumn_1_sand	24-09-19	0.908258560176891	-1.32802545299591	-0.478035800943	-1.32802545299591	2.39698576841553	0.795252403497099	1.19180043612931	sand	autumn_1_sand	1.1314021114911	3.1
autumn_20_eelgrass	2C20EW	autumn	20	EW	0.18	0.005	4.905	0.125	3.46	0.19	2.469581399	54.8791064	11.01524311	14.62111002	12.27562714	98.13756943	-4.140601981	0.013464769	-30.99488666	0.028939592	1	autumn_20_eelgrass	22-10-19	-1.71479842809193	-5.29831736654804	1.59025509301733	-2.07944154167984	1.24126858906963	-1.66073120682165	0.904048662188461	eelgrass	autumn_20_eelgrass	1.62629502950052	5.085
autumn_20_rocks	2C20RW	autumn	20	RW	0.255	0.005	0.88	0.095	2.705	0.275	2.499518622	54.8803404	11.0176403	14.62492735	12.63769722	50.49133301	-4.417276349	0.022321888	-31.97900236	0.071112352	1	autumn_20_rocks	22-10-19	-1.36649173382371	-5.29831736654804	-0.127833371509885	-2.3538783873816	0.995101912298445	-1.29098418131557	0.916098162133793	rocks	autumn_20_rocks	0.126632650933366	1.135
autumn_20_sand	2C20SW	autumn	20	SW	0.225	0.005	2.355	0.115	3.155	0.235	2.664173349	54.88502254	11.01350353	14.63151744	12.40977383	98.87742996	-3.561222456	0.028304593	-28.47240925	0.100169939	1	autumn_20_sand	22-10-19	-1.49165487677772	-5.29831736654804	0.856540727468381	-2.16282315061889	1.14898849599318	-1.44816976483798	0.979893821507066	sand	autumn_20_sand	0.947789398933526	2.58
autumn_21_eelgrass	2C21EW	autumn	21	EW	0.51	0.045	5.59	0.065	4.71	0.465	1.297539119	54.91905585	11.49217673	15.72899068	12.23364067	99.66945648	-4.013104405	0.130880098	-29.22277678	0.157189376	2	autumn_21_eelgrass	23-10-19	-0.673344553263766	-3.10109278921182	1.72097928716701	-2.7333680090865	1.54968790802833	-0.765717873394781	0.260469485121724	eelgrass	autumn_21_eelgrass	1.80828877117927	6.1
autumn_21_rocks	2C21RW	autumn	21	RW	0.695	0.005	0.52	0.005	1.6	0.695	1.080494252	54.8378707	11.4936118	16.85777504	12.67362499	49.64475632	-3.857946002	0.032295511	-27.96519352	0.220099674	2	autumn_21_rocks	23-10-19	-0.363843433417345	-5.29831736654804	-0.653926467406664	-5.29831736654804	0.470003629245736	-0.363843433417345	0.077418577191283	rocks	autumn_21_rocks	0.194744076792512	1.215
autumn_21_sand	2C21SW	autumn	21	SW	0.17	0.005	0.05	0.005	1.025	0.21	0.306617038	54.84748884	11.47969321	16.47211128	12.1745863	98.08387756	-3.985840149	0.023636836	-29.01395916	0.194624425	2	autumn_21_sand	23-10-19	-1.77195684193188	-5.29831736654804	-2.99573227355399	-5.29831736654804	0.0246926125903714	-1.56064774826467	-1.18215574331217	sand	autumn_21_sand	-1.51412773262978	0.22
autumn_23_rocks	2C23RW	autumn	23	RW	0.59	0.01	0.915	0.13	3.17	0.58	2.798890852	54.955125	12.4624129	9.231963865	12.53521729	66.19215012	-5.455068056	0.026733874	-40.87877217	0.051301722	1	autumn_23_rocks	24-10-19	-0.527632742082372	-4.60517018598809	-0.0888312137066157	-2.04022082852655	1.15373158788919	-0.544727175441672	1.02922321441749	rocks	autumn_23_rocks	0.408792898200839	1.505
autumn_23_sand	2C23SW	autumn	23	SW	0.23	0.005	0.245	0.02	3.725	0.24	1.541527486	54.95019802	12.47570698	9.080047563	12.68154907	101.3571739	-5.679346151	0.037436613	-41.82641502	0.092324247	1	autumn_23_sand	24-10-19	-1.46967597005894	-5.29831736654804	-1.40649706843741	-3.91202300542815	1.31506685183152	-1.42711635564015	0.432773798869501	sand	autumn_23_sand	-0.744440474947496	0.475
autumn_24_eelgrass	2C24EW	autumn	24	EW	0.22	0.005	2.42	0.045	1.39	0.245	2.768953629	55.13308773	12.08769028	10.32708528	11.12942696	62.01438904	-5.141574912	0.010526158	-38.11104013	0.060535664	1	autumn_24_eelgrass	10-10-19	-1.51412773262978	-5.29831736654804	0.883767540168595	-3.10109278921182	0.3293037471426	-1.40649706843741	1.01846949756973	eelgrass	autumn_24_eelgrass	0.970778917158225	2.64
autumn_24_rocks	2C24RW	autumn	24	RW	0.52	0.05	1.91	0.48	5.315	0.47	9.712233884	55.1701609	12.0908908	10.25186785	13.21798706	27.59523392	-4.680680118	0.048267657	-35.59212491	0.11972371	1	autumn_24_rocks	10-10-19	-0.653926467406664	-2.99573227355399	0.647103242058538	-0.7339691750802	1.67053301179391	-0.755022584278033	2.27338631598764	rocks	autumn_24_rocks	0.887891257352457	2.43
