kingdom	phylum	supergroup	new phylum	comments
Chromista	Apicomplexa	SAR: Alveolates		
Chromista	Bacillariophyta	SAR: Stramenopiles		diatoms
Chromista	Bigyra	SAR: Stramenopiles		OK
Chromista	Cercozoa	SAR: Rhizarians		
Chromista	Cryptophyta	Cryptista		
Chromista	Endomyxa	SAR: Rhizarians		
Chromista	Haptophyta	Haptista		
Chromista	Ochrophyta	SAR: Stramenopiles		meget divers gruppe
Chromista	Oomycota	SAR: Stramenopiles		
Chromista	Palpitia	Cryptista		Og måske kun én art? Palpitomonas bilix
Fungi	Ascomycota	Opisthokonts		
Fungi	Basidiomycota	Opisthokonts		
Fungi	Mucoromycota	Opisthokonts		
Metazoa	Annelida	Opisthokonts		
Metazoa	Arthropoda	Opisthokonts		
Metazoa	Bryozoa	Opisthokonts		
Metazoa	Chordata	Opisthokonts		
Metazoa	Cnidaria	Opisthokonts		
Metazoa	Ctenophora	Opisthokonts		
Metazoa	Echinodermata	Opisthokonts		
Metazoa	Entoprocta	Opisthokonts		
Metazoa	Gastrotricha	Opisthokonts		
Metazoa	Gnathostomulida	Opisthokonts		
Metazoa	Mollusca	Opisthokonts		
Metazoa	Nematoda	Opisthokonts		
Metazoa	Nemertea	Opisthokonts		
Metazoa	Placozoa	Opisthokonts		
Metazoa	Platyhelminthes	Opisthokonts		
Metazoa	Porifera	Opisthokonts		
Metazoa	Rotifera	Opisthokonts		
Metazoa	Tardigrada	Opisthokonts		
Metazoa	Xenacoelomorpha	Opisthokonts		
Plantae	Chlorophyta	Archaeplastids		
Plantae	Prasinodermophyta	Archaeplastids		
Plantae	Rhodophyta	Archaeplastids		
Plantae	Streptophyta	Archaeplastids		
Protozoa	Thecomonadea*	Apusomonads		Apusomonads are outside the regular supergroups close to Opistokonts and Amoebozoans
Protozoa	Choanozoa	Opisthokonts	Filasterea*	Choanozoa is not a phylum. This is Choanoflaggelata + Metazoa
Protozoa	Discosea	Amoebozoans		
Protozoa	Evosea	Amoebozoans		
Protozoa	Loukozoa	Discobids	Jakobea*	
Protozoa	Tubulinea	Amoebozoans		
