"NMDS1" "NMDS2" "NMDS3" "habitat" "season"
"water_autumn_eelgrass_10" -0.305037404598885 -0.716471035174709 0.662620416623673 "eelgrass" "autumn"
"water_autumn_eelgrass_16" -0.603018838244704 0.0553335548658364 0.133969134865155 "eelgrass" "autumn"
"water_autumn_eelgrass_17" -0.839581490793597 -0.211907051151406 -0.077815202080466 "eelgrass" "autumn"
"water_autumn_eelgrass_19" -0.168292341872425 0.0305773250380359 -0.535257377125236 "eelgrass" "autumn"
"water_autumn_eelgrass_20" -0.372402327349099 0.474050242041393 -0.00935774918903868 "eelgrass" "autumn"
"water_autumn_eelgrass_21" -0.0488159535581395 0.3971735022708 0.401824756688778 "eelgrass" "autumn"
"water_autumn_eelgrass_24" -0.359428975715692 1.24681475684362 0.0291822539593017 "eelgrass" "autumn"
"water_autumn_eelgrass_26" -0.0553373770360518 -0.049111572750704 -0.0759535128448561 "eelgrass" "autumn"
"water_autumn_eelgrass_27" -0.268096137576093 -0.0660041425956415 -0.180976251244023 "eelgrass" "autumn"
"water_autumn_eelgrass_28" -0.295959502213245 0.0355863806502082 -0.0268846180426971 "eelgrass" "autumn"
"water_autumn_eelgrass_29" 0.100761862709128 0.825676153923283 0.601801946633311 "eelgrass" "autumn"
"water_autumn_eelgrass_30" -0.417766186357398 0.00874845204466327 -0.153722150485014 "eelgrass" "autumn"
"water_autumn_eelgrass_31" -0.55978667675457 0.242525976095949 -0.125432879703329 "eelgrass" "autumn"
"water_autumn_eelgrass_8" -0.647949477244366 -0.0468505880491434 0.740410890036071 "eelgrass" "autumn"
"water_autumn_eelgrass_9" -0.118663479315311 -0.32473172853477 0.584644162421803 "eelgrass" "autumn"
"water_autumn_rocks_1" -0.873490748505906 -0.495592821764194 0.566149314211058 "rocks" "autumn"
"water_autumn_rocks_10" -0.614197973908169 -0.52450575921918 0.64409760100402 "rocks" "autumn"
"water_autumn_rocks_11" -1.24865772050922 0.390161212255128 0.370619147564008 "rocks" "autumn"
"water_autumn_rocks_12" -0.908882501992979 0.527841280132402 0.317894533272499 "rocks" "autumn"
"water_autumn_rocks_13" -0.668389867719219 0.0120270277952712 -0.70199378447357 "rocks" "autumn"
"water_autumn_rocks_14" -0.646573205302919 -0.247171646309391 -0.414029833223335 "rocks" "autumn"
"water_autumn_rocks_15" -0.762266537501114 -0.0201189484081729 -0.305938602683889 "rocks" "autumn"
"water_autumn_rocks_16" -1.37758162480547 0.410370200922783 -0.00823377098561775 "rocks" "autumn"
"water_autumn_rocks_17" -0.723217609379286 -0.257519822104433 -0.154447528960414 "rocks" "autumn"
"water_autumn_rocks_18" -1.12238330613617 0.47318960362038 -0.27544134817119 "rocks" "autumn"
"water_autumn_rocks_19" -0.319271019581239 0.22134918561513 -0.499549134679432 "rocks" "autumn"
"water_autumn_rocks_20" -0.481122639908794 0.667895165705775 -0.0638165831668804 "rocks" "autumn"
"water_autumn_rocks_21" -0.242214422006587 0.416851955481671 0.150231058910079 "rocks" "autumn"
"water_autumn_rocks_23" 0.155541814656259 0.862620603006923 -0.373322390842573 "rocks" "autumn"
"water_autumn_rocks_24" -0.60426621704766 1.64084073330694 0.0132287526458462 "rocks" "autumn"
"water_autumn_rocks_25" -0.0012017192741085 0.887007595682096 -0.118299167505685 "rocks" "autumn"
"water_autumn_rocks_26" -0.377345950160743 0.223456309900199 -0.194468333216876 "rocks" "autumn"
"water_autumn_rocks_27" -0.364539832656353 0.293866304400141 -0.451194510089193 "rocks" "autumn"
"water_autumn_rocks_28" -0.658665959654938 0.334863455582918 -0.390534091577524 "rocks" "autumn"
"water_autumn_rocks_29" -0.556178844630351 1.10195415868428 0.237353680855777 "rocks" "autumn"
"water_autumn_rocks_3" -0.295653868049532 -1.10108042788266 0.299800177059999 "rocks" "autumn"
"water_autumn_rocks_30" -0.585171811866435 0.2817959930931 -0.424344018255954 "rocks" "autumn"
"water_autumn_rocks_31" -0.315032547990209 0.343860140652919 -0.384534876200664 "rocks" "autumn"
"water_autumn_rocks_32" 0.108878503784264 1.03339872632944 -0.490041830108628 "rocks" "autumn"
"water_autumn_rocks_33" -0.200232789033988 1.28344096346562 -0.446038439268947 "rocks" "autumn"
"water_autumn_rocks_4" -1.03018973220529 -0.782787535971273 -0.245775253522733 "rocks" "autumn"
"water_autumn_rocks_5" -0.87586945494807 -1.07266261282728 -0.242341827523182 "rocks" "autumn"
"water_autumn_rocks_6" -0.878054345495565 -0.0437060724922206 0.277513055799496 "rocks" "autumn"
"water_autumn_rocks_7" -0.80692955369332 -0.103523284577391 -0.632009800383909 "rocks" "autumn"
"water_autumn_rocks_8" -1.05460059204433 0.43674945304236 0.662165179238947 "rocks" "autumn"
"water_autumn_rocks_9" -0.284639931786348 -0.137823757995794 0.740138568857816 "rocks" "autumn"
"water_autumn_sand_1" -0.382269711510126 -0.887870754103067 0.241576230593218 "sand" "autumn"
