Phylum	Scientific_name_arterdk	BOLD_barcode
Acanthocephala	Acanthocephalus anguillae	-
Acanthocephala	Acanthocephalus clavula	-
Acanthocephala	Acanthocephalus lucii	-
Acanthocephala	Echinorhynchus gadi	x
Acanthocephala	Echinorhynchus truttae	x
Acanthocephala	Pomphorhynchus laevis	x
Acanthocephala	Polymorphus minutus	-
Annelida	Cognettia glandulosa	-
Annelida	Cognettia sphagnetorum	x
Annelida	Enchytraeus capitatus	-
Annelida	Enchytraeus christenseni	x
Annelida	Enchytraeus lacteus	x
Annelida	Fridericia bulboides	-
Annelida	Fridericia bulbosa	-
Annelida	Fridericia callosa	-
Annelida	Fridericia parathalassia	-
Annelida	Fridericia paroniana	x
Annelida	Fridericia perrieri	-
Annelida	Fridericia ratzeli	x
Annelida	Fridericia striata	-
Annelida	Globulidrilus riparius	-
Annelida	Hemifridericia parva	x
Annelida	Henlea nasuta	x
Annelida	Henlea perpusilla	-
Annelida	Henlea ventriculosa	x
Annelida	Lumbricillus arenarius	x
Annelida	Lumbricillus fennicus	-
Annelida	Lumbricillus fossarum	-
Annelida	Lumbricillus kaloensis	x
Annelida	Lumbricillus lineatus	x
Annelida	Lumbricillus pagenstecheri	x
Annelida	Lumbricillus rivalis	x
Annelida	Marionina argentea	-
Annelida	Marionina communis	x
Annelida	Marionina preclitellochaeta	-
Annelida	Mesenchytraeus armatus	x
Annelida	Lumbriculus variegatus	x
Annelida	Glossiphonia heteroclita	-
Annelida	Piscicola geometra	x
Annelida	Pontobdella muricata	x
Annelida	Baltidrilus costatus	-
Annelida	Clitellio arenarius	-
Annelida	Limnodrilus udekemianus	x
Annelida	Monopylephorus rubroniveus	-
Annelida	Psammoryctides albicola	-
Annelida	Psammoryctides barbatus	x
Annelida	Tubifex nerthus	-
Annelida	Tubifex tubifex	x
Annelida	Hermodice carunculata	x
Annelida	Paramphinome jeffreysii	-
Annelida	Euphrosine borealis	-
Annelida	Bonellia viridis	-
Annelida	Maxmuelleria lankesteri	-
Annelida	Echiurus echiurus	-
Annelida	Dimorphilus gyrociliatus	-
Annelida	Dinophilus taeniatus	-
Annelida	Trilobodrilus axi	-
Annelida	Trilobodrilus heideri	-
Annelida	Diurodrilus minimus	-
Annelida	Diurodrilus subterraneus	-
Annelida	Ophryotrocha gerlachi	-
Annelida	Ophryotrocha geryonicola	-
Annelida	Ophryotrocha hartmanni	x
Annelida	Ophryotrocha longidentata	-
Annelida	Ophryotrocha maculata	-
Annelida	Ophryotrocha puerilis	-
Annelida	Ophryotrocha socialis	-
Annelida	Ougia subaequalis	-
Annelida	Parapodrilus psammophilus	-
Annelida	Parophryotrocha isochaeta	-
Annelida	Parougia eliasoni	-
