"Eelgrass"	"Rocks"	"Sand"
"1"	"Acaridae"	"Acartiidae"	"Acartiidae"
"2"	"Acartiidae"	"Acinetosporaceae"	"Acinetosporaceae"
"3"	"Acinetosporaceae"	"Acrochaetiaceae"	"Acrochaetiaceae"
"4"	"Acrochaetiaceae"	"Ahnfeltiaceae"	"Ahnfeltiaceae"
"5"	"Ahnfeltiaceae"	"Arcticidae"	"Ammodytidae"
"6"	"Arenicolidae"	"Arenicolidae"	"Arenicolidae"
"7"	"Ascidiidae"	"Ascidiidae"	"Aspergillaceae"
"8"	"Aspergillaceae"	"Aspergillaceae"	"Asteriidae"
"9"	"Asteriidae"	"Asteriidae"	"Attheyaceae"
"10"	"Attheyaceae"	"Attheyaceae"	"Bacillariaceae"
"11"	"Bacillariaceae"	"Bacillariaceae"	"Bangiaceae"
"12"	"Bathycoccaceae"	"Balanidae"	"Bathycoccaceae"
"13"	"Belonidae"	"Bangiaceae"	"Belonidae"
"14"	"Berkeleyaceae"	"Bathycoccaceae"	"Berkeleyaceae"
"15"	"Bonnemaisoniaceae"	"Berkeleyaceae"	"Bolinopsidae"
"16"	"Buccinidae"	"Bolinopsidae"	"Bonnemaisoniaceae"
"17"	"Callithamniaceae"	"Bougainvilliidae"	"Bougainvilliidae"
"18"	"Canuellidae"	"Calanidae"	"Callithamniaceae"
"19"	"Capitellidae"	"Callithamniaceae"	"Canuellidae"
"20"	"Caprellidae"	"Capitellidae"	"Capitellidae"
"21"	"Carcinidae"	"Carcinidae"	"Carcinidae"
"22"	"Cardiidae"	"Cardiidae"	"Cardiidae"
"23"	"Centropagidae"	"Centropagidae"	"Centropagidae"
"24"	"Ceramiaceae"	"Ceramiaceae"	"Ceramiaceae"
"25"	"Cerithiidae"	"Cerithiidae"	"Cerithiidae"
"26"	"Chaetocerotaceae"	"Chaetocerotaceae"	"Chaetocerotaceae"
"27"	"Chaetonotidae"	"Chattonellaceae"	"Chaetonotidae"
"28"	"Chattonellaceae"	"Chordaceae"	"Chattonellaceae"
"29"	"Chordaceae"	"Chordariaceae"	"Chordaceae"
"30"	"Chordariaceae"	"Chromadoridae"	"Chordariaceae"
"31"	"Chromadoridae"	"Chroomonadaceae"	"Chromadoridae"
"32"	"Chydoridae"	"Cicerinidae"	"Cicerinidae"
"33"	"Cicerinidae"	"Clausocalanidae"	"Cirratulidae"
"34"	"Cionidae"	"Cletodidae"	"Clausocalanidae"
"35"	"Cletodidae"	"Clytiidae"	"Cletodidae"
"36"	"Clytiidae"	"Corophiidae"	"Clytiidae"
"37"	"Corophiidae"	"Corynidae"	"Corophiidae"
"38"	"Corynidae"	"Cyaneidae"	"Corynidae"
"39"	"Cyaneidae"	"Cylindropsyllidae"	"Cyaneidae"
"40"	"Dactylopodida"	"Cymatosiraceae"	"Cylindropsyllidae"
"41"	"Dactylopodolidae"	"Dactylopodida"	"Cymatosiraceae"
"42"	"Dasyaceae"	"Dactylopodolidae"	"Dactylopodida"
"43"	"Dictyotaceae"	"Dasyaceae"	"Dactylopodolidae"
"44"	"Dumontiaceae"	"Dictyotaceae"	"Dasyaceae"
"45"	"Echinamoebida"	"Diurodrilidae"	"Dictyotaceae"
"46"	"Ectocarpaceae"	"Dumontiaceae"	"Dumontiaceae"
"47"	"Elminiidae"	"Echinamoebida"	"Ectocarpaceae"
"48"	"Enchytraeidae"	"Ectocarpaceae"	"Enchytraeidae"
"49"	"Fucaceae"	"Eimeriidae"	"Fucaceae"
"50"	"Gammaridae"	"Enchytraeidae"	"Gnathostomulidae"
"51"	"Gigartinaceae"	"Erythrotrichiaceae"	"Gymnodiniaceae"
"52"	"Gnathostomulidae"	"Facelinidae"	"Halichondriidae"
"53"	"Gymnodiniaceae"	"Fucaceae"	"Harpacticidae"
"54"	"Halichondriidae"	"Gammaridae"	"Haustoriidae"
"55"	"Hapalidiaceae"	"Gigartinaceae"	"Heterocapsaceae"
"56"	"Harpacticidae"	"Gnathostomulidae"	"Hildenbrandiaceae"
"57"	"Heterocapsaceae"	"Gobiidae"	"Hydrobiidae"
