15_water	17_water	18_water	4_water	5_water	10_water	11_water	12_water	13_water	16_water	19_water	20_water	21_water	25_water	26_water	27_water	28_water	3_water	31_water	6_water	8_water	14_water	23_water	24_water	29_water	30_water	32_water	33_water	9_water	7_water	1_water	final.id
COSQ_000144464	0.9104938272	0.9318826701	1.0000000000	0.5671060504	0.7277486911	0.000000e+00	0.0000000000	0.0000000000	0.000000e+00	0.000000e+00	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.000000e+00	0.0000000000	0.000000e+00	0.0000000000	0.0000000000	0.000000e+00	0.000000e+00	0.0000000000	0.0000000000	0.0000000000	0.000000e+00	0.000000e+00	0.000000000	0.000000e+00	0.0000000000	0.0000000000	Abra alba
COSQ_000698107	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.2251308901	0.000000e+00	0.0000000000	0.0000000000	0.000000e+00	0.000000e+00	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.000000e+00	0.0000000000	0.000000e+00	0.0000000000	0.0000000000	0.000000e+00	0.000000e+00	0.0000000000	0.0000000000	0.0000000000	0.000000e+00	0.000000e+00	0.000000000	0.000000e+00	0.0000000000	0.0000000000	Abra alba
COSQ_000698113	0.0000000000	0.0000000000	0.0000000000	0.3823888991	0.0471204188	0.000000e+00	0.0000000000	0.0000000000	0.000000e+00	0.000000e+00	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.000000e+00	0.0000000000	0.000000e+00	0.0000000000	0.0000000000	0.000000e+00	0.000000e+00	0.0000000000	0.0000000000	0.0000000000	0.000000e+00	0.000000e+00	0.000000000	0.000000e+00	0.0000000000	0.0000000000	Abra alba
COSQ_001143690	0.0000000000	0.0000000000	0.0000000000	0.0505050505	0.0000000000	0.000000e+00	0.0000000000	0.0000000000	0.000000e+00	0.000000e+00	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.000000e+00	0.0000000000	0.000000e+00	0.0000000000	0.0000000000	0.000000e+00	0.000000e+00	0.0000000000	0.0000000000	0.0000000000	0.000000e+00	0.000000e+00	0.000000000	0.000000e+00	0.0000000000	0.0000000000	Abra alba
COSQ_001422975	0.0895061728	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.000000e+00	0.0000000000	0.0000000000	0.000000e+00	0.000000e+00	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.000000e+00	0.0000000000	0.000000e+00	0.0000000000	0.0000000000	0.000000e+00	0.000000e+00	0.0000000000	0.0000000000	0.0000000000	0.000000e+00	0.000000e+00	0.000000000	0.000000e+00	0.0000000000	0.0000000000	Abra alba
COSQ_001434666	0.0000000000	0.0563063063	0.0000000000	0.0000000000	0.0000000000	0.000000e+00	0.0000000000	0.0000000000	0.000000e+00	0.000000e+00	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.000000e+00	0.0000000000	0.000000e+00	0.0000000000	0.0000000000	0.000000e+00	0.000000e+00	0.0000000000	0.0000000000	0.0000000000	0.000000e+00	0.000000e+00	0.000000000	0.000000e+00	0.0000000000	0.0000000000	Abra alba
COSQ_001436311	0.0000000000	0.0118110236	0.0000000000	0.0000000000	0.0000000000	0.000000e+00	0.0000000000	0.0000000000	0.000000e+00	0.000000e+00	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.000000e+00	0.0000000000	0.000000e+00	0.0000000000	0.0000000000	0.000000e+00	0.000000e+00	0.0000000000	0.0000000000	0.0000000000	0.000000e+00	0.000000e+00	0.000000000	0.000000e+00	0.0000000000	0.0000000000	Abra alba
COSQ_000089212	0.7962962963	1.0000000000	0.0000000000	1.0000000000	0.0000000000	0.000000e+00	0.0000000000	0.0000000000	0.000000e+00	0.000000e+00	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.000000e+00	0.0000000000	0.000000e+00	0.0000000000	0.0000000000	0.000000e+00	0.000000e+00	0.0000000000	0.0000000000	0.0000000000	0.000000e+00	0.000000e+00	0.000000000	0.000000e+00	0.0000000000	0.0000000000	Abra nitida
COSQ_000089378	0.2037037037	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.000000e+00	0.0000000000	0.0000000000	0.000000e+00	0.000000e+00	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.000000e+00	0.0000000000	0.000000e+00	0.0000000000	0.0000000000	0.000000e+00	0.000000e+00	0.0000000000	0.0000000000	0.0000000000	0.000000e+00	0.000000e+00	0.000000000	0.000000e+00	0.0000000000	0.0000000000	Abra nitida
COSQ_000000394	0.6506666667	0.6193643731	0.0000000000	0.0000000000	0.7631042554	1.000000e+00	0.7301210468	0.7401274420	7.738461e-01	7.531457e-01	0.6616708756	0.4425287356	0.5454717068	0.6134684131	0.6668019481	6.692692e-01	0.6470418289	8.335077e-01	0.4470548862	0.7675765095	6.268657e-01	0.000000e+00	0.0000000000	0.0000000000	0.0000000000	0.000000e+00	0.000000e+00	0.000000000	0.000000e+00	0.0000000000	0.0000000000	Acartia hudsona_tonsa
COSQ_000001940	0.0000000000	0.0212217685	0.0000000000	0.0000000000	0.0191334662	0.000000e+00	0.0177373578	0.0000000000	0.000000e+00	5.078200e-02	0.1109582714	0.0000000000	0.2434826866	0.0283179844	0.0833333333	0.000000e+00	0.0179588494	3.431373e-02	0.0000000000	0.0265317809	0.000000e+00	0.000000e+00	0.0000000000	0.0000000000	0.0000000000	0.000000e+00	0.000000e+00	0.000000000	0.000000e+00	0.0000000000	0.0000000000	Acartia hudsona_tonsa
COSQ_000002061	0.3493333333	0.2462878498	0.0000000000	0.0000000000	0.1488139552	0.000000e+00	0.1824268632	0.2422113783	1.976088e-01	1.200528e-01	0.1210472535	0.5057471264	0.2092779299	0.1798716847	0.0000000000	2.296555e-01	0.1966214649	1.321786e-01	0.5140562249	0.1418845836	0.000000e+00	0.000000e+00	0.0000000000	0.0000000000	0.0000000000	0.000000e+00	0.000000e+00	0.000000000	0.000000e+00	0.0000000000	0.0000000000	Acartia hudsona_tonsa
COSQ_000012669	0.0000000000	0.0108934160	0.0000000000	0.0000000000	0.0011030732	0.000000e+00	0.0009006575	0.0000000000	0.000000e+00	4.990893e-03	0.0096197893	0.0000000000	0.0017676768	0.0000000000	0.0000000000	0.000000e+00	0.0059305774	0.000000e+00	0.0000000000	0.0000000000	0.000000e+00	0.000000e+00	0.0000000000	0.0000000000	0.0000000000	0.000000e+00	0.000000e+00	0.000000000	0.000000e+00	0.0000000000	0.0000000000	Acartia hudsona_tonsa
