water_33	water_32	water_23	water_24	water_25	water_26	water_27	water_21	water_20	water_31	water_28	water_19	water_29	water_16	water_30	water_13	water_18	water_15	water_14	water_17	water_12	water_11	water_7	water_6	water_8	water_5	water_9	water_10	water_4	water_3	water_1
water_33	NA	9	9	6	10	8	9	9	11	11	9	11	7	9	6	6	10	5	3	8	6	7	3	5	9	3	6	4	1	3	4
water_32	9	NA	7	4	7	7	7	7	8	8	6	8	5	7	5	5	9	5	3	6	5	4	2	4	4	2	4	2	1	2	3
water_23	9	7	NA	5	10	6	7	7	9	7	6	8	5	6	4	4	8	4	1	6	6	5	2	5	8	3	4	3	1	3	4
water_24	6	4	5	NA	7	5	6	7	9	7	5	8	8	8	3	3	7	6	1	5	9	6	1	3	6	1	3	2	0	2	3
water_25	10	7	10	7	NA	8	9	11	12	9	7	11	8	10	6	5	12	5	2	6	8	6	2	6	9	3	5	4	2	4	5
water_26	8	7	6	5	8	NA	13	11	11	10	12	15	6	13	13	10	15	10	6	11	7	4	8	7	7	4	5	5	4	4	5
water_27	9	7	7	6	9	13	NA	12	12	11	12	14	8	12	11	9	16	9	6	14	8	4	6	8	7	5	5	4	6	7	6
water_21	9	7	7	7	11	11	12	NA	16	10	11	15	9	12	10	9	12	8	5	10	10	7	6	8	8	4	5	4	6	4	6
water_20	11	8	9	9	12	11	12	16	NA	14	11	16	10	14	11	9	14	8	6	11	11	7	7	7	11	5	5	4	4	4	8
water_31	11	8	7	7	9	10	11	10	14	NA	11	14	7	13	9	12	15	10	7	11	8	7	7	6	7	5	4	2	5	6	4
water_28	9	6	6	5	7	12	12	11	11	11	NA	14	6	14	10	17	16	12	9	16	9	8	12	9	10	5	8	6	7	6	6
water_19	11	8	8	8	11	15	14	15	16	14	14	NA	8	18	17	13	21	13	8	18	12	9	10	10	12	6	7	7	5	6	7
water_29	7	5	5	8	8	6	8	9	10	7	6	8	NA	12	5	4	9	5	2	6	8	7	1	5	8	2	8	5	1	3	4
water_16	9	7	6	8	10	13	12	12	14	13	14	18	12	NA	13	13	21	16	7	21	16	11	8	8	13	5	12	7	5	6	8
water_30	6	5	4	3	6	13	11	10	11	9	10	17	5	13	NA	12	16	11	8	14	9	5	9	6	7	4	4	4	5	2	5
water_13	6	5	4	3	5	10	9	9	9	12	17	13	4	13	12	NA	14	12	9	14	9	6	12	6	9	7	5	2	8	3	3
water_18	10	9	8	7	12	15	16	12	14	15	16	21	9	21	16	14	NA	16	8	23	11	8	9	9	14	6	8	7	6	8	8
water_15	5	5	4	6	5	10	9	8	8	10	12	13	5	16	11	12	16	NA	7	18	12	8	8	7	11	6	6	6	7	6	7
water_14	3	3	1	1	2	6	6	5	6	7	9	8	2	7	8	9	8	7	NA	10	4	3	7	4	3	4	3	2	6	4	3
water_17	8	6	6	5	6	11	14	10	11	11	16	18	6	21	14	14	23	18	10	NA	10	10	10	9	11	8	7	7	8	7	9
water_12	6	5	6	9	8	7	8	10	11	8	9	12	8	16	9	9	11	12	4	10	NA	10	5	7	9	4	6	4	4	5	6
water_11	7	4	5	6	6	4	4	7	7	7	8	9	7	11	5	6	8	8	3	10	10	NA	4	6	11	4	9	7	2	6	8
water_7	3	2	2	1	2	8	6	6	7	7	12	10	1	8	9	12	9	8	7	10	5	4	NA	5	5	3	3	3	5	2	4
water_6	5	4	5	3	6	7	8	8	7	6	9	10	5	8	6	6	9	7	4	9	7	6	5	NA	7	6	6	5	4	6	6
water_8	9	4	8	6	9	7	7	8	11	7	10	12	8	13	7	9	14	11	3	11	9	11	5	7	NA	5	11	10	1	6	10
water_5	3	2	3	1	3	4	5	4	5	5	5	6	2	5	4	7	6	6	4	8	4	4	3	6	5	NA	4	4	7	7	6
water_9	6	4	4	3	5	5	5	5	5	4	8	7	8	12	4	5	8	6	3	7	6	9	3	6	11	4	NA	8	1	6	6
water_10	4	2	3	2	4	5	4	4	4	2	6	7	5	7	4	2	7	6	2	7	4	7	3	5	10	4	8	NA	1	5	8
water_4	1	1	1	0	2	4	6	6	4	5	7	5	1	5	5	8	6	7	6	8	4	2	5	4	1	7	1	1	NA	3	3
water_3	3	2	3	2	4	4	7	4	4	6	6	6	3	6	2	3	8	6	4	7	5	6	2	6	6	7	6	5	3	NA	7
water_1	4	3	4	3	5	5	6	6	8	4	6	7	4	8	5	3	8	7	3	9	6	8	4	6	10	6	6	8	3	7	NA
