Root	Community	Cluster	Season	Habitat	Substrate	Lat	Lon	Geographic_Order	Sub_Area	New_Area	dist_from_C33.km
2C33RB	2C33RB	33	autumn	rocks	sediment	55.02055	14.91195	1	Baltic Sea	Baltic Sea	0
2C33RW	2C33RW	33	autumn	rocks	water	55.02055	14.91195	2	Baltic Sea	Baltic Sea	0
2C33SB	2C33SB	33	autumn	sand	sediment	55.02055	14.91195	3	Baltic Sea	Baltic Sea	0
2C33SW	2C33SW	33	autumn	sand	water	55.02055	14.91195	4	Baltic Sea	Baltic Sea	0
C33RB	C33RB	33	spring	rocks	sediment	55.02055	14.91195	5	Baltic Sea	Baltic Sea	0
C33SB	C33SB	33	spring	sand	sediment	55.02055	14.91195	7	Baltic Sea	Baltic Sea	0
C33SW	C33SW	33	spring	sand	water	55.02055	14.91195	8	Baltic Sea	Baltic Sea	0
2C32RB	2C32RB	32	autumn	rocks	sediment	55.25714	14.819494	9	Baltic Sea	Baltic Sea	46.45742
2C32RW	2C32RW	32	autumn	rocks	water	55.25714	14.819494	10	Baltic Sea	Baltic Sea	46.45742
2C32SB	2C32SB	32	autumn	sand	sediment	55.25714	14.819494	11	Baltic Sea	Baltic Sea	46.45742
2C32SW	2C32SW	32	autumn	sand	water	55.25714	14.819494	12	Baltic Sea	Baltic Sea	46.45742
C32RB	C32RB	32	spring	rocks	sediment	55.25714	14.819494	13	Baltic Sea	Baltic Sea	46.45742
C32RW	C32RW	32	spring	rocks	water	55.25714	14.819494	14	Baltic Sea	Baltic Sea	46.45742
C32SB	C32SB	32	spring	sand	sediment	55.25714	14.819494	15	Baltic Sea	Baltic Sea	46.45742
C32SW	C32SW	32	spring	sand	water	55.25714	14.819494	16	Baltic Sea	Baltic Sea	46.45742
2C23RB	2C23RB	23	autumn	rocks	sediment	54.9502	12.475707	17	Baltic Sea	Baltic Sea	159.5132
2C23RW	2C23RW	23	autumn	rocks	water	54.9502	12.475707	18	Baltic Sea	Baltic Sea	159.5132
2C23SB	2C23SB	23	autumn	sand	sediment	54.9502	12.475707	19	Baltic Sea	Baltic Sea	159.5132
2C23SW	2C23SW	23	autumn	sand	water	54.9502	12.475707	20	Baltic Sea	Baltic Sea	159.5132
C23RB	C23RB	23	spring	rocks	sediment	54.9502	12.475707	21	Baltic Sea	Baltic Sea	159.5132
C23RW	C23RW	23	spring	rocks	water	54.9502	12.475707	22	Baltic Sea	Baltic Sea	159.5132
C23SB	C23SB	23	spring	sand	sediment	54.9502	12.475707	23	Baltic Sea	Baltic Sea	159.5132
C23SW	C23SW	23	spring	sand	water	54.9502	12.475707	24	Baltic Sea	Baltic Sea	159.5132
2C24EB	2C24EB	24	autumn	eelgrass	sediment	55.1359	12.107394	25	Baltic Sea	Baltic Sea	180.9443
2C24EW	2C24EW	24	autumn	eelgrass	water	55.1359	12.107394	26	Baltic Sea	Baltic Sea	180.9443
2C24RB	2C24RB	24	autumn	rocks	sediment	55.1359	12.107394	27	Baltic Sea	Baltic Sea	180.9443
2C24RW	2C24RW	24	autumn	rocks	water	55.1359	12.107394	28	Baltic Sea	Baltic Sea	180.9443
2C24SB	2C24SB	24	autumn	sand	sediment	55.1359	12.107394	29	Baltic Sea	Baltic Sea	180.9443
C24EB	C24EB	24	spring	eelgrass	sediment	55.1359	12.107394	31	Baltic Sea	Baltic Sea	180.9443
C24EW	C24EW	24	spring	eelgrass	water	55.1359	12.107394	32	Baltic Sea	Baltic Sea	180.9443
C24RB	C24RB	24	spring	rocks	sediment	55.1359	12.107394	33	Baltic Sea	Baltic Sea	180.9443
C24RW	C24RW	24	spring	rocks	water	55.1359	12.107394	34	Baltic Sea	Baltic Sea	180.9443
C24SB	C24SB	24	spring	sand	sediment	55.1359	12.107394	35	Baltic Sea	Baltic Sea	180.9443
C24SW	C24SW	24	spring	sand	water	55.1359	12.107394	36	Baltic Sea	Baltic Sea	180.9443
2C25EB	2C25EB	25	autumn	eelgrass	sediment	55.56932	12.288887	37	The Sound	Baltic Sea	182.8389
2C25RB	2C25RB	25	autumn	rocks	sediment	55.56932	12.288887	39	The Sound	Baltic Sea	182.8389
2C25RW	2C25RW	25	autumn	rocks	water	55.56932	12.288887	40	The Sound	Baltic Sea	182.8389
2C25SB	2C25SB	25	autumn	sand	sediment	55.56932	12.288887	41	The Sound	Baltic Sea	182.8389
2C25SW	2C25SW	25	autumn	sand	water	55.56932	12.288887	42	The Sound	Baltic Sea	182.8389
C25EB	C25EB	25	spring	eelgrass	sediment	55.56932	12.288887	43	The Sound	Baltic Sea	182.8389
C25EW	C25EW	25	spring	eelgrass	water	55.56932	12.288887	44	The Sound	Baltic Sea	182.8389
C25RB	C25RB	25	spring	rocks	sediment	55.56932	12.288887	45	The Sound	Baltic Sea	182.8389
C25RW	C25RW	25	spring	rocks	water	55.56932	12.288887	46	The Sound	Baltic Sea	182.8389
C25SB	C25SB	25	spring	sand	sediment	55.56932	12.288887	47	The Sound	Baltic Sea	182.8389
C25SW	C25SW	25	spring	sand	water	55.56932	12.288887	48	The Sound	Baltic Sea	182.8389
2C26EB	2C26EB	26	autumn	eelgrass	sediment	55.75147	12.593566	49	The Sound	Kattegat	186.8034
2C26EW	2C26EW	26	autumn	eelgrass	water	55.75147	12.593566	50	The Sound	Kattegat	186.8034
2C26RB	2C26RB	26	autumn	rocks	sediment	55.75147	12.593566	51	The Sound	Kattegat	186.8034
2C26RW	2C26RW	26	autumn	rocks	water	55.75147	12.593566	52	The Sound	Kattegat	186.8034
2C26SB	2C26SB	26	autumn	sand	sediment	55.75147	12.593566	53	The Sound	Kattegat	186.8034
2C26SW	2C26SW	26	autumn	sand	water	55.75147	12.593566	54	The Sound	Kattegat	186.8034
C26EB	C26EB	26	spring	eelgrass	sediment	55.75147	12.593566	55	The Sound	Kattegat	186.8034
C26EW	C26EW	26	spring	eelgrass	water	55.75147	12.593566	56	The Sound	Kattegat	186.8034
C26RB	C26RB	26	spring	rocks	sediment	55.75147	12.593566	57	The Sound	Kattegat	186.8034
C26RW	C26RW	26	spring	rocks	water	55.75147	12.593566	58	The Sound	Kattegat	186.8034
C26SB	C26SB	26	spring	sand	sediment	55.75147	12.593566	59	The Sound	Kattegat	186.8034
C26SW	C26SW	26	spring	sand	water	55.75147	12.593566	60	The Sound	Kattegat	186.8034
2C27EB	2C27EB	27	autumn	eelgrass	sediment	56.04451	12.609195	61	The Sound	Kattegat	219.3034
2C27EW	2C27EW	27	autumn	eelgrass	water	56.04451	12.609195	62	The Sound	Kattegat	219.3034
2C27RB	2C27RB	27	autumn	rocks	sediment	56.04451	12.609195	63	The Sound	Kattegat	219.3034
2C27RW	2C27RW	27	autumn	rocks	water	56.04451	12.609195	64	The Sound	Kattegat	219.3034
2C27SB	2C27SB	27	autumn	sand	sediment	56.04451	12.609195	65	The Sound	Kattegat	219.3034
2C27SW	2C27SW	27	autumn	sand	water	56.04451	12.609195	66	The Sound	Kattegat	219.3034
C27EB	C27EB	27	spring	eelgrass	sediment	56.04451	12.609195	67	The Sound	Kattegat	219.3034
C27EW	C27EW	27	spring	eelgrass	water	56.04451	12.609195	68	The Sound	Kattegat	219.3034
C27RB	C27RB	27	spring	rocks	sediment	56.04451	12.609195	69	The Sound	Kattegat	219.3034
C27RW	C27RW	27	spring	rocks	water	56.04451	12.609195	70	The Sound	Kattegat	219.3034
C27SB	C27SB	27	spring	sand	sediment	56.04451	12.609195	71	The Sound	Kattegat	219.3034
C27SW	C27SW	27	spring	sand	water	56.04451	12.609195	72	The Sound	Kattegat	219.3034
2C21EB	2C21EB	21	autumn	eelgrass	sediment	54.84749	11.479693	73	Great Belt	Baltic Sea	227.6274
2C21EW	2C21EW	21	autumn	eelgrass	water	54.84749	11.479693	74	Great Belt	Baltic Sea	227.6274
2C21RB	2C21RB	21	autumn	rocks	sediment	54.84749	11.479693	75	Great Belt	Baltic Sea	227.6274
2C21RW	2C21RW	21	autumn	rocks	water	54.84749	11.479693	76	Great Belt	Baltic Sea	227.6274
2C21SB	2C21SB	21	autumn	sand	sediment	54.84749	11.479693	77	Great Belt	Baltic Sea	227.6274
2C21SW	2C21SW	21	autumn	sand	water	54.84749	11.479693	78	Great Belt	Baltic Sea	227.6274
C21EB	C21EB	21	spring	eelgrass	sediment	54.84749	11.479693	79	Great Belt	Baltic Sea	227.6274
C21EW	C21EW	21	spring	eelgrass	water	54.84749	11.479693	80	Great Belt	Baltic Sea	227.6274
C21RB	C21RB	21	spring	rocks	sediment	54.84749	11.479693	81	Great Belt	Baltic Sea	227.6274
C21RW	C21RW	21	spring	rocks	water	54.84749	11.479693	82	Great Belt	Baltic Sea	227.6274
