Sample_ID	N_per_kg_dry_sample	C_per_kg_dry_sample	CN_ratio	Remarks	QC	MISS
2C10EB1	457.5554981	1243.587243	3.170876078	C under QL	C_und_QL	
2C10EB2	456.7238645	1249.205045	3.191000073	C under QL	C_und_QL	
2C10EB3	668.5376725	2562.890569	4.472506367		OK	
2C10RB1	961.1971198	2350.471243	2.852917881		OK	
2C10RB2	1287.852382	2981.453539	2.700901525		OK	
2C10RB3	1836.366773	2985.716064	1.896862576		OK	CN
2C10SB1	651.4494036	1521.147155	2.724189586		OK	
2C10SB2	749.2891006	1472.371032	2.292527948		OK	
2C10SB3	873.9881153	1676.131818	2.237429877		OK	
2C11RB1	291.9166449	2519.866948	10.0708364	N under QL	N_und_QL	
2C11RB2	359.2309071	3069.278376	9.968030869	N under QL	N_und_QL	
2C11RB3	1225.475693	5059.461391	4.816664248		OK	
2C11SB1	289.293063	959.6064994	3.869919673	C under QL	C_und_QL	
2C11SB2	191.4075465	849.7246581	5.179239025	N and C under QL	NC_und_QL	
2C11SB3	196.379385	831.6217583	4.940566368	N and C under QL	NC_und_QL	
2C12RB1	392.5870066	1792.858465	5.327909926		OK	
2C12RB2	853.6368771	2276.898841	3.111840705		OK	
2C12RB3	844.3489703	1898.106374	2.622680331		OK	
2C12SB1	1477.054467	4003.910486	3.16252989		OK	
2C12SB2	419.77127	3394.531019	9.434390754	N under QL	N_und_QL	
2C12SB3	446.2558475	3722.43062	9.731717239	N under QL	N_und_QL	
2C13RB1	947.2534316	1647.636615	2.029280289		OK	
2C13RB2	539.7334751	1382.695786	2.988780867	C under QL	C_und_QL	
2C13RB3	524.2020198	1283.975686	2.857622781	C under QL	C_und_QL	
2C13SB1	615.5463083	1473.314218	2.792424493		OK	
2C13SB2	559.9466785	1453.07387	3.0275255		OK	
2C13SB3	729.6632478	1630.779243	2.607471035		OK	
2C14RB1	40.65083329	546.8495911	15.69441849	N and C under QL	NC_und_QL	
2C14RB2	38.97941556	526.9257689	15.77106074	N and C under QL	NC_und_QL	
2C14RB3	NA	431.4356671	NA	N and C under QL	NC_und_QL	N
2C14SB1	119.9246647	1061.644626	10.32802885	N and C under QL	NC_und_QL	
2C14SB2	106.4857192	938.4923707	10.28220286	N and C under QL	NC_und_QL	
2C14SB3	116.6115739	1042.492611	10.42985133	N and C under QL	NC_und_QL	
2C15RB1	373.1501721	4305.168957	13.46025673	N under QL	N_und_QL	
2C15RB2	332.9992956	4277.80656	14.98734197	N under QL	N_und_QL	
2C15RB3	308.890714	4122.788239	15.57159019	N under QL	N_und_QL	
2C15SB1	323.4870747	2791.066788	10.06607324	N under QL	N_und_QL	
2C15SB2	306.8774038	2818.206958	10.71407695	N under QL	N_und_QL	
2C15SB3	240.7492164	2028.666928	9.830885921	N under QL	N_und_QL	
