Sample_ID	Grain_size	Density_wet	Dry_matter_per_WW	Watercontent	Organic_content	Inorganic_content	TP
2C1SB1	2	1.76813	0.813379107	0.32997	0.007091425	0.005127646	0.153105555
2C1SB2	2	1.80386	0.812529797	0.33817	0.006651647	0.005260523	0.171224286
2C1SB3	2	1.7583	0.816750081	0.322208333	0.006528562	0.005398619	0.171871189
2C1RB1	2	1.834377778	0.806952403	0.354122222	0.011731142	0.006565223	0.439561149
2C1RB2	2	1.793083333	0.759376307	0.431458333	0.018005937	0.008534024	0.536697173
2C1RB3	2	1.834109091	0.804051509	0.359390909	0.009284497	0.01213319	0.297906143
2C3SB1	2	1.83801	0.820713707	0.32953	0.00514459	0.004562323	0.157891944
2C3SB2	2	1.85	0.813818182	0.344436364	0.00516174	0.004669537	0.129816167
2C3SB3	2	1.8886	0.822431666	0.335355556	0.004855573	0.004512019	0.13452466
2C3RB1	2	1.92921	0.844558135	0.29988	0.003855825	0.003632252	0.114753922
2C3RB2	2	1.947433333	0.838317101	0.314866667	0.004284195	0.003573506	0.128283897
2C3RB3	2	1.964245455	0.853059468	0.288627273	0.004404401	0.003415822	0.16139639
2C4SB1	2	1.833322222	0.790835096	0.383466667	0.005706511	0.00607485	0.203721255
2C4SB2	2	1.8068	0.795146115	0.37013	0.004701885	0.005684472	0.247567575
2C4SB3	2	1.86419	0.815442632	0.34405	0.004537273	0.004793991	0.277464111
2C4RB1	2	1.83165	0.82818315	0.314708333	0.004564115	0.005946035	0.180741574
2C4RB2	2	1.84508	0.828175472	0.31703	0.00458178	0.004461362	0.179166747
2C4RB3	2	1.815281818	0.818235085	0.329954545	0.004118794	0.004634449	0.143794024
2C5SB1	2	1.778590476	0.82706477	0.307580952	0.006901011	0.0070989	0.3991452
2C5SB2	2	2.03014	0.832853892	0.33933	0.006139269	0.007886158	0.511900243
2C5SB3	2	1.77921	0.832088399	0.29875	0.006430029	0.007415162	0.46780244
2C5RB1	2	1.92338	0.826810095	0.33311	0.005598186	0.005234291	0.173296414
