Sample_ID	Grain_size	Density_wet	Dry_matter_per_WW	Watercontent	Organic_content	Inorganic_content	TP
C1SB1	1	1.752727273	0.789792531	0.368436364	0.0069432	0.00712238	0.033694307
C1SB2	1	1.701214286	0.811945249	0.319921429	0.006953251	0.008396379	0.158560805
C1SB3	1	1.7369	0.788782523	0.366863636	0.007453591	0.006281643	0.143883324
C1RB1	2	1.811475	0.84149197	0.287133333	0.004678503	0.003278951	0.13840997
C1RB2	2	1.718138462	0.832743846	0.287369231	0.00434515	0.003946844	0.137283913
C1RB3	2	1.740984615	0.850137853	0.260907692	0.004096726	0.003879201	0.150476792
C2RB1	2	2.069033333	0.845149103	0.320391667	0.00259032	0.001199727	0.049897212
C2RB2	2	1.889446667	0.842528853	0.297533333	0.002797447	0.000728502	0.066197793
C2RB3	2	1.898066667	0.834779249	0.3136	0.002690456	0.000566412	0.061604098
C3SB1	1	1.886126667	0.831990782	0.316886667	0.004178412	0.004244736	0.18062948
C3SB2	1	1.941233333	0.820560812	0.348333333	0.005071345	0.004315368	0.145499141
C3SB3	1	1.913433333	0.816882393	0.350383333	0.00558543	0.004189073	0.167758677
C3RB1	2	1.916061538	0.829337423	0.327	0.00561764	0.004416006	0.095038335
C3RB2	2	1.91578	0.83019275	0.325313333	0.005263554	0.004185778	0.089468578
C3RB3	2	1.83044	0.83158512	0.308273333	0.006155483	0.004597614	0.103047644
C4SB1	2	1.84748	0.818354371	0.335586667	0.00472975	0.00472975	0.108811007
C4SB2	2	1.878226667	0.821512491	0.33524	0.004389255	0.004305914	0.233374484
C4SB3	2	1.91662	0.816896411	0.35094	0.004712957	0.005139469	0.246292059
C4RB1	3	1.758753333	0.842615792	0.2768	0.017924562	0.01520765	0.292449098
C4RB2	3	1.805566667	0.822150018	0.32112	0.016437611	0.013768044	0.17833846
C4RB3	3	1.564286667	0.885502657	0.179106667	0.026790132	0.01477345	0.262657469
C5SB1	2	1.905354545	0.83261049	0.318936364	0.0086078	0.00705193	0.809436126
C5SB2	2	1.979242857	0.830093759	0.336285714	0.007393764	0.007499013	0.857456422
C5SB3	2	2.04614	0.833038469	0.341626667	0.00710017	0.007648446	1.181220371
C5RB1	3	1.878766667	0.865645902	0.25242	0.017292419	0.014801444	0.202423379
C5RB2	3	1.944133333	0.858137302	0.2758	0.00931827	0.011249517	0.588392116
C5RB3	2	1.803593333	0.840488802	0.287693333	0.007514039	0.007962245	0.532285887
C6SB1	1	1.864738462	0.813366279	0.348023077	0.006127506	0.00355936	0.577404761
C6SB2	1	1.894271429	0.812728603	0.354742857	0.005189052	0.00278437	0.272430696
C6SB3	1	1.8776	0.810545377	0.35572	0.005654052	0.003210592	0.27421912
C6RB1	2	1.7569	0.816651488	0.322125	0.019088475	0.016382115	0.582175472
C6RB2	2	1.84362	0.809266552	0.35164	0.007995099	0.003982233	0.343903384
C6RB3	2	1.86236	0.821527524	0.33238	0.011125469	0.024551672	0.953846943
C7SB1	3	1.80894375	0.821380571	0.3231125	0.003976357	0.001853842	0.862082048
C7SB2	3	1.733466667	0.8769037	0.213383333	0.004911251	0.002482317	1.474622862
C7SB3	3	1.920268421	0.844215858	0.299147368	0.004403309	0.002187631	1.834943067
C7RB1	3	1.735557143	0.889821301	0.191221429	0.006847082	0.010498859	0.668605987
C7RB2	3	1.686833333	0.923347495	0.1293	0.009402308	0.013568821	1.922786907
C7RB3	2	2.024166667	0.87237217	0.25834	0.004783618	0.003077181	0.428662874
C8EB1	1	1.37102	0.596738195	0.55288	0.04155634	0.009340983	0.999377998
C8EB2	1	1.5	0.5999	0.60015	0.0350474	0.010964282	0.934251447
C8EB3	1	1.548580952	0.629780875	0.573314286	0.0328404	0.009596476	0.900759225
C8RB1	1	1.815563636	0.796852468	0.368827273	0.021608956	0.009753069	0.582657214
C8RB2	1	1.941766667	0.779609634	0.427946667	0.019931663	0.012209567	0.59778306
C8RB3	1	1.466909091	0.780180962	0.322454545	0.018552999	0.006117835	0.478408684
C8SB1	1	1.55805	0.634896184	0.56885	0.037194435	0.043151357	0.998927742
C8SB2	1	1.517953333	0.610352536	0.591466667	0.039280243	0.04201845	1.010793221
C8SB3	1	1.572515385	0.644298454	0.559346154	0.039546786	0.024603848	0.98881385
C9SB1	2	1.79965	0.757369489	0.43665	0.016176875	0.018867925	0.336066991
C9SB2	2	1.789815385	0.749477098	0.448389744	0.016066193	0.029240471	0.341138624
C9SB3	2	1.828825	0.763131154	0.433191667	0.017056018	0.02610945	0.362284213
C9RB1	1	1.67348125	0.735386937	0.442825	0.015293423	0.011110826	0.441758736
C9RB2	1	1.745766667	0.724308327	0.481293333	0.016638045	0.006362433	0.614714459
C9RB3	1	1.680115385	0.703907699	0.497469231	0.027618342	0.032308832	0.672771076
C9EB1	1	1.687806667	0.739468581	0.439726667	0.015400686	0.006237875	0.427102291
C9EB2	1	1.843986667	0.770312873	0.42354	0.008852319	0.003489857	0.420322897
C9EB3	1	1.7264875	0.751757542	0.4285875	0.011645678	0.004065289	0.511312737
C10SB1	2	1.879081818	0.816167471	0.345436364	0.006347135	0.002787994	0.216568635
C10SB2	2	1.884345455	0.815161281	0.3483	0.005891773	0.002658851	0.210435585
C10SB3	2	1.963463636	0.807765498	0.377445455	0.006305218	0.002340859	0.209613001
C10RB1	1	1.899693333	0.818388231	0.345006667	0.016964737	0.02261965	0.273414942
C10RB2	1	1.86052	0.760067078	0.4464	0.012089384	0.011102495	0.275310447
C10RB3	1	1.797733333	0.772265075	0.409406667	0.012296444	0.008640744	0.300015865
C10EB1	2	1.80345	0.786621938	0.384816667	0.005840164	0.003278689	0.192197946
C10EB2	2	1.877291667	0.784094995	0.405316667	0.005658294	0.003312172	0.185560612
C10EB3	2	1.841071429	0.768605238	0.426014286	0.006418117	0.003496047	0.167617789
C11SB1	2	1.84435	0.840621357	0.29395	0.004442341	0.002403233	0.608155527
C11SB2	2	1.70317	0.82262487	0.3021	0.004163331	0.00256205	0.262673547
