Sample_ID	d18O	SD_d18O	d12H	SD_d12H
C1SW	-0.282769637	0.066063522	-1.832532129	0.072687765
C6SW	-1.542978737	0.051456454	-10.9995322	0.056980698
2C10EW	-0.598283738	0.043027511	-3.20828598	0.086701788
2C11SW	-0.713287273	0.076923338	-4.475726666	0.201510298
2C11RW	-0.90043691	0.053943489	-5.367099222	0.211358227
2C12SW	-2.553647274	0.0256671	-17.10966915	0.046317383
2C12RW	-2.751260399	0.021033307	-18.45184449	0.080278889
2C13SW	-1.314543464	0.036382688	-8.988160269	0.185091059
2C13RW	-1.762698256	0.154343448	-12.4409049	0.350976163
2C14SW	-1.335032999	0.03032106	-9.402609901	0.032992423
2C14RW	-1.377733323	0.032688938	-9.179933013	0.108339128
2C15SW	-0.758082115	0.040007083	-5.181270845	0.11507331
C6RW	-1.56401808	0.017736027	-11.69087922	0.062048368
2C15RW	-0.855895647	0.065295227	-5.330111886	0.129746548
2C16SW	-2.296650907	0.033980877	-16.36716785	0.069744534
2C16RW	-2.382349464	0.085453496	-16.47100577	0.112759479
2C16EW	-2.438957962	0.025737133	-17.338725	0.039085803
2C17SW	-1.346772438	0.032356864	-9.178935112	0.07588522
2C17RW	-1.381486977	0.029640625	-9.025266123	0.082150472
2C17EW	-1.467942711	0.045294591	-9.835703006	0.167247621
2C18SW	-1.989322027	0.07309902	-13.81322434	0.211723404
2C18RW	-1.754585619	0.106458912	-13.17442903	0.21824138
2C19SW	-3.356578947	0.059199381	-23.51157486	0.132115732
C7SW	-3.009328058	0.046503405	-22.49234079	0.13647454
2C19RW	-3.296572386	0.073331212	-23.42004159	0.109342428
2C19EW	-3.369472918	0.031593776	-23.62348597	0.040970314
2C20SW	-3.561222456	0.028304593	-28.47240925	0.100169939
2C20RW	-4.417276349	0.022321888	-31.97900236	0.071112352
2C20EW	-4.140601981	0.013464769	-30.99488666	0.028939592
2C21SW	-3.985840149	0.023636836	-29.01395916	0.194624425
2C21RW	-3.857946002	0.032295511	-27.96519352	0.220099674
2C21EW	-4.013104405	0.130880098	-29.22277678	0.157189376
2C23SW	-5.679346151	0.037436613	-41.82641502	0.092324247
2C23RW	-5.455068056	0.026733874	-40.87877217	0.051301722
C7RW	-3.255882879	0.031404883	-23.97033501	0.011354148
2C24SW	-4.916899864	0.034455769	-37.23097386	0.053914748
2C24RW	-4.680680118	0.048267657	-35.59212491	0.11972371
2C24EW	-5.141574912	0.010526158	-38.11104013	0.060535664
2C25SW	-4.946348637	0.016975473	-37.43953916	0.05375686
2C25RW	-5.077609152	0.017084106	-38.08636148	0.044816292
2C25EW	-5.003123362	0.021153408	-37.74321256	0.046379593
2C26SW	-3.677441814	0.007943551	-26.58329919	0.029953297
2C26RW	-3.377015793	0.006271629	-25.08306148	0.062759063
2C26EW	-3.627619097	0.036571391	-26.44543642	0.185769391
2C27SW	-3.03413287	0.004349329	-21.25933026	0.153443149
C8EW	-1.47195223	0.029341381	-9.316529465	0.078155614
2C27RW	-3.437200311	0.015820872	-24.33319396	0.021835751
2C27EW	-3.418231263	0.011536897	-24.19419184	0.043440381
2C28SW	-2.997469309	0.060825707	-22.03175044	0.159833246
2C28RW	-3.125622745	0.035571993	-23.13981448	0.09088821
2C28EW	-3.26782286	0.013352902	-23.71365697	0.078093961
2C29SW	-2.743106749	0.024711671	-22.57081242	0.04603658
2C29RW	-2.668751587	0.019896398	-22.29540808	0.06161304
2C29EW	-2.722783005	0.019072668	-22.41858893	0.057122383
2C30SW	-2.893617522	0.062767561	-21.1507227	0.133278155
2C30RW	-2.618995072	0.044140684	-20.00079303	0.137258637
C8RW	-1.370044005	0.00838451	-9.848406741	0.036669697
2C30EW	-2.91278512	0.069320752	-20.96863373	0.144091638
2C31SW	-4.345476996	0.025481366	-32.05376831	0.051997115
2C31RW	-4.437677396	0.016164777	-32.60637963	0.036228442
2C31EW	-4.310513547	0.064543525	-31.51527771	0.129954992
2C32SW	-6.038857962	0.053391635	-44.65546969	0.057160301
