name	PSU	season	substrate_type
N1w	PSU1	spring	water
C1RW1	PSU1	spring	water
C1SW1	PSU1	spring	water
C2RW1	PSU1	spring	water
C3RW1	PSU1	spring	water
C3SW1	PSU1	spring	water
C4RW1	PSU1	spring	water
C4SW1	PSU1	spring	water
C5RW1	PSU1	spring	water
control_C1	PSU1	spring	water
C5SW1	PSU1	spring	water
C6RW1	PSU1	spring	water
CNE_B8	PSU1	spring	water
C6SW1	PSU1	spring	water
C7RW1	PSU1	spring	water
C7SW1	PSU1	spring	water
C8EW1	PSU1	spring	water
C8RW1	PSU1	spring	water
N2w	PSU1	spring	water
control_C2	PSU1	spring	water
C8SW1	PSU1	spring	water
C9EW1	PSU1	spring	water
C9RW1	PSU1	spring	water
C9SW1	PSU1	spring	water
C10EW1	PSU1	spring	water
CNE_B9	PSU1	spring	water
C10RW1	PSU1	spring	water
C10SW1	PSU1	spring	water
control_C4	PSU1	spring	water
C11RW1	PSU1	spring	water
C11SW1	PSU1	spring	water
C12RW1	PSU1	spring	water
C12SW1	PSU1	spring	water
C13RW1	PSU1	spring	water
C13SW1	PSU1	spring	water
C14RW1	PSU1	spring	water
N3w	PSU1	spring	water
C14SW1	PSU1	spring	water
control_C5RW	PSU1	spring	water
CNE_B10	PSU1	spring	water
C15RW1	PSU1	spring	water
C15SW1	PSU1	spring	water
C16EW1	PSU1	spring	water
C16RW1	PSU1	spring	water
C16SW1	PSU1	spring	water
C17EW1	PSU1	spring	water
C17RW1	PSU1	spring	water
control_C6	PSU1	spring	water
C17SW1	PSU1	spring	water
C18RW1	PSU1	spring	water
C18SW1	PSU1	spring	water
CNE_B11	PSU1	spring	water
C19EW1	PSU1	spring	water
C19RW1	PSU1	spring	water
N4w	PSU1	spring	water
C19SW1	PSU1	spring	water
N5w	PSU2	spring	water
C20EW1	PSU2	spring	water
control_C7RW	PSU2	spring	water
C20RW1	PSU2	spring	water
C20SW1	PSU2	spring	water
C21EW1	PSU2	spring	water
C21RW1	PSU2	spring	water
C21SW1	PSU2	spring	water
C23RW1	PSU2	spring	water
CNE_B12	PSU2	spring	water
C23SW1	PSU2	spring	water
control_C8	PSU2	spring	water
C24EW1	PSU2	spring	water
C24RW1	PSU2	spring	water
C24SW1	PSU2	spring	water
C25EW1	PSU2	spring	water
C25RW1	PSU2	spring	water
C25SW1	PSU2	spring	water
N6w	PSU2	spring	water
C26EW1	PSU2	spring	water
C26RW1	PSU2	spring	water
control_C9RW	PSU2	spring	water
C26SW1	PSU2	spring	water
CNE_B14	PSU2	spring	water
C27EW1	PSU2	spring	water
C27RW1	PSU2	spring	water
C27SW1	PSU2	spring	water
C28EW1	PSU2	spring	water
C28RW1	PSU2	spring	water
C28SW1	PSU2	spring	water
control_C10RW	PSU2	spring	water
C29EW1	PSU2	spring	water
C29RW1	PSU2	spring	water
C29SW1	PSU2	spring	water
C30EW1	PSU2	spring	water
CNE_B15	PSU2	spring	water
N7w	PSU2	spring	water
C30RW1	PSU2	spring	water
C30SW1	PSU2	spring	water
C31EW1	PSU2	spring	water
control_C11RW	PSU2	spring	water
C31RW1	PSU2	spring	water
C31SW1	PSU2	spring	water
C32RW1	PSU2	spring	water
C32SW1	PSU2	spring	water
C33RW1	PSU2	spring	water
C33SW1	PSU2	spring	water
C1RW2	PSU2	spring	water
CNE_B16	PSU2	spring	water
control_C12	PSU2	spring	water
C1SW2	PSU2	spring	water
C2RW2	PSU2	spring	water
C3RW2	PSU2	spring	water
C3SW2	PSU2	spring	water
N8w	PSU2	spring	water
C4RW2	PSU2	spring	water
N9w	PSU3	spring	water
C4SW2	PSU3	spring	water
C5RW2	PSU3	spring	water
C5SW2	PSU3	spring	water
control_C13	PSU3	spring	water
C6RW2	PSU3	spring	water
C6SW2	PSU3	spring	water
