name	extraction_number
C1RB1	S2_1
C1SB1	S3_1
C2RB1	S17_7
C3RB1	S3_4
C3SB1	S3_7
C4RB1	S3_10
C4SB1	S3_13
C5RB1	S16_4
C5SB1	S12_7
C6RB1	S13_4
C6SB1	S16_1
C7RB1	S16_7
C7SB1	S16_10
C8EB1	S9_10
C8RB1	S12_13
CNE_S3	S3_16
C8SB1	S13_13
C9EB1	S9_7
C9RB1	S9_1
C9SB1	S12_10
C10EB1	S12_1
C10RB1	S17_13
C10SB1	S9_4
C11RB1	S12_4
C11SB1	S13_1
C12RB1	S18_6
C12SB1	S18_3
C13RB1	S16_13
C13SB1	S9_13
C14RB1	S6_13
C14SB1	S6_4
CNE_S4	S4_16
C15RB1	S17_4
C15SB1	S17_10
C16EB1	S15_13
C16RB1	S17_1
C16SB1	S15_1
C17EB1	S13_10
C17RB1	S15_10
C17SB1	S15_4
C18RB1	S13_7
C18SB1	S15_7
C19EB1	S11_1
C19RB1	S11_4
C19SB1	S5_1
C20EB1	S5_13
C20RB1	S6_7
CNE_S5	S5_16
C20SB1	S6_10
C21EB1	S6_1
C21RB1	S10_7
C21SB1	S14_7
C23RB1	S11_13
C23SB1	S8_13
C24EB1	S4_7
C24RB1	S5_4
C24SB1	S4_4
C25EB1	S14_1
C25RB1	S7_1
C25SB1	S8_1
C26EB1	S8_10
C26RB1	S4_1
C26SB1	S18_9
CNE_S6	S6_16
C27EB1	S7_10
C27RB1	S11_7
C27SB1	S14_13
C28EB1	S14_10
C28RB1	S14_4
C28SB1	S7_4
C29EB1	S10_10
C29RB1	S10_4
C29SB1	S10_13
C30EB1	S5_7
C30RB1	S5_10
C30SB1	S8_4
C31EB1	S4_13
C31RB1	S10_1
C31SB1	S11_10
CNE_S7	S7_16
C32RB1	S8_7
C32SB1	S4_10
C33RB1	S7_7
C33SB1	S7_13
C1RB2	S2_2
C1SB2	S3_2
C2RB2	S17_8
C3RB2	S3_5
C3SB2	S3_8
C4RB2	S3_11
C4SB2	S3_14
C5RB2	S16_5
C5SB2	S12_8
C6RB2	S13_5
C6SB2	S16_2
CNE_S8	S8_16
C7RB2	S16_8
C7SB2	S16_11
C8EB2	S9_11
C8RB2	S12_14
C8SB2	S13_14
C9EB2	S9_8
C9RB2	S9_2
C9SB2	S12_11
C10EB2	S12_2
C10RB2	S17_14
C10SB2	S9_5
C11RB2	S12_5
C11SB2	S13_2
C12RB2	S18_7
C12SB2	S18_4
CNE_S9	S9_16
C13RB2	S16_14
C13SB2	S9_14
C14RB2	S6_14
C14SB2	S6_5
C15RB2	S17_5
C15SB2	S17_11
C16EB2	S15_14
C16RB2	S17_2
C16SB2	S15_2
C17EB2	S13_11
C17RB2	S15_11
C17SB2	S15_5
C18RB2	S13_8
C18SB2	S15_8
C19EB2	S18_1
CNE_S10	S10_16
C19RB2	S11_5
C19SB2	S5_2
C20EB2	S5_14
C20RB2	S6_8
C20SB2	S6_11
C21EB2	S6_2
C21RB2	S10_8
C21SB2	S14_8
C23RB2	S11_14
C23SB2	S8_14
C24EB2	S4_8
C24RB2	S5_5
C24SB2	S4_5
C25EB2	S14_2
C25RB2	S7_2
CNE_S11	S11_16
C25SB2	S8_2
C26EB2	S8_11
C26RB2	S4_2
C26SB2	S18_10
C27EB2	S7_11
C27RB2	S11_8
C27SB2	S14_14
C28EB2	S14_11
C28RB2	S14_5
C28SB2	S7_5
C29EB2	S10_11
C29RB2	S10_5
C29SB2	S10_14
C30EB2	S5_8
C30RB2	S5_11
CNE_S12	S12_16
