"new_name"	"depth"
"1"	"sediment_autumn_eelgrass_10"	980155
"2"	"sediment_autumn_eelgrass_16"	1529786
"3"	"sediment_autumn_eelgrass_17"	1166370
"4"	"sediment_autumn_eelgrass_19"	1310648
"5"	"sediment_autumn_eelgrass_20"	1134439
"6"	"sediment_autumn_eelgrass_21"	1138276
"7"	"sediment_autumn_eelgrass_24"	1132797
"8"	"sediment_autumn_eelgrass_25"	1143635
"9"	"sediment_autumn_eelgrass_26"	1376067
"10"	"sediment_autumn_eelgrass_27"	1248836
"11"	"sediment_autumn_eelgrass_28"	1404313
"12"	"sediment_autumn_eelgrass_29"	1272622
"13"	"sediment_autumn_eelgrass_30"	1502488
"14"	"sediment_autumn_eelgrass_31"	982497
"15"	"sediment_autumn_eelgrass_8"	1069616
"16"	"sediment_autumn_eelgrass_9"	1230583
"17"	"sediment_autumn_rocks_1"	1028326
"18"	"sediment_autumn_rocks_10"	1151861
"19"	"sediment_autumn_rocks_11"	1197372
"20"	"sediment_autumn_rocks_12"	994569
"21"	"sediment_autumn_rocks_13"	1232344
"22"	"sediment_autumn_rocks_14"	1029341
"23"	"sediment_autumn_rocks_15"	1285983
"24"	"sediment_autumn_rocks_16"	1232809
"25"	"sediment_autumn_rocks_17"	1052623
"26"	"sediment_autumn_rocks_18"	1365831
"27"	"sediment_autumn_rocks_19"	1069119
"28"	"sediment_autumn_rocks_20"	1329753
"29"	"sediment_autumn_rocks_21"	1244224
"30"	"sediment_autumn_rocks_23"	1293287
"31"	"sediment_autumn_rocks_24"	1364277
"32"	"sediment_autumn_rocks_25"	1036934
"33"	"sediment_autumn_rocks_26"	1341701
"34"	"sediment_autumn_rocks_27"	1346342
"35"	"sediment_autumn_rocks_28"	1345842
"36"	"sediment_autumn_rocks_29"	1292921
"37"	"sediment_autumn_rocks_3"	970049
"38"	"sediment_autumn_rocks_30"	1130389
"39"	"sediment_autumn_rocks_31"	1237578
"40"	"sediment_autumn_rocks_32"	1268810
"41"	"sediment_autumn_rocks_33"	1234182
"42"	"sediment_autumn_rocks_4"	1046767
"43"	"sediment_autumn_rocks_5"	867741
"44"	"sediment_autumn_rocks_6"	1393577
"45"	"sediment_autumn_rocks_7"	1141499
"46"	"sediment_autumn_rocks_8"	1125572
"47"	"sediment_autumn_rocks_9"	1405788
"48"	"sediment_autumn_sand_1"	1014078
"49"	"sediment_autumn_sand_10"	1323965
"50"	"sediment_autumn_sand_11"	1356181
"51"	"sediment_autumn_sand_12"	895547
"52"	"sediment_autumn_sand_13"	1161013
"53"	"sediment_autumn_sand_14"	1259341
"54"	"sediment_autumn_sand_15"	1255560
"55"	"sediment_autumn_sand_16"	1606776
"56"	"sediment_autumn_sand_17"	1207086
"57"	"sediment_autumn_sand_18"	878216
"58"	"sediment_autumn_sand_19"	1189084
"59"	"sediment_autumn_sand_20"	1398367
"60"	"sediment_autumn_sand_21"	1393591
"61"	"sediment_autumn_sand_23"	989192
"62"	"sediment_autumn_sand_24"	1074567
"63"	"sediment_autumn_sand_25"	1241195
"64"	"sediment_autumn_sand_26"	1289361
"65"	"sediment_autumn_sand_27"	1249194
"66"	"sediment_autumn_sand_28"	1211068
"67"	"sediment_autumn_sand_29"	1266733
"68"	"sediment_autumn_sand_3"	812829
"69"	"sediment_autumn_sand_30"	1335294
"70"	"sediment_autumn_sand_31"	1251609
"71"	"sediment_autumn_sand_32"	1231945
"72"	"sediment_autumn_sand_33"	1361255
"73"	"sediment_autumn_sand_4"	788568
"74"	"sediment_autumn_sand_5"	788215
"75"	"sediment_autumn_sand_6"	1125899
"76"	"sediment_autumn_sand_7"	1063248
"77"	"sediment_autumn_sand_8"	1172772
"78"	"sediment_autumn_sand_9"	1131190
"79"	"sediment_spring_eelgrass_10"	770908
"80"	"sediment_spring_eelgrass_16"	1077687
"81"	"sediment_spring_eelgrass_17"	1321306
"82"	"sediment_spring_eelgrass_19"	1535076
"83"	"sediment_spring_eelgrass_20"	931548
"84"	"sediment_spring_eelgrass_21"	1570547
"85"	"sediment_spring_eelgrass_24"	1188194
"86"	"sediment_spring_eelgrass_25"	757610
"87"	"sediment_spring_eelgrass_26"	1103576
"88"	"sediment_spring_eelgrass_27"	1325832
"89"	"sediment_spring_eelgrass_28"	1379087
"90"	"sediment_spring_eelgrass_29"	1319974
"91"	"sediment_spring_eelgrass_30"	1427505
"92"	"sediment_spring_eelgrass_31"	1224725
"93"	"sediment_spring_eelgrass_8"	1117871
"94"	"sediment_spring_eelgrass_9"	1657824
"95"	"sediment_spring_rocks_1"	1148225
"96"	"sediment_spring_rocks_10"	1148429
"97"	"sediment_spring_rocks_11"	1277433
"98"	"sediment_spring_rocks_12"	681594
"99"	"sediment_spring_rocks_13"	710336
"100"	"sediment_spring_rocks_14"	1157712
"101"	"sediment_spring_rocks_15"	1068935
"102"	"sediment_spring_rocks_16"	1277924
"103"	"sediment_spring_rocks_17"	1068059
"104"	"sediment_spring_rocks_18"	720838
"105"	"sediment_spring_rocks_19"	1631597
"106"	"sediment_spring_rocks_2"	1268608
"107"	"sediment_spring_rocks_20"	943969
"108"	"sediment_spring_rocks_21"	1528352
"109"	"sediment_spring_rocks_23"	1200569
"110"	"sediment_spring_rocks_24"	1320793
"111"	"sediment_spring_rocks_25"	1073461
"112"	"sediment_spring_rocks_26"	1483610
"113"	"sediment_spring_rocks_27"	1076951
"114"	"sediment_spring_rocks_28"	1079460
"115"	"sediment_spring_rocks_29"	1141950
"116"	"sediment_spring_rocks_3"	1073405
"117"	"sediment_spring_rocks_30"	1236475
"118"	"sediment_spring_rocks_31"	1115451
