root	cluster	season	habitat	substrate_type	field_replicate	over_median
2C10EB3	2C10EB3	10	autumn	eelgrass	sediment	3	TRUE
2C10EW1	2C10EW1	10	autumn	eelgrass	water	1	TRUE
2C10RB3	2C10RB3	10	autumn	rocks	sediment	3	TRUE
2C10SB1	2C10SB1	10	autumn	sand	sediment	1	TRUE
2C10SB2	2C10SB2	10	autumn	sand	sediment	2	TRUE
2C10SB3	2C10SB3	10	autumn	sand	sediment	3	TRUE
2C10SW1	2C10SW1	10	autumn	sand	water	1	TRUE
2C10SW2	2C10SW2	10	autumn	sand	water	2	TRUE
2C11RB3	2C11RB3	11	autumn	rocks	sediment	3	TRUE
2C11RW1	2C11RW1	11	autumn	rocks	water	1	TRUE
2C11SB1	2C11SB1	11	autumn	sand	sediment	1	TRUE
2C11SB3	2C11SB3	11	autumn	sand	sediment	3	TRUE
2C11SW3	2C11SW3	11	autumn	sand	water	3	TRUE
2C12RB3	2C12RB3	12	autumn	rocks	sediment	3	TRUE
2C12RW1	2C12RW1	12	autumn	rocks	water	1	TRUE
2C12RW3	2C12RW3	12	autumn	rocks	water	3	TRUE
2C12SW1	2C12SW1	12	autumn	sand	water	1	TRUE
2C13RB2	2C13RB2	13	autumn	rocks	sediment	2	TRUE
2C13RB3	2C13RB3	13	autumn	rocks	sediment	3	TRUE
2C13RW1	2C13RW1	13	autumn	rocks	water	1	TRUE
2C13SB3	2C13SB3	13	autumn	sand	sediment	3	TRUE
2C13SW1	2C13SW1	13	autumn	sand	water	1	TRUE
2C14RW1	2C14RW1	14	autumn	rocks	water	1	TRUE
2C14RW3	2C14RW3	14	autumn	rocks	water	3	TRUE
2C14SB1	2C14SB1	14	autumn	sand	sediment	1	TRUE
2C14SB3	2C14SB3	14	autumn	sand	sediment	3	TRUE
2C14SW1	2C14SW1	14	autumn	sand	water	1	TRUE
2C14SW3	2C14SW3	14	autumn	sand	water	3	TRUE
2C15RB3	2C15RB3	15	autumn	rocks	sediment	3	TRUE
2C15RW1	2C15RW1	15	autumn	rocks	water	1	TRUE
2C15SB3	2C15SB3	15	autumn	sand	sediment	3	TRUE
2C15SW1	2C15SW1	15	autumn	sand	water	1	TRUE
2C15SW2	2C15SW2	15	autumn	sand	water	2	TRUE
2C16EB1	2C16EB1	16	autumn	eelgrass	sediment	1	TRUE
2C16EB3	2C16EB3	16	autumn	eelgrass	sediment	3	TRUE
2C16EW1	2C16EW1	16	autumn	eelgrass	water	1	TRUE
2C16EW2	2C16EW2	16	autumn	eelgrass	water	2	TRUE
2C16RB3	2C16RB3	16	autumn	rocks	sediment	3	TRUE
2C16RW1	2C16RW1	16	autumn	rocks	water	1	TRUE
2C16RW2	2C16RW2	16	autumn	rocks	water	2	TRUE
2C16SB1	2C16SB1	16	autumn	sand	sediment	1	TRUE
2C16SB3	2C16SB3	16	autumn	sand	sediment	3	TRUE
2C16SW1	2C16SW1	16	autumn	sand	water	1	TRUE
2C16SW2	2C16SW2	16	autumn	sand	water	2	TRUE
2C17EB3	2C17EB3	17	autumn	eelgrass	sediment	3	TRUE
2C17EW2	2C17EW2	17	autumn	eelgrass	water	2	TRUE
2C17RW1	2C17RW1	17	autumn	rocks	water	1	TRUE
2C17RW2	2C17RW2	17	autumn	rocks	water	2	TRUE
2C17SB1	2C17SB1	17	autumn	sand	sediment	1	TRUE
2C17SB3	2C17SB3	17	autumn	sand	sediment	3	TRUE
2C17SW1	2C17SW1	17	autumn	sand	water	1	TRUE
2C17SW2	2C17SW2	17	autumn	sand	water	2	TRUE
2C18RB2	2C18RB2	18	autumn	rocks	sediment	2	TRUE
2C18RB3	2C18RB3	18	autumn	rocks	sediment	3	TRUE
2C18RW2	2C18RW2	18	autumn	rocks	water	2	TRUE
2C18SB2	2C18SB2	18	autumn	sand	sediment	2	TRUE
2C18SW1	2C18SW1	18	autumn	sand	water	1	TRUE
