Sample_ID	NO2NO3 	NO2 	NH3	PO4	Si 	NO3 	Latitude	Longitude	Chlorophyll	Salinity	Temperature	CTD_depth	Time
2C10EW	0.615	0.15	2.99	0.855	36.645	0.465	56.55391126	8.61017776	3.652221457	29.95134094	16.59964752	99.35131073	09/09/2019
2C10RW	1.375	0.255	7.435	0.92	34.875	1.12	56.55032935	8.61454023	5.104176772	29.89684525	16.1827774	78.6192894	10/09/2019
2C10SW	0.81	0.205	2.1	0.605	37.57	0.605	56.55925617	8.61504498	3.68215868	30.00251403	16.72975922	99.93276596	09/09/2019
2C11RW	0.65	0.075	2.77	1.46	11.18	0.575	56.8039704	10.282349	1.360527036	28.69282292	18.0800972	28.28512192	02/09/2019
2C11SW	0.16	0.025	0.84	0.645	7.365	0.135	56.79719521	10.28607025	1.299155729	29.26305749	17.19214821	100.249958	02/09/2019
2C12RW	10.24	0.345	3.455	1.235	85.5	9.895	56.60978684	10.30299737	3.367817838	19.19471169	15.94149971	64.81637955	05/09/2019
2C12SW	9.315	0.285	3.25	1.085	82.415	9.03	56.60705356	10.29712065	3.203163112	20.48894056	15.28698158	71.95491791	05/09/2019
2C13RW	0.755	0.04	-0.065	0.325	5.985	0.715	56.44552427	10.95986495	1.870956688	25.8002098	13.13498974	101.5153885	17/10/2019
2C13SW	2.4	0.235	0.145	0.4	9.26	2.165	56.44816462	10.95508786	1.556615847	27.41535732	13.04090214	101.7793655	17/10/2019
2C14RW	1.32	0.115	0.12	0.345	8.085	1.205	56.1388617	10.219473	0.758788854	27.10616722	15.42168236	27.0154953	12/09/2019
2C14SW	0.725	0.03	0.185	0.255	8.475	0.695	56.12285239	10.22345435	1.173419393	26.73888949	15.50922108	100.5169868	12/09/2019
2C15RW	1.71	0.04	-0.135	0.955	9.755	1.67	55.7030775	9.6995034	1.068639112	28.81402122	12.93408966	62.44277954	19/09/2019
2C15SW	0.18	0.015	1.08	1	10.245	0.165	55.70038092	9.710981	6.076058779	28.90309459	12.94756222	100.1495361	19/09/2019
2C16EW	0.255	0.01	0.445	0.345	6.825	0.245	55.5021309	10.61310246	1.257243617	22.0976984	12.66548824	94.69795227	18/09/2019
2C16RW	1.005	0.05	1.58	0.665	7.75	0.955	55.48628704	10.59840165	2.664293098	21.88548944	12.49409676	46.31347656	18/09/2019
2C16SW	0.35	0.03	0.57	0.36	7.535	0.32	55.49418168	10.61822206	1.676364739	22.11475489	12.94719028	93.64023209	18/09/2019
2C17EW	0.565	0.02	0.45	0.425	9.38	0.545	55.48243617	9.71511814	1.45632615	27.44520775	14.80323792	97.44739532	16/09/2019
2C17RW	1.625	0.04	1.86	0.76	6.23	1.585	55.48988732	9.72807937	1.526678624	27.2721379	14.69228935	100.6732941	16/09/2019
2C17SW	0.4	0.02	0.4	0.67	12.56	0.38	55.4722045	9.72438389	1.457823011	27.3424993	14.93069649	72.96266556	16/09/2019
2C18RW	0.48	0.185	11.16	1.77	38.235	0.295	55.11464713	9.50277209	13.3957098	24.20350357	14.80176163	36.00263596	17/09/2019
2C18SW	0.885	0.225	5.975	2.405	41.765	0.66	55.11825552	9.4882245	NA	24.25895595	14.33679962	109.3956947	17/09/2019
2C19EW	26.66	0.41	1.31	0.42	12.04	26.25	55.04167237	10.25488398	5.403429253	17.74977314	12.03675652	100.1446724	21/10/2019
2C19RW	13.835	0.23	1.515	0.42	6.045	13.605	55.04015914	10.25435219	2.230083615	18.51820737	12.13624001	102.5773048	21/10/2019
2C19SW	11.065	0.195	0.775	0.335	5.65	10.87	55.06489033	10.21874036	7.257381599	18.35552642	11.76206017	100.0916481	21/10/2019
2C1RW	13.525	0.675	5.695	0.85	9.79	12.85	55.4464839	8.4066144	2.328936326	28.44073047	15.92016506	59.16004181	24/09/2019
2C1SW	2.48	0.265	0.62	0.265	10.99	2.215	55.46983904	8.31535033	3.293004718	31.40622371	14.86349869	100.0914574	24/09/2019
2C20EW	0.18	-0.01	4.905	0.125	3.46	0.19	54.8791064	11.01524311	2.469581399	14.62111002	12.27562714	98.13756943	22/10/2019
2C20RW	0.255	-0.02	0.88	0.095	2.705	0.275	54.8803404	11.0176403	2.499518622	14.62492735	12.63769722	50.49133301	22/10/2019
2C20SW	0.225	-0.01	2.355	0.115	3.155	0.235	54.88502254	11.01350353	2.664173349	14.63151744	12.40977383	98.87742996	22/10/2019
2C21EW	0.51	0.045	5.59	0.065	4.71	0.465	54.91905585	11.49217673	1.297539119	15.72899068	12.23364067	99.66945648	23/10/2019
2C21RW	0.695	0	0.52	-0.005	1.6	0.695	54.8378707	11.4936118	1.080494252	16.85777504	12.67362499	49.64475632	23/10/2019
2C21SW	0.17	-0.04	0.045	-0.1	1.025	0.21	54.84748884	11.47969321	0.306617038	16.47211128	12.1745863	98.08387756	23/10/2019
2C23RW	0.59	0.01	0.915	0.13	3.17	0.58	54.955125	12.4624129	2.798890852	9.231963865	12.53521729	66.19215012	24/10/2019
2C23SW	0.23	-0.01	0.245	0.02	3.725	0.24	54.95019802	12.47570698	1.541527486	9.080047563	12.68154907	101.3571739	24/10/2019
2C24EW	0.22	-0.025	2.42	0.045	1.39	0.245	55.13308773	12.08769028	2.768953629	10.32708528	11.12942696	62.01438904	10/10/2019
2C24RW	0.52	0.05	1.91	0.48	5.315	0.47	55.1701609	12.0908908	9.712233884	10.25186785	13.21798706	27.59523392	10/10/2019
2C24SW	0.25	-0.015	1.685	-0.025	3.705	0.265	55.135901	12.10739352	1.104444031	10.34501222	10.84817219	45.09439468	10/10/2019
2C25EW	1.975	0.055	0.68	0.22	9.16	1.92	55.56489727	12.28239716	1.412797428	11.01270833	13.23527145	99.71990585	03/10/2019
2C25RW	1.195	0.09	1.925	0.735	12.5	1.105	55.56748637	12.28656134	1.541527486	11.48047651	13.93920994	88.93280029	03/10/2019
2C25SW	1.385	0.185	2.475	0.6	17.9	1.2	55.56931596	12.28888679	0.84249333	11.48569882	13.91094685	104.7979355	03/10/2019
2C26EW	1.61	0.025	0.235	0.335	6.005	1.585	55.74929873	12.59476462	2.499518622	17.44999892	14.17746925	99.87468719	02/10/2019
2C26RW	1.13	0.03	0.59	0.275	4.665	1.1	55.75903234	12.60278652	1.357413565	18.09406033	14.03590584	89.88018036	02/10/2019
2C26SW	0.35	0.015	0.175	0.36	5.165	0.335	55.75146986	12.59356584	2.903671133	17.85499409	14.3802433	100.084877	02/10/2019
