supergroup	new_phylum	class	uni_multi
Amoebozoans	Discosea	Flabellinia	U
Amoebozoans	Evosea	Eumycetozoa	U
Amoebozoans	Evosea	Variosea	U
Amoebozoans	Tubulinea	Echinamoebida	U
Amoebozoans	Tubulinea	Elardia	U
Archaeplastids	Chlorophyta	Chlorodendrophyceae	U
Archaeplastids	Chlorophyta	Chlorophyceae	B
Archaeplastids	Chlorophyta	Chloropicophyceae	U
Archaeplastids	Chlorophyta	Mamiellophyceae	U
Archaeplastids	Chlorophyta	Nephroselmidophyceae	U
Archaeplastids	Chlorophyta	Pyramimonadophyceae	U
Archaeplastids	Chlorophyta	Trebouxiophyceae	B
Archaeplastids	Chlorophyta	Ulvophyceae	B
Archaeplastids	Glaucocystophyceae*	Glaucocystophyceae	U
Archaeplastids	Prasinodermophyta	Prasinodermophyceae	U
Archaeplastids	Rhodelphidia	Rhodelphea	U
Archaeplastids	Rhodophyta	Bangiophyceae	M
Archaeplastids	Rhodophyta	Compsopogonophyceae	M
Archaeplastids	Rhodophyta	Florideophyceae	M
Archaeplastids	Rhodophyta	Rhodellophyceae	M
Archaeplastids	Rhodophyta	Stylonematophyceae	M
Archaeplastids	Streptophyta	Anthocerotopsida	M
Archaeplastids	Streptophyta	Bryopsida	M
Archaeplastids	Streptophyta	Charophyceae	M
Archaeplastids	Streptophyta	Chlorokybophyceae	M
Archaeplastids	Streptophyta	Klebsormidiophyceae	M
Archaeplastids	Streptophyta	Magnoliopsida	M
Archaeplastids	Streptophyta	Marchantiopsida	M
Archaeplastids	Streptophyta	Pinopsida	M
Archaeplastids	Streptophyta	Polypodiopsida	M
Archaeplastids	Streptophyta	Polytrichopsida	M
Archaeplastids	Streptophyta	Zygnemophyceae	M
Breviates	Breviatea*	Breviatea	U
Cryptista	Cryptophyta	Cryptophyceae	U
Discobids	Euglenozoa	Euglenida	U
Discobids	Jakobea*	Jakobea	U
Haptista	Haptophyta	Haptophyta*	U
Opisthokonts	Acanthocephala	Palaeacanthocephala	M
Opisthokonts	Annelida	Clitellata	M
Opisthokonts	Annelida	Polychaeta	M
Opisthokonts	Aphelidea*	Aphelidea	M
Opisthokonts	Arthropoda	Arachnida	M
Opisthokonts	Arthropoda	Branchiopoda	M
Opisthokonts	Arthropoda	Chilopoda	M
Opisthokonts	Arthropoda	Collembola	M
Opisthokonts	Arthropoda	Diplopoda	M
Opisthokonts	Arthropoda	Hexanauplia	M
Opisthokonts	Arthropoda	Insecta	M
Opisthokonts	Arthropoda	Malacostraca	M
Opisthokonts	Arthropoda	Ostracoda	M
Opisthokonts	Arthropoda	Pycnogonida	M
Opisthokonts	Arthropoda	Thecostraca	M
Opisthokonts	Ascomycota	Arthoniomycetes	M
Opisthokonts	Ascomycota	Dothideomycetes	M
Opisthokonts	Ascomycota	Eurotiomycetes	M
Opisthokonts	Ascomycota	Laboulbeniomycetes	M
Opisthokonts	Ascomycota	Leotiomycetes	M
Opisthokonts	Ascomycota	Lichinomycetes	M
Opisthokonts	Ascomycota	Pezizomycetes	M
Opisthokonts	Ascomycota	Saccharomycetes	M
Opisthokonts	Ascomycota	Sordariomycetes	M
Opisthokonts	Ascomycota	Taphrinomycetes	M
Opisthokonts	Basidiomycota	Agaricomycetes	M
Opisthokonts	Basidiomycota	Agaricostilbomycetes	M
Opisthokonts	Basidiomycota	Atractiellomycetes	M
Opisthokonts	Basidiomycota	Classiculomycetes	M
Opisthokonts	Basidiomycota	Cystobasidiomycetes	M
Opisthokonts	Basidiomycota	Exobasidiomycetes	M
Opisthokonts	Basidiomycota	Malasseziomycetes	M
Opisthokonts	Basidiomycota	Microbotryomycetes	M
Opisthokonts	Basidiomycota	Pucciniomycetes	M
Opisthokonts	Basidiomycota	Tremellomycetes	M
Opisthokonts	Basidiomycota	Tritirachiomycetes	M
Opisthokonts	Basidiomycota	Ustilaginomycetes	M
Opisthokonts	Basidiomycota	Wallemiomycetes	M
Opisthokonts	Blastocladiomycota	Blastocladiomycetes	M
Opisthokonts	Blastocladiomycota	Physodermatomycetes	M
Opisthokonts	Bryozoa	Gymnolaemata	M
Opisthokonts	Bryozoa	Phylactolaemata	M
Opisthokonts	Bryozoa	Stenolaemata	M
Opisthokonts	Chaetognatha	Sagittoidea	M
Opisthokonts	Choanoflagellata*	Choanoflagellata	U
Opisthokonts	Chordata	Actinopteri	M
Opisthokonts	Chordata	Amphibia	M
Opisthokonts	Chordata	Appendicularia	M
Opisthokonts	Chordata	Ascidiacea	M
Opisthokonts	Chordata	Aves	M
Opisthokonts	Chordata	Chondrichthyes	M
Opisthokonts	Chordata	Leptocardii	M
Opisthokonts	Chordata	Mammalia	M
Opisthokonts	Chordata	Thaliacea	M
Opisthokonts	Chytridiomycota	Chytridiomycetes	M
Opisthokonts	Chytridiomycota	Monoblepharidomycetes	M
Opisthokonts	Cnidaria	Anthozoa	M
Opisthokonts	Cnidaria	Hydrozoa	M
Opisthokonts	Cnidaria	Scyphozoa	M
Opisthokonts	Cnidaria	Staurozoa	M
Opisthokonts	Ctenophora	Nuda	M
Opisthokonts	Ctenophora	Tentaculata	M
Opisthokonts	Echinodermata	Asteroidea	M
Opisthokonts	Echinodermata	Crinoidea	M
Opisthokonts	Echinodermata	Echinoidea	M
Opisthokonts	Echinodermata	Holothuroidea	M
Opisthokonts	Echinodermata	Ophiuroidea	M
Opisthokonts	Entoprocta	Entoprocta*	M
Opisthokonts	Filasterea*	Filasterea	U
Opisthokonts	Gastrotricha	Gastrotricha*	M
Opisthokonts	Gnathostomulida	Gnathostomulida*	M
Opisthokonts	Ichthyosporea*	Ichthyosporea	U
Opisthokonts	Kinorhyncha	Allomalorhagida	M
Opisthokonts	Kinorhyncha	Cyclorhagida	M
Opisthokonts	Mollusca	Bivalvia	M
Opisthokonts	Mollusca	Cephalopoda	M
Opisthokonts	Mollusca	Gastropoda	M
Opisthokonts	Mollusca	Polyplacophora	M
Opisthokonts	Mucoromycota	Endogonomycetes	M
Opisthokonts	Mucoromycota	Glomeromycetes	M
Opisthokonts	Mucoromycota	Mortierellomycetes	M
Opisthokonts	Mucoromycota	Mucoromycetes	M
Opisthokonts	Mucoromycota	Umbelopsidomycetes	M
Opisthokonts	Nematoda	Chromadorea	M
Opisthokonts	Nematoda	Enoplea	M
Opisthokonts	Nemertea	Enopla	M
Opisthokonts	Nemertea	Palaeonemertea	M
Opisthokonts	Nemertea	Pilidiophora	M
Opisthokonts	Onychophora	Udeonychophora	M
Opisthokonts	Placozoa	Placozoa*	M
Opisthokonts	Platyhelminthes	Catenulida	M
Opisthokonts	Platyhelminthes	Cestoda	M
Opisthokonts	Platyhelminthes	Monogenea	M
Opisthokonts	Platyhelminthes	Rhabditophora	M
Opisthokonts	Platyhelminthes	Trematoda	M
Opisthokonts	Platyhelminthes	Turbellaria	M
Opisthokonts	Porifera	Calcarea	M
Opisthokonts	Porifera	Demospongiae	M
Opisthokonts	Porifera	Homoscleromorpha	M
Opisthokonts	Rotifera	Eurotatoria	M
Opisthokonts	Tardigrada	Eutardigrada	M
Opisthokonts	Tardigrada	Heterotardigrada	M
Opisthokonts	Xenacoelomorpha	Xenacoelomorpha*	M
Opisthokonts	Zoopagomycota	Entomophthoromycetes	M
Opisthokonts	Zoopagomycota	Harpellomycetes	M
Opisthokonts	Zoopagomycota	Zoopagomycetes	M
SAR_Alveolates	Apicomplexa	Conoidasida	U
SAR_Alveolates	Apicomplexa	Marosporida	U
SAR_Alveolates	Ciliophora	Armophorea	U
SAR_Alveolates	Ciliophora	Colpodea	U
SAR_Alveolates	Ciliophora	Heterotrichea	U
SAR_Alveolates	Ciliophora	Karyorelictea	U
SAR_Alveolates	Ciliophora	Litostomatea	U
SAR_Alveolates	Ciliophora	Muranotrichea	U
SAR_Alveolates	Ciliophora	Nassophorea	U
SAR_Alveolates	Ciliophora	Odontostomatea	U
SAR_Alveolates	Ciliophora	Oligohymenophorea	U
SAR_Alveolates	Ciliophora	Parablepharismea	U
SAR_Alveolates	Ciliophora	Plagiopylea	U
SAR_Alveolates	Ciliophora	Prostomatea	U
SAR_Alveolates	Ciliophora	Spirotrichea	U
SAR_Rhizarians	Acantharea*	Acantharea	U
SAR_Rhizarians	Cercozoa	Chlorarachniophyceae	U
SAR_Rhizarians	Cercozoa	Imbricatea	U
SAR_Rhizarians	Cercozoa	Thecofilosea	U
SAR_Rhizarians	Endomyxa	Ascetosporea	U
SAR_Rhizarians	Endomyxa	Phytomyxea	U
SAR_Rhizarians	Heliozoa	Centroplasthelida	U
SAR_Rhizarians	Polycystinea*	Polycystinea	U
SAR_Stramenopiles	Aurearenophyceae*	Aurearenophyceae	U
SAR_Stramenopiles	Bacillariophyceae*	Bacillariophyceae	U
SAR_Stramenopiles	Bigyra*	Bigyra	U
SAR_Stramenopiles	Bolidophyceae*	Bolidophyceae	U
SAR_Stramenopiles	Chrysomerophyceae*	Chrysomerophyceae	M
SAR_Stramenopiles	Chrysophyceae*	Chrysophyceae	B
SAR_Stramenopiles	Coscinodiscophyceae*	Coscinodiscophyceae	U
SAR_Stramenopiles	Developea*	Developea	U
SAR_Stramenopiles	Dictyochophyceae*	Dictyochophyceae	B
SAR_Stramenopiles	Dinophyceae*	Dinophyceae	U
SAR_Stramenopiles	Eustigmatophyceae*	Eustigmatophyceae	B
SAR_Stramenopiles	Fragilariophyceae*	Fragilariophyceae	U
