	cube_d14N_15N	d12C_13C	log_N	log_C	log_CN_ratio	log_NP_ratio	Dry_matter	Grain_size	Water_content	log_Organic_content	log_Inorganic_content	log_TP	Organic_content	Inorganic_content	C	N	log_PO4	log_Si	log_Chlorophyll	Salinity	Temperature	log_NO2	log_NO3	log_NH3	log_DN	Time	Latitude	Longitude	NO2	NO3	NH3	DN	PO4	Si	season	habitat	sal_group	cluster
autumn_1_rocks	17007.87517	-33.63798969	5.390067708	7.705802067	2.469885038	6.275159876	0.79012674	2	0.381657155	-4.380657088	-4.733824564	-0.885092168	0.013007192	0.009077479	2454.710964	228.3434111	-0.162518929	2.281361457	0.845411651	28.44073047	15.92016506	-0.393042588	2.553343811	1.739588597	2.955951404	24/09/2019	55.4464839	8.4066144	0.675	12.85	5.695	19.22	0.85	9.79	autumn	rocks	3	1
autumn_1_sand	9966.058549	-24.01338235	4.107739811	6.201903286	2.248314155	5.908546026	0.814219662	2	0.330116111	-4.99777611	-5.247415174	-1.800806215	0.006757211	0.005262263	497.558366	60.86186948	-1.328025453	2.396985768	1.191800436	31.40622371	14.86349869	-1.328025453	0.795252403	-0.478035801	1.131402111	24/09/2019	55.46983904	8.31535033	0.265	2.215	0.62	3.1	0.265	10.99	autumn	sand	3	1
autumn_10_eelgrass	4577.478594	-19.24706069	6.251689969	7.368303038	1.270763748	7.88238399	0.79397732	2	0.387804848	-5.137521057	-5.503022658	-1.630694021	0.005930045	0.00408625	1685.227619	527.6056784	-0.15665381	3.601276993	1.295335601	29.95134094	16.59964752	-1.897119985	-0.765717873	1.095273387	1.282321771	09/09/2019	56.55391126	8.61017776	0.15	0.465	2.99	3.605	0.855	36.645	autumn	eelgrass	3	10
autumn_10_rocks	19731.87113	-23.19089851	7.181485039	7.921377409	0.89404305	8.373677785	0.808241222	1	0.338299697	-4.013882285	-3.539681635	-1.192192746	0.018640079	0.029293171	2772.546949	1361.805425	-0.083381609	3.55177024	1.630059179	29.89684525	16.1827774	-1.366491734	0.113328685	2.00619858	2.17588744	10/09/2019	56.55032935	8.61454023	0.255	1.12	7.435	8.81	0.92	34.875	autumn	rocks	3	10
autumn_10_sand	65.19886847	-19.07288358	6.623797134	7.348697764	0.87905131	8.066002965	0.801420058	2	0.367042222	-4.900657146	-5.722947726	-1.442205831	0.007461021	0.00327359	1556.550002	758.2422065	-0.502526821	3.62620586	1.303499178	30.00251403	16.72975922	-1.5847453	-0.502526821	0.741937345	1.068153081	09/09/2019	56.55925617	8.61504498	0.205	0.605	2.1	2.91	0.605	37.57	autumn	sand	3	10
autumn_11_rocks	25187.34191	-21.20087496	6.223839348	8.13005815	2.060369481	7.204361809	0.772816935	1.333333333	0.410559221	-4.099640585	-4.553402228	-0.980522461	0.016638977	0.01385391	3549.535572	625.5410817	0.378436436	2.414126468	0.307872151	28.69282292	18.0800972	-2.590267165	-0.553385238	1.01884732	1.229640551	02/09/2019	56.8039704	10.282349	0.075	0.575	2.77	3.42	1.46	11.18	autumn	rocks	3	11
autumn_11_sand	8149.814083	-20.22966286	5.400631188	6.77827113	1.531790621	6.736095232	0.82409229	2	0.309383333	-5.411466606	-5.799563625	-1.335464044	0.00486004	0.003043568	880.3176386	225.6933315	-0.438504962	1.99673905	0.261714614	29.26305749	17.19214821	-3.688879454	-2.002480501	-0.174353387	0	02/09/2019	56.79719521	10.28607025	0.025	0.135	0.84	1	0.645	7.365	autumn	sand	3	11
autumn_12_rocks	11850.33433	-23.72438895	6.486943322	7.590249398	1.257456756	7.941755155	0.813469868	2	0.353582475	-4.337710854	-4.956287438	-1.454811833	0.013953296	0.00866702	1989.287893	696.857618	0.21107097	4.448516376	1.214265009	19.19471169	15.94149971	-1.064210862	2.292029579	1.239822457	2.617030803	05/09/2019	56.60978684	10.30299737	0.345	9.895	3.455	13.695	1.235	85.5	autumn	rocks	2	12
autumn_12_sand	31384.44087	-20.95584603	6.479469188	8.215693267	1.89037476	6.906265729	0.713095535	1	0.495884848	-4.518874523	-5.626850397	-0.426796542	0.010911444	0.003602189	3706.957375	781.0271948	0.081579987	4.411767459	1.164138794	20.48894056	15.28698158	-1.255266099	2.200552367	1.178654996	2.530915171	05/09/2019	56.60705356	10.29712065	0.285	9.03	3.25	12.565	1.085	82.415	autumn	sand	2	12
autumn_13_rocks	19609.29694	-27.25655079	6.468839757	7.265534691	0.950845615	8.029961086	0.831789541	3	0.304696667	-4.434941028	-4.377032814	-1.56112133	0.012967176	0.012665588	1438.102696	670.3963088	-1.123930097	1.789256339	0.626449898	25.8002098	13.13498974	-3.218875825	-0.335472736	-2.995732274	-0.216913002	17/10/2019	56.44552427	10.95986495	0.04	0.715	0.05	0.805	0.325	5.985	autumn	rocks	3	13
