phylum	class	phylum_class	new_phylum	new_class	marine	top_MOTU_class	pident_max_class	total_reads_class	class_DK_GBIF	class_SCAND_GBIF	notes
Annelida	Clitellata	Annelida_Clitellata	Annelida	Clitellata	yes	Tubificoides benedii	100	3593383	yes	yes	few marine fx Nais
Annelida	Polychaeta	Annelida_Polychaeta	Annelida	Polychaeta	yes	Nereididae	100	11710139	yes	yes	almost all marine
Apicomplexa	Conoidasida	Apicomplexa_Conoidasida	Apicomplexa	Conoidasida	yes	Eimeria	97.444	1479	yes	yes	NA
Arthropoda	Arachnida	Arthropoda_Arachnida	Arthropoda	Arachnida	yes	Hyalomma	99.681	247446	yes	yes	few marine. Fx Marine families of mites in the order Trombidiformes. Agaue is a marine genus acc. to WoRMs and has a GBIF occurrence in UK
Arthropoda	Branchiopoda	Arthropoda_Branchiopoda	Arthropoda	Branchiopoda	yes	Pleopis polyphemoides	100	33356	yes	yes	NA
Arthropoda	Chilopoda	Arthropoda_Chilopoda	Arthropoda	Chilopoda	no	Strigamia maritima	98.403	447	#N/A	#N/A	#N/A
Arthropoda	Collembola	Arthropoda_Collembola	Arthropoda	Collembola	no	Ceratophysella succinea	100	3267	0	0	NA
Arthropoda	Diplopoda	Arthropoda_Diplopoda	Arthropoda	Diplopoda	no	Tylopus	79.811	60	#N/A	#N/A	#N/A
Arthropoda	Hexanauplia	Arthropoda_Hexanauplia	Arthropoda	Hexanauplia	yes	Acartia	100	6489941	yes	yes	NA
Arthropoda	Insecta	Arthropoda_Insecta	Arthropoda	Insecta	no	Hespera	100	2909979	0	0	NA
Arthropoda	Malacostraca	Arthropoda_Malacostraca	Arthropoda	Malacostraca	yes	Bathyporeia sarsi	100	568485	yes	yes	most aquatic
Arthropoda	Ostracoda	Arthropoda_Ostracoda	Arthropoda	Ostracoda	yes	Bennelongia	95.847	2329	yes	yes	NA
Arthropoda	Pycnogonida	Arthropoda_Pycnogonida	Arthropoda	Pycnogonida	yes	Ammothella	99.361	246	yes	yes	også 100% til Anoplodactylus arter
Arthropoda	Thecostraca	Arthropoda_Thecostraca	Arthropoda	Thecostraca	yes	Arthropoda	100	814683	yes 	yes	NA
Ascomycota	Arthoniomycetes	Ascomycota_Arthoniomycetes	Ascomycota	Arthoniomycetes	yes	Arthonia	87.261	151	yes	yes	NA
Ascomycota	Dothideomycetes	Ascomycota_Dothideomycetes	Ascomycota	Dothideomycetes	yes	Cladosporium	100	7418	yes	yes	NA
Ascomycota	Eurotiomycetes	Ascomycota_Eurotiomycetes	Ascomycota	Eurotiomycetes	yes	Arthrocladium	100	3629	yes	yes	NA
