phylum	class	new_phylum	new_class	marine	possibly_marine
Annelida	Clitellata	Annelida	Clitellata	yes	yes
Annelida	Polychaeta	Annelida	Polychaeta	yes	yes
Apicomplexa	Conoidasida	Apicomplexa	Conoidasida	yes	yes
Arthropoda	Arachnida	Arthropoda	Arachnida	yes	yes
Arthropoda	Branchiopoda	Arthropoda	Branchiopoda	yes	yes
Arthropoda	Chilopoda	Arthropoda	Chilopoda	no	no
Arthropoda	Collembola	Arthropoda	Collembola	no	no
Arthropoda	Diplopoda	Arthropoda	Diplopoda	no	no
Arthropoda	Hexanauplia	Arthropoda	Hexanauplia	yes	yes
Arthropoda	Insecta	Arthropoda	Insecta	no	no
Arthropoda	Malacostraca	Arthropoda	Malacostraca	yes	yes
Arthropoda	Ostracoda	Arthropoda	Ostracoda	yes	yes
Arthropoda	Pycnogonida	Arthropoda	Pycnogonida	yes	yes
Arthropoda	Thecostraca	Arthropoda	Thecostraca	yes	yes
Ascomycota	Arthoniomycetes	Ascomycota	Arthoniomycetes	yes	yes
Ascomycota	Dothideomycetes	Ascomycota	Dothideomycetes	yes	yes
Ascomycota	Eurotiomycetes	Ascomycota	Eurotiomycetes	yes	yes
Ascomycota	Lecanoromycetes	Ascomycota	Lecanoromycetes	no	no
Ascomycota	Leotiomycetes	Ascomycota	Leotiomycetes	yes	yes
Ascomycota	Saccharomycetes	Ascomycota	Saccharomycetes	yes	yes
Ascomycota	Sordariomycetes	Ascomycota	Sordariomycetes	yes	yes
Ascomycota	Taphrinomycetes	Ascomycota	Taphrinomycetes	no	no
Bacillariophyta	Bacillariophyceae	Bacillariophyceae*	Bacillariophyceae	yes	yes
Bacillariophyta	NA	Bacillariophyta_NA	NA	NA	yes
Basidiomycota	Agaricomycetes	Basidiomycota	Agaricomycetes	yes	yes
Basidiomycota	Exobasidiomycetes	Basidiomycota	Exobasidiomycetes	yes	yes
Basidiomycota	Malasseziomycetes	Basidiomycota	Malasseziomycetes	yes	yes
Basidiomycota	Microbotryomycetes	Basidiomycota	Microbotryomycetes	yes	yes
Basidiomycota	Pucciniomycetes	Basidiomycota	Pucciniomycetes	no	no
Basidiomycota	Tremellomycetes	Basidiomycota	Tremellomycetes	yes	yes
NA	Bigyra	Bigyra*	Bigyra	yes	yes
NA	Bolidophyceae	Bolidophyceae*	Bolidophyceae	yes	yes
Bryozoa	Gymnolaemata	Bryozoa	Gymnolaemata	yes	yes
Cercozoa	Imbricatea	Cercozoa	Imbricatea	yes	yes
Chlorophyta	Chlorophyceae	Chlorophyta	Chlorophyceae	yes	yes
Chlorophyta	Chloropicophyceae	Chlorophyta	Chloropicophyceae	yes	yes
Chlorophyta	Mamiellophyceae	Chlorophyta	Mamiellophyceae	yes	yes
Chlorophyta	NA	Chlorophyta	NA	NA	yes
Chlorophyta	Nephroselmidophyceae	Chlorophyta	Nephroselmidophyceae	yes	yes
Chlorophyta	Pyramimonadophyceae	Chlorophyta	Pyramimonadophyceae	yes	yes
Chlorophyta	Trebouxiophyceae	Chlorophyta	Trebouxiophyceae	yes	yes
Chlorophyta	Ulvophyceae	Chlorophyta	Ulvophyceae	yes	yes
Chordata	Actinopteri	Chordata	Actinopteri	yes	yes
Chordata	Amphibia	Chordata	Amphibia	no	no
Chordata	Ascidiacea	Chordata	Ascidiacea	yes	yes
Chordata	Aves	Chordata	Aves	no	no
Chordata	Chondrichthyes	Chordata	Chondrichthyes	yes	yes
Chordata	Leptocardii	Chordata	Leptocardii	yes	yes
Chordata	Mammalia	Chordata	Mammalia	yes	yes
NA	Chrysophyceae	Chrysophyceae*	Chrysophyceae	yes	yes
Chytridiomycota	Chytridiomycetes	Chytridiomycota	Chytridiomycetes	yes	yes
Cnidaria	Anthozoa	Cnidaria	Anthozoa	yes	yes
Cnidaria	Hydrozoa	Cnidaria	Hydrozoa	yes	yes
Cnidaria	Scyphozoa	Cnidaria	Scyphozoa	yes	yes
Cnidaria	Staurozoa	Cnidaria	Staurozoa	yes	yes
Bacillariophyta	Coscinodiscophyceae	Coscinodiscophyceae*	Coscinodiscophyceae	yes	yes
NA	Cryptophyceae	Cryptophyta	Cryptophyceae	yes	yes
