"NMDS1" "NMDS2" "NMDS3" "habitat" "season"
"sediment_autumn_eelgrass_10" -0.717408173551313 -0.981374582664245 0.225951661168183 "eelgrass" "autumn"
"sediment_autumn_eelgrass_16" -0.0550057952971226 -0.343244325214755 0.391171443310226 "eelgrass" "autumn"
"sediment_autumn_eelgrass_17" 0.268233973730467 -0.575344303628398 0.0371216430946699 "eelgrass" "autumn"
"sediment_autumn_eelgrass_19" 0.396247286049637 -0.368726716364049 0.399851725612293 "eelgrass" "autumn"
"sediment_autumn_eelgrass_20" 0.834083301630111 -0.536618115947542 0.514163055001771 "eelgrass" "autumn"
"sediment_autumn_eelgrass_21" 0.800839469659287 -0.599777600673226 -0.0852284786521864 "eelgrass" "autumn"
"sediment_autumn_eelgrass_24" 1.28579439895566 -0.279970683527657 0.273465623318326 "eelgrass" "autumn"
"sediment_autumn_eelgrass_25" 1.15904280288207 -0.120560917231331 0.496226854398385 "eelgrass" "autumn"
"sediment_autumn_eelgrass_26" 0.368212470607875 0.00967395670207677 0.314149256844654 "eelgrass" "autumn"
"sediment_autumn_eelgrass_27" 0.219355275629917 -0.450540794293063 0.370087991974457 "eelgrass" "autumn"
"sediment_autumn_eelgrass_28" -0.115443764747423 -0.0916938396691497 0.289617235906747 "eelgrass" "autumn"
"sediment_autumn_eelgrass_29" 0.653986110691448 -0.153445594461611 0.258576984942409 "eelgrass" "autumn"
"sediment_autumn_eelgrass_30" 0.401154432312862 -0.420701329037477 0.154745502541331 "eelgrass" "autumn"
"sediment_autumn_eelgrass_31" 0.284020079721829 -0.203960066585345 0.356608559548519 "eelgrass" "autumn"
"sediment_autumn_eelgrass_8" -0.0220324729094229 -0.878464533375444 -0.367827168954815 "eelgrass" "autumn"
"sediment_autumn_eelgrass_9" -0.104168871166396 -0.925251560518792 -0.110758563730468 "eelgrass" "autumn"
"sediment_autumn_rocks_1" -0.323569732034748 -0.549509599220129 0.657548449133613 "rocks" "autumn"
"sediment_autumn_rocks_10" -0.503706521039491 -0.859960746207281 0.0839494918064059 "rocks" "autumn"
"sediment_autumn_rocks_11" -0.237107340275256 -0.832446202700309 0.37496451856233 "rocks" "autumn"
"sediment_autumn_rocks_12" 0.196034123212669 -0.492670263252538 0.275812298420864 "rocks" "autumn"
"sediment_autumn_rocks_13" -0.222779506139089 0.319575554322033 -0.890130253009561 "rocks" "autumn"
"sediment_autumn_rocks_14" -0.857635617903877 0.992808166896965 -0.6363762979206 "rocks" "autumn"
"sediment_autumn_rocks_15" 0.0345955187028484 -0.0221934874301647 -0.580167468919482 "rocks" "autumn"
"sediment_autumn_rocks_16" 0.341482615908034 -0.514458301542365 -0.590564416580988 "rocks" "autumn"
"sediment_autumn_rocks_17" 0.213383093261777 0.189950768050135 -0.325588234380899 "rocks" "autumn"
"sediment_autumn_rocks_18" 0.290770488551713 -0.164304693186544 0.0356705039310741 "rocks" "autumn"
"sediment_autumn_rocks_19" 0.602837513254658 -0.552209014891706 0.257389231686494 "rocks" "autumn"
"sediment_autumn_rocks_20" 0.593408793254868 0.146679733638478 -0.00657981070853632 "rocks" "autumn"
"sediment_autumn_rocks_21" 0.695489182916513 -0.291741779397384 -0.0484764696828766 "rocks" "autumn"
"sediment_autumn_rocks_23" 0.70794487824549 0.545937265480135 0.125141886534041 "rocks" "autumn"
"sediment_autumn_rocks_24" 1.20405536648584 0.100242787139543 0.141922185855182 "rocks" "autumn"
"sediment_autumn_rocks_25" 1.19942299166696 0.132580230743649 0.373872919662396 "rocks" "autumn"
"sediment_autumn_rocks_26" 0.995147154655729 0.226103771389708 -0.440212972019713 "rocks" "autumn"
"sediment_autumn_rocks_27" -0.00640025946139403 0.186290334608641 -0.0208785896892494 "rocks" "autumn"
"sediment_autumn_rocks_28" -0.381713314530249 0.957034740768945 -0.285165454993112 "rocks" "autumn"
"sediment_autumn_rocks_29" 1.18661795314773 1.00090700637284 -0.77064933959397 "rocks" "autumn"
"sediment_autumn_rocks_3" -2.04187410572526 0.766870185693003 1.17408065041086 "rocks" "autumn"
"sediment_autumn_rocks_30" 0.352834783362913 -0.21864990458265 -0.266074003169755 "rocks" "autumn"
"sediment_autumn_rocks_31" 0.0135373257470359 0.885040773254408 -0.205758471066982 "rocks" "autumn"
"sediment_autumn_rocks_32" 0.868399208506669 0.742570956838691 0.118373530098642 "rocks" "autumn"
"sediment_autumn_rocks_33" 0.765244004393038 0.967071954908474 0.173223055762678 "rocks" "autumn"
"sediment_autumn_rocks_4" -1.43454732279142 0.352712625159967 -0.515214542537866 "rocks" "autumn"
"sediment_autumn_rocks_5" -1.92481071297452 0.919638610148267 0.219564607492348 "rocks" "autumn"
"sediment_autumn_rocks_6" -0.515110849751222 -0.176499792375412 0.0822669012362272 "rocks" "autumn"
"sediment_autumn_rocks_7" -0.611115625047174 0.443888810401121 -0.354899125320008 "rocks" "autumn"
"sediment_autumn_rocks_8" -0.0251645289455258 -0.782426182921892 -0.510658618301488 "rocks" "autumn"
"sediment_autumn_rocks_9" -0.132879749142658 -0.782992277095491 0.0598292094401787 "rocks" "autumn"
"sediment_autumn_sand_1" -1.24260570036807 -0.158238972958799 0.329848944674629 "sand" "autumn"
"sediment_autumn_sand_10" -0.708907769967092 -0.726883592255572 0.386540624840045 "sand" "autumn"
"sediment_autumn_sand_11" -0.53711187058103 -0.349317296681499 0.58960885766107 "sand" "autumn"
"sediment_autumn_sand_12" 0.166163889358598 -0.697784692679853 0.20894218582079 "sand" "autumn"
"sediment_autumn_sand_13" -0.695321073567651 -0.513278239703838 -0.284627432350744 "sand" "autumn"
"sediment_autumn_sand_14" -0.519097498169989 -0.225331539984437 0.228736483075287 "sand" "autumn"
"sediment_autumn_sand_15" -0.134668207340183 -0.415544095379933 0.208277824761303 "sand" "autumn"
"sediment_autumn_sand_16" -0.0645923921964018 -0.257168296143878 0.448762796413969 "sand" "autumn"
"sediment_autumn_sand_17" 0.294105629409947 -0.577553526809641 0.162355205384499 "sand" "autumn"
"sediment_autumn_sand_18" 0.360826567770489 -0.660397595882072 0.0480375563363372 "sand" "autumn"
"sediment_autumn_sand_19" 0.249340304159881 -0.180933221594203 0.413429619025904 "sand" "autumn"
"sediment_autumn_sand_20" 0.283264427833699 -0.010173244517813 0.359390039545962 "sand" "autumn"
"sediment_autumn_sand_21" 0.672990805422656 -0.451465078782252 0.57917318429883 "sand" "autumn"
"sediment_autumn_sand_23" 0.465920534425646 0.732803376382484 0.386562264585802 "sand" "autumn"
"sediment_autumn_sand_24" 0.749209869621267 0.161373225466137 0.368625790207337 "sand" "autumn"
"sediment_autumn_sand_25" 0.467778076601453 0.29532673084219 0.368208750763716 "sand" "autumn"
"sediment_autumn_sand_26" 0.415889614446457 0.0424762226870595 0.258937738894944 "sand" "autumn"
"sediment_autumn_sand_27" -0.41154299694178 0.224382947319865 0.259875515446722 "sand" "autumn"
"sediment_autumn_sand_28" -0.452551854563112 0.13752133358967 0.334524655077134 "sand" "autumn"
"sediment_autumn_sand_29" 0.63627966560425 -0.128855503210357 0.281923399339122 "sand" "autumn"
"sediment_autumn_sand_3" -1.62436545724455 0.557623933218772 1.2197975493897 "sand" "autumn"
"sediment_autumn_sand_30" -0.0355715738650755 -0.0195423688695692 0.201642999867538 "sand" "autumn"
"sediment_autumn_sand_31" -0.158194516364843 0.318662856194244 0.266475751559595 "sand" "autumn"
"sediment_autumn_sand_32" 0.581868697491 1.33765384487267 0.231695509098142 "sand" "autumn"
"sediment_autumn_sand_33" 0.537151370446323 0.987088300275319 0.589827022708942 "sand" "autumn"
"sediment_autumn_sand_4" -2.21400864060127 0.0556422934437304 0.420432746666423 "sand" "autumn"
"sediment_autumn_sand_5" -1.83024846016462 0.395644605362994 0.603209088498612 "sand" "autumn"
"sediment_autumn_sand_6" -0.893472040577753 -0.32416081620654 0.110430708051914 "sand" "autumn"
"sediment_autumn_sand_7" -0.741833059128069 -0.217144492862476 -0.0286823413923321 "sand" "autumn"
"sediment_autumn_sand_8" -0.0826387093370129 -1.21665361602944 -0.40082087847775 "sand" "autumn"
"sediment_autumn_sand_9" -0.26910011431742 -0.757623668998173 -0.216325080463787 "sand" "autumn"
"sediment_spring_eelgrass_10" -0.696975845393894 -0.562844335259305 -0.365269018122179 "eelgrass" "spring"
"sediment_spring_eelgrass_16" -0.0920216705461441 -0.256544939150647 -0.0626974126447379 "eelgrass" "spring"
"sediment_spring_eelgrass_17" 0.163575560976396 -0.42196827938957 -0.242340603997879 "eelgrass" "spring"
"sediment_spring_eelgrass_19" 0.244215299470162 -0.0331919450682034 -0.135323090536973 "eelgrass" "spring"
