Phylum	Scientific_name_ARTER	Synonym_ARTER_1	Synonym_ARTER_2	Synonym_ARTER_3	Synonym_ARTER_4	Synonym_ARTER_5	Synonym_ARTER_6	Synonym_ARTER_7	Synonym_ARTER_8	GBIF_synonym	External_synonym	Synonym_Philip	Marine	BOLD_barcode	
Acanthocephala	Acanthocephalus anguillae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Acanthocephala	Acanthocephalus clavula	Echinorhynchus clavula	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Acanthocephala	Acanthocephalus lucii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Acanthocephala	Echinorhynchus gadi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Acanthocephala	Echinorhynchus truttae	Metechinorhynchus truttae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Acanthocephala	Pomphorhynchus laevis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Acanthocephala	Polymorphus minutus	Polymorphus boschadis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Annelida	Cognettia glandulosa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Annelida	Cognettia sphagnetorum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Annelida	Enchytraeus capitatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Annelida	Enchytraeus christenseni	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Annelida	Enchytraeus lacteus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Annelida	Fridericia bulboides	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Annelida	Fridericia bulbosa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Annelida	Fridericia callosa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Annelida	Fridericia parathalassia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Annelida	Fridericia paroniana	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Annelida	Fridericia perrieri	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Annelida	Fridericia ratzeli	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Annelida	Fridericia striata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Annelida	Globulidrilus riparius	Marionina riparia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Annelida	Hemifridericia parva	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Annelida	Henlea nasuta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Annelida	Henlea perpusilla	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Annelida	Henlea ventriculosa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Annelida	Lumbricillus arenarius	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Annelida	Lumbricillus fennicus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Annelida	Lumbricillus fossarum	Pachydrilus fossarum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	-	
Annelida	Lumbricillus kaloensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Annelida	Lumbricillus lineatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Annelida	Lumbricillus pagenstecheri	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
Annelida	Lumbricillus rivalis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	x	
