"Eelgrass"	"Rocks"	"Sand"
"1"	"Acartiidae"	"Acartiidae"	"Acartiidae"
"2"	"Acinetosporaceae"	"Acinetosporaceae"	"Acinetosporaceae"
"3"	"Acrochaetiaceae"	"Acrochaetiaceae"	"Acrochaetiaceae"
"4"	"Ahnfeltiaceae"	"Ahnfeltiaceae"	"Agonidae"
"5"	"Ammodytidae"	"Ammodytidae"	"Ahnfeltiaceae"
"6"	"Arcticidae"	"Amphidiniaceae"	"Ammodytidae"
"7"	"Arenicolidae"	"Amphiuridae"	"Arcticidae"
"8"	"Ascidiidae"	"Anguillidae"	"Arenicolidae"
"9"	"Asellidae"	"Arcticidae"	"Ascidiidae"
"10"	"Asteriidae"	"Ardeidae"	"Asteriidae"
"11"	"Attheyaceae"	"Arenicolidae"	"Attheyaceae"
"12"	"Bathycoccaceae"	"Ascidiidae"	"Balanidae"
"13"	"Belonidae"	"Aspergillaceae"	"Bathycoccaceae"
"14"	"Bolinopsidae"	"Asteriidae"	"Belonidae"
"15"	"Bougainvilliidae"	"Attheyaceae"	"Bolinopsidae"
"16"	"Callithamniaceae"	"Balanidae"	"Bougainvilliidae"
"17"	"Capitellidae"	"Bathycoccaceae"	"Callithamniaceae"
"18"	"Carcinidae"	"Belonidae"	"Canuellidae"
"19"	"Cardiidae"	"Berkeleyaceae"	"Carcinidae"
"20"	"Centropagidae"	"Bolinopsidae"	"Cardiidae"
"21"	"Ceramiaceae"	"Bougainvilliidae"	"Centropagidae"
"22"	"Cerithiidae"	"Calliopiidae"	"Ceramiaceae"
"23"	"Chaetocerotaceae"	"Callithamniaceae"	"Cerithiidae"
"24"	"Chalinidae"	"Canuellidae"	"Chaetocerotaceae"
"25"	"Chattonellaceae"	"Carcinidae"	"Chalinidae"
"26"	"Chloropicaceae"	"Cardiidae"	"Chattonellaceae"
"27"	"Chordaceae"	"Centropagidae"	"Chloropicaceae"
"28"	"Chordariaceae"	"Ceramiaceae"	"Chordaceae"
"29"	"Chromadoridae"	"Cerithiidae"	"Chordariaceae"
"30"	"Cicerinidae"	"Chaetocerotaceae"	"Chromadoridae"
"31"	"Cionidae"	"Chalinidae"	"Cicerinidae"
"32"	"Cirratulidae"	"Chattonellaceae"	"Cionidae"
"33"	"Clausocalanidae"	"Chloropicaceae"	"Cirratulidae"
"34"	"Clitocybaceae"	"Chordaceae"	"Clausocalanidae"
"35"	"Clytiidae"	"Chordariaceae"	"Clitocybaceae"
"36"	"Corbulidae"	"Chroomonadaceae"	"Clytiidae"
"37"	"Corophiidae"	"Cicerinidae"	"Corbulidae"
"38"	"Cyaneidae"	"Cionidae"	"Corophiidae"
"39"	"Cymatosiraceae"	"Cirratulidae"	"Corycaeidae"
"40"	"Dactylopodida"	"Clausocalanidae"	"Corynidae"
"41"	"Dasyaceae"	"Clitocybaceae"	"Cyaneidae"
"42"	"Dictyotaceae"	"Clupeidae"	"Cymatosiraceae"
"43"	"Ectocarpaceae"	"Clytiidae"	"Dactylopodida"
"44"	"Elminiidae"	"Corophiidae"	"Dasyaceae"
"45"	"Enchytraeidae"	"Corynidae"	"Dotidae"
"46"	"Eudendriidae"	"Cottidae"	"Ectocarpaceae"
"47"	"Flustridae"	"Craterolophidae"	"Enchytraeidae"
"48"	"Fucaceae"	"Cyaneidae"	"Entomobryidae"
"49"	"Gasterosteidae"	"Cymatosiraceae"	"Eubranchidae"
"50"	"Gigartinaceae"	"Cystocloniaceae"	"Eudendriidae"
"51"	"Gobiidae"	"Dactylopodida"	"Facelinidae"
"52"	"Gymnodiniaceae"	"Dasyaceae"	"Flustridae"
"53"	"Halichondriidae"	"Dictyotaceae"	"Fucaceae"
"54"	"Haminoeidae"	"Diurodrilidae"	"Gasterosteidae"
"55"	"Harpacticidae"	"Dumontiaceae"	"Gobiidae"
"56"	"Heterocapsaceae"	"Ectocarpaceae"	"Gymnodiniaceae"
"57"	"Hildenbrandiaceae"	"Elminiidae"	"Halichondriidae"
"58"	"Hydridae"	"Enchytraeidae"	"Halisarcidae"
"59"	"Hydrobiidae"	"Eudendriidae"	"Haminoeidae"
"60"	"Idoteidae"	"Facelinidae"	"Harpacticidae"
"61"	"Kareniaceae"	"Flustridae"	"Heterocapsaceae"
"62"	"Katablepharidaceae"	"Fucaceae"	"Hildenbrandiaceae"
"63"	"Labridae"	"Gasterosteidae"	"Hydrobiidae"
"64"	"Laminariaceae"	"Geomitridae"	"Kareniaceae"
"65"	"Leuciscidae"	"Gigartinaceae"	"Katablepharidaceae"
"66"	"Limapontiidae"	"Gobiidae"	"Labridae"
"67"	"Littorinidae"	"Gymnodiniaceae"	"Laminariaceae"
"68"	"Mactridae"	"Halichondriidae"	"Leuciscidae"
"69"	"Membraniporidae"	"Haminoeidae"	"Limapontiidae"
"70"	"Metridinidae"	"Harpacticidae"	"Lineidae"
"71"	"Microprotopidae"	"Hesionidae"	"Littorinidae"
"72"	"Monhysteridae"	"Heterocapsaceae"	"Mactridae"
"73"	"Monocelididae"	"Hildenbrandiaceae"	"Mecynostomidae"
"74"	"Monodopsidaceae"	"Hydrobiidae"	"Metridinidae"
