"Eelgrass"	"Rocks"	"Sand"
"1"	"Abra alba"	"Abra alba"	"Acartia 	hudsona_tonsa"
"2"	"Acartia 	hudsona_tonsa"	"Abra nitida"	"Acartia tonsa"
"3"	"Acartia longiremis"	"Acartia 	hudsona_tonsa"	"Acremonium fuci"
"4"	"Acartia tonsa"	"Acartia tonsa"	"Acrochaetium humile"
"5"	"Acremonium fuci"	"Acremonium fuci"	"Acrochaetium luxurians"
"6"	"Acrochaetium humile"	"Acrochaetium humile"	"Ahnfeltia borealis"
"7"	"Acrochaetium luxurians"	"Acrochaetium luxurians"	"Ahnfeltia plicata"
"8"	"Acrochaetium moniliforme"	"Ahnfeltia borealis"	"Alitta succinea_Hediste diversicolor"
"9"	"Ahnfeltia plicata"	"Ahnfeltia plicata"	"Alitta virens"
"10"	"Alitta succinea_Hediste diversicolor"	"Alitta succinea_Hediste diversicolor"	"Ammodytes tobianus"
"11"	"Alitta virens"	"Alitta virens"	"Amphitrite figulus"
"12"	"Amphitrite figulus"	"Amathia gracilis"	"Archaphanostoma macrospiriferum"
"13"	"Archaphanostoma macrospiriferum"	"Amathia imbricata"	"Archaphanostoma ylvae"
"14"	"Arenicola defodiens_marina"	"Amathia tertia"	"Arenicola defodiens_marina"
"15"	"Aricidea minuta"	"Amphiascopsis cinctus"	"Asellopsis intermedia"
"16"	"Ascidiella aspersa"	"Amphitrite figulus"	"Aspergillus fumigatus"
"17"	"Asellopsis intermedia"	"Archaphanostoma macrospiriferum"	"Aspergillus niger"
"18"	"Aspergillus fumigatus"	"Arctica islandica"	"Asterias rubens"
"19"	"Asterias rubens"	"Arenicola defodiens_marina"	"Attheya longicornis"
"20"	"Attheya longicornis"	"Ascidiella aspersa"	"Aurelia aurita"
"21"	"Aurelia aurita"	"Asellopsis intermedia"	"Aureococcus anophagefferens"
"22"	"Aureococcus anophagefferens"	"Aspergillus fumigatus"	"Baltidrilus costatus"
"23"	"Austrominius modestus"	"Asterias rubens"	"Bathycoccus prasinos"
"24"	"Baltidrilus costatus"	"Attheya longicornis"	"Bathyporeia sarsi"
"25"	"Bathycoccus prasinos"	"Aurelia aurita"	"Belone belone"
"26"	"Belone belone"	"Aureococcus anophagefferens"	"Berkeleya fennica"
"27"	"Berkeleya fennica"	"Baltidrilus costatus"	"Bittium reticulatum"
"28"	"Bittium reticulatum"	"Bathycoccus prasinos"	"Bonnemaisonia hamifera"
"29"	"Bonnemaisonia hamifera"	"Bathyporeia sarsi"	"Bougainvillia muscus"
"30"	"Botryllus schlosseri"	"Berkeleya fennica"	"Callithamnion granulatum"
"31"	"Buccinum undatum"	"Bittium reticulatum"	"Canuella perplexa"
"32"	"Callithamnion granulatum"	"Bougainvillia muscus"	"Capitella teleta"
"33"	"Canuella perplexa"	"Calanus euxinus_helgolandicus"	"Carcinus maenas"
"34"	"Capitella teleta"	"Callithamnion corymbosum"	"Centropages hamatus"
"35"	"Caprella mutica"	"Callithamnion granulatum"	"Centropages typicus"
"36"	"Carcinus maenas"	"Capitella teleta"	"Ceramium secundatum"
"37"	"Centropages hamatus"	"Carcinus maenas"	"Ceramium virgatum"
"38"	"Ceramium secundatum"	"Centropages hamatus"	"Cerastoderma edule"
"39"	"Ceramium virgatum"	"Ceramium pallidum"	"Cerastoderma glaucum"
"40"	"Cerastoderma edule"	"Ceramium secundatum"	"Chaetoceros tenuissimus"
"41"	"Cerastoderma glaucum"	"Ceramium virgatum"	"Chaetopteris plumosa"
"42"	"Chaetoceros tenuissimus"	"Cerastoderma edule"	"Chorda filum"
"43"	"Chaetopteris plumosa"	"Cerastoderma glaucum"	"Cletodes tenuipes"
"44"	"Chondrus crispus"	"Chaetoceros tenuissimus"	"Clytia hemisphaerica"
"45"	"Chorda filum"	"Chondrus crispus"	"Cyanea capillata"
"46"	"Chydorus sphaericus"	"Chorda filum"	"Cylindrotheca closterium"
"47"	"Ciona intestinalis"	"Chordaria flagelliformis"	"Dactylopodola baltica"
"48"	"Cladosiphon zosterae"	"Chroomonas placoidea"	"Dasysiphonia japonica"
"49"	"Cletodes tenuipes"	"Cletodes tenuipes"	"Delavalia palustris"
"50"	"Clytia hemisphaerica"	"Clytia hemisphaerica"	"Dichromadora geophila"
"51"	"Coccotylus truncatus"	"Colpomenia peregrina"	"Dictyosiphon foeniculaceus"
"52"	"Colpomenia peregrina"	"Ctenolabrus rupestris"	"Dictyota dichotoma"
"53"	"Corophium volutator"	"Cyanea capillata"	"Diplolaimella dievengatensis"
"54"	"Cyanea capillata"	"Cylindrotheca closterium"	"Dodecaceria concharum"
"55"	"Cylindrotheca closterium"	"Dactylopodola baltica"	"Dumontia contorta"
"56"	"Dactylopodola baltica"	"Dasya baillouviana"	"Emiliania huxleyi"
"57"	"Dasysiphonia japonica"	"Dichromadora geophila"	"Enhydrosoma curticauda"
"58"	"Delavalia palustris"	"Dictyosiphon foeniculaceus"	"Enhydrosoma propinquum"
"59"	"Dichromadora geophila"	"Dictyota dichotoma"	"Eudesme borealis"
"60"	"Dictyosiphon foeniculaceus"	"Diplolaimella dievengatensis"	"Eumida sanguinea"
"61"	"Dictyota dichotoma"	"Diurodrilus subterraneus"	"Eurytemora affinis"
"62"	"Diplolaimella dievengatensis"	"Dumontia contorta"	"Evansula pygmaea"
"63"	"Dumontia contorta"	"Dynamena pumila"	"Fibrocapsa japonica"
"64"	"Dynamena pumila"	"Ectocarpus siliculosus_subulatus"	"Fucus serratus"
"65"	"Ectocarpus siliculosus_subulatus"	"Elachista fucicola"	"Gnathostomula armata"
"66"	"Emiliania huxleyi"	"Elysia viridis"	"Gnathostomula paradoxa"
"67"	"Enhydrosoma gariene"	"Emiliania huxleyi"	"Gymnodinium catenatum"
"68"	"Enhydrosoma propinquum"	"Enhydrosoma gariene"	"Halichaetonotus aculifer"
"69"	"Eudesme borealis"	"Erythrotrichia carnea"	"Halichondria panicea"
"70"	"Eulalia viridis"	"Eteone flava"	"Halidrys siliquosa"
"71"	"Eumida mackiei"	"Eudesme borealis"	"Harpacticus flexus"
"72"	"Eumida sanguinea"	"Eumida sanguinea"	"Haslea crucigera"
"73"	"Evadne spinifera"	"Eurytemora affinis"	"Haslea ostrearia"
"74"	"Fibrocapsa japonica"	"Eurytemora affinis_carolleeae"	"Haustorius arenarius"
"75"	"Fucus serratus"	"Evadne nordmanni"	"Hecatonema terminale"
"76"	"Gaillona rosea"	"Evadne spinifera"	"Hediste diversicolor"
"77"	"Gammarus insensibilis"	"Evansula pygmaea"	"Heterocapsa rotundata"
"78"	"Gammarus locusta"	"Favorinus branchialis"	"Heterosigma akashiwo"
"79"	"Gnathostomula armata"	"Fibrocapsa japonica"	"Hildenbrandia rubra"
"80"	"Gnathostomula paradoxa"	"Fucus serratus"	"Hincksia granulosa"
"81"	"Gymnodinium catenatum"	"Gaillona rosea"	"Hydrobia ventrosa"
"82"	"Halichaetonotus aculifer"	"Gammarus zaddachi"	"Karenia bidigitata"
"83"	"Halichondria panicea"	"Gnathostomula paradoxa"	"Kuckuckia spinosa"
"84"	"Halidrys siliquosa"	"Gonionemus vertens"	"Kurtiella bidentata"
"85"	"Harpacticus flexus"	"Gymnodinium catenatum"	"Leathesia marina_difformis"
"86"	"Haslea crucigera"	"Halichondria panicea"	"Leptosiphonia fibrillosa"
"87"	"Haslea ostrearia"	"Halidrys siliquosa"	"Leuckartiara octona"
"88"	"Hecatonema terminale"	"Haminoea solitaria"	"Leucocryptos marina"
"89"	"Hediste diversicolor"	"Harpacticus flexus"	"Levanderina fissa"
"90"	"Hemigrapsus penicillatus_takanoi"	"Haslea crucigera"	"Limapontia senestra"
"91"	"Heterocapsa rotundata"	"Haslea ostrearia"	"Limecola balthica"
"92"	"Heterocapsa triquetra"	"Hecatonema terminale"	"Lineus viridis_Micrura varicolor"
"93"	"Heterosigma akashiwo"	"Hediste diversicolor"	"Littorina littorea"
"94"	"Hildenbrandia rubra"	"Hemiselmis andersenii"	"Lumbricillus lineatus"
"95"	"Hincksia granulosa"	"Heterocapsa rotundata"	"Lumbricillus rivalis"
"96"	"Hydrobia ventrosa"	"Heterocapsa triquetra"	"Macomangulus tenuis"
"97"	"Hymeniacidon perlevis"	"Heterosigma akashiwo"	"Marenzelleria viridis"
"98"	"Idotea chelipes"	"Hildenbrandia rubra"	"Metridia pacifica"
"99"	"Jaera albifrons"	"Hincksia granulosa"	"Microarthridion fallax"
"100"	"Karenia bidigitata"	"Hincksia sandriana"	"Microprotopus maculatus"
"101"	"Kuckuckia spinosa"	"Hydrobia ventrosa"	"Microspongium tenuissimum"
"102"	"Kurtiella bidentata"	"Hypogastrura viatica"	"Microstomum edmondi"
"103"	"Leathesia marina_difformis"	"Isospora manorinae"	"Ministeria vibrans"
"104"	"Lekanesphaera hookeri_rugicauda"	"Jaera albifrons"	"Minutocellus polymorphus"
"105"	"Leptosiphonia fibrillosa"	"Karenia bidigitata"	"Mnemiopsis leidyi"
"106"	"Leuckartiara octona"	"Kuckuckia spinosa"	"Modiolus modiolus"
"107"	"Levanderina fissa"	"Kurtiella bidentata"	"Monocelis fusca"
"108"	"Limecola balthica"	"Lacuna vincta"	"Monocorophium acherusicum"
"109"	"Lineus viridis_Micrura varicolor"	"Laomedea flexuosa"	"Monocorophium insidiosum"
"110"	"Littorina littorea"	"Leathesia marina_difformis"	"Monoposthia costata"
"111"	"Littorina saxatilis"	"Lepidochitona cinerea"	"Mya arenaria"
"112"	"Lumbricillus lineatus"	"Leptosiphonia fibrillosa"	"Myrionema strangulans"
"113"	"Marenzelleria viridis"	"Leucocryptos marina"	"Myriotrichia claviformis"
"114"	"Melita palmata"	"Levanderina fissa"	"Mytilus trossulus"
"115"	"Metridia pacifica"	"Limapontia senestra"	"Nannochloropsis gaditana_oculata"
"116"	"Microarthridion fallax"	"Limecola balthica"	"Nannochloropsis granulata"
"117"	"Microprotopus maculatus"	"Lineus viridis_Micrura varicolor"	"Nannopus palustris"
"118"	"Microspongium tenuissimum"	"Littorina littorea"	"Nassarius nitidus"
"119"	"Microstomum edmondi"	"Littorina saxatilis"	"Nephtys hombergii"
"120"	"Ministeria vibrans"	"Lumbricillus lineatus"	"Obelia dichotoma_longissima"
"121"	"Modiolus modiolus"	"Lumbricillus pagenstecheri"	"Ophiura ophiura"
"122"	"Monocelis fusca"	"Lumbricillus rivalis"	"Panagrolaimus paetzoldi"
"123"	"Monocorophium acherusicum"	"Macrostomum spirale"	"Paracalanus parvus"
"124"	"Monocorophium insidiosum"	"Marenzelleria viridis"	"Paraleptastacus espinulatus"
"125"	"Monoposthia costata"	"Melanothamnus harveyi"	"Paramecynostomum diversicolor"
"126"	"Mya arenaria"	"Melita nitida"	"Paranais litoralis"
"127"	"Myrionema strangulans"	"Metridia pacifica"	"Paraonis fulgens"
"128"	"Myriotrichia claviformis"	"Microarthridion fallax"	"Parvicardium exiguum"
"129"	"Mytilus trossulus"	"Microprotopus maculatus"	"Pellucidodinium psammophilum"
"130"	"Nais elinguis"	"Microspongium tenuissimum"	"Peringia ulvae"
"131"	"Nannochloropsis gaditana_oculata"	"Ministeria vibrans"	"Petalonia fascia"
"132"	"Nannochloropsis granulata"	"Minutocellus polymorphus"	"Petricolaria pholadiformis"
"133"	"Nannopus palustris"	"Mnemiopsis leidyi"	"Philine aperta"
"134"	"Nassarius nitidus"	"Modiolus modiolus"	"Platynereis dumerilii"
"135"	"Nephtys hombergii"	"Monocelis fusca"	"Pleopis polyphemoides"
"136"	"Obelia dichotoma"	"Monocorophium acherusicum"	"Polydora cornuta"
"137"	"Obelia dichotoma_longissima"	"Monocorophium insidiosum"	"Porphyra purpurea"
"138"	"Panagrolaimus paetzoldi"	"Monoposthia costata"	"Psammechinus miliaris"
"139"	"Paracalanus parvus"	"Mya arenaria"	"Pseudocalanus acuspes"
"140"	"Paraleptastacus espinulatus"	"Myrionema strangulans"	"Punctaria latifolia"
"141"	"Paranais litoralis"	"Myriotrichia claviformis"	"Pusillina inconspicua_sarsii"
"142"	"Paraonis fulgens"	"Mytilus trossulus"	"Pycnococcus provasolii"
"143"	"Parvamoeba rugata"	"Nais elinguis"	"Pylaiella littoralis"
"144"	"Parvicardium exiguum"	"Nannochloropsis gaditana_oculata"	"Pyropia njordii"
"145"	"Pellucidodinium psammophilum"	"Nannochloropsis granulata"	"Ralfsia robertii"
"146"	"Penilia avirostris"	"Nassarius nitidus"	"Rathkea octopunctata"
"147"	"Peringia ulvae"	"Nemalion multifidum"	"Rhizothrix minuta"
"148"	"Petalonia fascia"	"Nemopsis bachei"	"Rhodotorula mucilaginosa"
"149"	"Phyllophora pseudoceranoides"	"Neogobius melanostomus"	"Sarsia tubulosa"
"150"	"Phymatolithon lenormandii"	"Nephtys hombergii"	"Scoloplos armiger"
"151"	"Phytophthora gemini"	"Obelia dichotoma"	"Scytosiphon lomentaria"
"152"	"Phytophthora inundata"	"Obelia dichotoma_longissima"	"Skeletonema marinoi_dohrnii"
"153"	"Phytophthora vesicula"	"Oithona similis"	"Sphacelaria cirrosa"
"154"	"Platynereis dumerilii"	"Panagrolaimus paetzoldi"	"Spisula subtruncata"
"155"	"Pleopis polyphemoides"	"Paracalanus parvus"	"Squamamoeba japonica"
"156"	"Podon leuckartii"	"Paramoeba pemaquidensis"	"Stictyosiphon soriferus"
"157"	"Polydora cornuta"	"Paranais litoralis"	"Streblospio benedicti"
"158"	"Polysiphonia elongata"	"Paraonis fulgens"	"Striaria attenuata"
"159"	"Prasinoderma coloniale"	"Parvamoeba rugata"	"Syngnathus typhle"
"160"	"Psammechinus miliaris"	"Parvicardium exiguum"	"Tachidius discipes"
"161"	"Punctaria latifolia"	"Pellucidodinium psammophilum"	"Temora longicornis"
"162"	"Pusillina inconspicua_sarsii"	"Penilia avirostris"	"Thalassiosira nordenskioeldii"
"163"	"Pycnococcus provasolii"	"Peringia ulvae"	"Thalassiosira pseudonana"
"164"	"Pylaiella littoralis"	"Petalonia fascia"	"Togula jolla"
"165"	"Ralfsia robertii"	"Petricolaria pholadiformis"	"Trichotheristus mirabilis"
"166"	"Rathkea octopunctata"	"Phymatolithon lenormandii"	"Tubificoides brownae"
"167"	"Rhithropanopeus harrisii"	"Phytophthora inundata"	"Tubificoides diazi"
"168"	"Rhizoglyphus robini"	"Phytophthora vesicula"	"Tubificoides fraseri"
"169"	"Rhizothrix minuta"	"Platichthys flesus"	"Tubificoides mackiei"
"170"	"Rhodophysema georgei"	"Platynereis dumerilii"	"Tubificoides pseudogaster"
"171"	"Rhodotorula mucilaginosa"	"Pleopis polyphemoides"	"Venerupis corrugata"
"172"	"Saccharina latissima"	"Podon intermedius"	"Vertebrata byssoides"
"173"	"Sarsia tubulosa"	"Podon leuckartii"	"Zonorhynchus seminascatus"
"174"	"Scoloplos armiger"	"Polydora cornuta"	NA
"175"	"Scrobicularia plana"	"Polyides rotunda"	NA
"176"	"Scytosiphon lomentaria"	"Polysiphonia flexicaulis"	NA
"177"	"Skeletonema marinoi_dohrnii"	"Porphyra linearis_umbilicalis"	NA
"178"	"Sphacelaria cirrosa"	"Porphyra purpurea"	NA
"179"	"Spisula subtruncata"	"Prasinoderma coloniale"	NA
"180"	"Squamamoeba japonica"	"Psammechinus miliaris"	NA
"181"	"Streblospio benedicti"	"Pseudocalanus acuspes"	NA
"182"	"Striaria attenuata"	"Pseudocalanus elongatus"	NA
"183"	"Tachidius discipes"	"Pseudochattonella verruculosa"	NA
"184"	"Tellimya ferruginosa"	"Punctaria latifolia"	NA
"185"	"Temora longicornis"	"Purpureocillium lilacinum"	NA
"186"	"Thalassiosira nordenskioeldii"	"Pusillina inconspicua_sarsii"	NA
"187"	"Togula jolla"	"Pycnococcus provasolii"	NA
"188"	"Trichotheristus mirabilis"	"Pylaiella littoralis"	NA
"189"	"Tubificoides brownae"	"Ralfsia robertii"	NA
"190"	"Tubificoides diazi"	"Rhizothrix minuta"	NA
"191"	"Tubificoides fraseri"	"Rhodomela confervoides"	NA
"192"	"Tubificoides mackiei"	"Rhodotorula mucilaginosa"	NA
"193"	"Tubificoides pseudogaster"	"Sarsia lovenii_tubulosa"	NA
"194"	"Tvaerminnea karlingi"	"Sarsia tubulosa"	NA
"195"	"Vermamoeba vermiformis"	"Scoloplos armiger"	NA
