sediment_33	sediment_32	sediment_23	sediment_24	sediment_25	sediment_26	sediment_27	sediment_21	sediment_20	sediment_31	sediment_28	sediment_19	sediment_29	sediment_16	sediment_30	sediment_13	sediment_18	sediment_15	sediment_14	sediment_17	sediment_12	sediment_11	sediment_7	sediment_6	sediment_8	sediment_5	sediment_9	sediment_10	sediment_4	sediment_3	sediment_1
sediment_33	NA	3	4	1	3	1	3	1	3	4	4	4	1	3	3	4	3	4	3	3	2	2	3	3	3	2	3	4	1	1	2
sediment_32	3	NA	13	9	11	9	8	6	10	8	10	7	6	9	7	10	5	9	7	10	4	2	4	5	4	1	5	5	0	0	2
sediment_23	4	13	NA	11	14	10	9	9	12	10	10	9	10	11	8	11	8	10	8	12	5	4	5	8	7	3	7	7	2	1	5
sediment_24	1	9	11	NA	11	9	8	8	10	6	5	6	10	9	7	5	7	10	4	10	6	4	2	8	7	0	4	4	0	1	4
sediment_25	3	11	14	11	NA	14	13	8	14	9	11	9	9	9	10	11	9	11	9	10	7	6	5	11	8	3	7	6	3	3	7
sediment_26	1	9	10	9	14	NA	11	10	15	12	12	11	9	13	12	11	9	10	8	14	6	7	5	8	5	1	4	5	2	1	6
sediment_27	3	8	9	8	13	11	NA	7	11	14	11	15	8	11	13	13	11	16	11	12	8	8	6	13	8	3	7	6	4	3	7
sediment_21	1	6	9	8	8	10	7	NA	11	7	6	9	10	8	7	6	11	10	5	9	7	5	3	6	6	2	6	7	1	0	6
sediment_20	3	10	12	10	14	15	11	11	NA	12	10	12	10	12	11	11	11	12	8	12	9	7	6	8	6	2	6	7	2	0	6
sediment_31	4	8	10	6	9	12	14	7	12	NA	14	14	7	12	13	12	10	13	11	14	6	7	8	8	7	3	7	6	3	1	5
sediment_28	4	10	10	5	11	12	11	6	10	14	NA	10	6	10	9	11	7	10	10	10	3	5	6	8	6	3	7	7	2	1	4
sediment_19	4	7	9	6	9	11	15	9	12	14	10	NA	8	15	13	13	13	15	10	16	8	10	8	10	9	4	7	9	4	2	8
sediment_29	1	6	10	10	9	9	8	10	10	7	6	8	NA	9	7	6	7	9	5	8	6	4	3	8	5	2	6	6	2	0	4
sediment_16	3	9	11	9	9	13	11	8	12	12	10	15	9	NA	15	18	12	17	8	23	7	10	8	9	10	4	11	9	4	2	6
sediment_30	3	7	8	7	10	12	13	7	11	13	9	13	7	15	NA	12	12	14	9	17	6	8	10	11	7	3	8	6	2	2	6
sediment_13	4	10	11	5	11	11	13	6	11	12	11	13	6	18	12	NA	11	16	11	17	6	9	13	15	12	4	11	12	6	3	6
sediment_18	3	5	8	7	9	9	11	11	11	10	7	13	7	12	12	11	NA	15	10	15	8	10	6	10	8	4	9	9	3	2	8
sediment_15	4	9	10	10	11	10	16	10	12	13	10	15	9	17	14	16	15	NA	11	19	9	11	9	14	11	4	14	11	3	4	9
sediment_14	3	7	8	4	9	8	11	5	8	11	10	10	5	8	9	11	10	11	NA	10	4	6	8	10	5	4	4	7	3	2	4
sediment_17	3	10	12	10	10	14	12	9	12	14	10	16	8	23	17	17	15	19	10	NA	6	13	12	12	9	3	10	8	3	2	7
sediment_12	2	4	5	6	7	6	8	7	9	6	3	8	6	7	6	6	8	9	4	6	NA	6	3	7	7	2	5	5	3	0	5
sediment_11	2	2	4	4	6	7	8	5	7	7	5	10	4	10	8	9	10	11	6	13	6	NA	6	9	7	2	5	6	4	1	5
sediment_7	3	4	5	2	5	5	6	3	6	8	6	8	3	8	10	13	6	9	8	12	3	6	NA	10	5	4	8	6	3	2	4
sediment_6	3	5	8	8	11	8	13	6	8	8	8	10	8	9	11	15	10	14	10	12	7	9	10	NA	11	5	9	10	5	3	7
sediment_8	3	4	7	7	8	5	8	6	6	7	6	9	5	10	7	12	8	11	5	9	7	7	5	11	NA	4	10	9	3	2	6
sediment_5	2	1	3	0	3	1	3	2	2	3	3	4	2	4	3	4	4	4	4	3	2	2	4	5	4	NA	3	4	2	2	4
sediment_9	3	5	7	4	7	4	7	6	6	7	7	7	6	11	8	11	9	14	4	10	5	5	8	9	10	3	NA	7	3	2	5
sediment_10	4	5	7	4	6	5	6	7	7	6	7	9	6	9	6	12	9	11	7	8	5	6	6	10	9	4	7	NA	5	2	5
sediment_4	1	0	2	0	3	2	4	1	2	3	2	4	2	4	2	6	3	3	3	3	3	4	3	5	3	2	3	5	NA	1	2
sediment_3	1	0	1	1	3	1	3	0	0	1	1	2	0	2	2	3	2	4	2	2	0	1	2	3	2	2	2	2	1	NA	3
sediment_1	2	2	5	4	7	6	7	6	6	5	4	8	4	6	6	6	8	9	4	7	5	5	4	7	6	4	5	5	2	3	NA
