final.id	id	sediment_1	sediment_11	sediment_12	sediment_13	sediment_15	sediment_16	sediment_17	sediment_18	sediment_19	sediment_20	sediment_21	sediment_23	sediment_24	sediment_25	sediment_26	sediment_27	sediment_29	sediment_30	sediment_31	sediment_6	sediment_8	sediment_9	sediment_14	sediment_28	sediment_32	sediment_3	sediment_7	sediment_10	sediment_4	sediment_33	sediment_5
COSQ_000000034	Acartia tonsa	COSQ_000000034	1.0000000000	0.9958371220	0.9874929641	9.784855e-01	1.0000000000	9.845210e-01	1.0000000000	0.987175179	0.996899225	1.0000000000	1.000000e+00	0.9880445032	1.0000000000	9.895994e-01	0.9973734479	1.0000000000	9.853819e-01	9.945648e-01	0.9943181818	0.9964525019	0.9920737963	0.968789193	0.0000000000	0.000000000	0.0000000000	0.000000000	0.0000000000	0.0000000000	0.000000000	0.000000000	0.000000000
COSQ_000000816	Acartia tonsa	COSQ_000000816	0.0000000000	0.0041628780	0.0041371158	1.641129e-02	0.0000000000	1.011184e-02	0.0000000000	0.009256954	0.003100775	0.0000000000	0.000000e+00	0.0115863569	0.0000000000	8.845344e-03	0.0010347023	0.0000000000	1.016704e-02	3.692058e-03	0.0056818182	0.0017730496	0.0052670115	0.024998504	0.0000000000	0.000000000	0.0000000000	0.000000000	0.0000000000	0.0000000000	0.000000000	0.000000000	0.000000000
COSQ_000005430	Acartia tonsa	COSQ_000005430	0.0000000000	0.0000000000	0.0000000000	2.794757e-03	0.0000000000	9.668603e-04	0.0000000000	0.001530667	0.000000000	0.0000000000	0.000000e+00	0.0000000000	0.0000000000	6.957603e-04	0.0004510241	0.0000000000	0.000000e+00	4.022526e-04	0.0000000000	0.0013799712	0.0012936611	0.000000000	0.0000000000	0.000000000	0.0000000000	0.000000000	0.0000000000	0.0000000000	0.000000000	0.000000000	0.000000000
COSQ_000005667	Acartia tonsa	COSQ_000005667	0.0000000000	0.0000000000	0.0000000000	0.000000e+00	0.0000000000	3.448276e-03	0.0000000000	0.000000000	0.000000000	0.0000000000	0.000000e+00	0.0000000000	0.0000000000	0.000000e+00	0.0000000000	0.0000000000	0.000000e+00	0.000000e+00	0.0000000000	0.0000000000	0.0000000000	0.000000000	0.0000000000	0.000000000	0.0000000000	0.000000000	0.0000000000	0.0000000000	0.000000000	0.000000000	0.000000000
COSQ_000010962	Acartia tonsa	COSQ_000010962	0.0000000000	0.0000000000	0.0000000000	1.077255e-03	0.0000000000	9.520736e-04	0.0000000000	0.001035197	0.000000000	0.0000000000	0.000000e+00	0.0003691399	0.0000000000	4.253289e-04	0.0005040857	0.0000000000	3.955171e-03	8.045052e-04	0.0000000000	0.0000000000	0.0007187006	0.004141909	0.0000000000	0.000000000	0.0000000000	0.000000000	0.0000000000	0.0000000000	0.000000000	0.000000000	0.000000000
COSQ_000014638	Acartia tonsa	COSQ_000014638	0.0000000000	0.0000000000	0.0011820331	0.000000e+00	0.0000000000	0.000000e+00	0.0000000000	0.000000000	0.000000000	0.0000000000	0.000000e+00	0.0000000000	0.0000000000	0.000000e+00	0.0000000000	0.0000000000	0.000000e+00	0.000000e+00	0.0000000000	0.0000000000	0.0000000000	0.000000000	0.0000000000	0.000000000	0.0000000000	0.000000000	0.0000000000	0.0000000000	0.000000000	0.000000000	0.000000000
COSQ_000047063	Acartia tonsa	COSQ_000047063	0.0000000000	0.0000000000	0.0000000000	0.000000e+00	0.0000000000	0.000000e+00	0.0000000000	0.001002004	0.000000000	0.0000000000	0.000000e+00	0.0000000000	0.0000000000	0.000000e+00	0.0000000000	0.0000000000	0.000000e+00	2.234737e-04	0.0000000000	0.0000000000	0.0000000000	0.000000000	0.0000000000	0.000000000	0.0000000000	0.000000000	0.0000000000	0.0000000000	0.000000000	0.000000000	0.000000000
COSQ_000048535	Acartia tonsa	COSQ_000048535	0.0000000000	0.0000000000	0.0071878870	1.231148e-03	0.0000000000	0.000000e+00	0.0000000000	0.000000000	0.000000000	0.0000000000	0.000000e+00	0.0000000000	0.0000000000	4.341965e-04	0.0006367399	0.0000000000	4.958678e-04	3.128631e-04	0.0000000000	0.0003944773	0.0002874802	0.000000000	0.0000000000	0.000000000	0.0000000000	0.000000000	0.0000000000	0.0000000000	0.000000000	0.000000000	0.000000000
COSQ_000109710	Acartia tonsa	COSQ_000109710	0.0000000000	0.0000000000	0.0000000000	0.000000e+00	0.0000000000	0.000000e+00	0.0000000000	0.000000000	0.000000000	0.0000000000	0.000000e+00	0.0000000000	0.0000000000	0.000000e+00	0.0000000000	0.0000000000	0.000000e+00	0.000000e+00	0.0000000000	0.0000000000	0.0003593503	0.002070393	0.0000000000	0.000000000	0.0000000000	0.000000000	0.0000000000	0.0000000000	0.000000000	0.000000000	0.000000000
COSQ_000105477	Acrochaetium humile	COSQ_000105477	0.0000000000	0.0000000000	0.0000000000	0.000000e+00	0.0000000000	1.000000e+00	0.0000000000	0.000000000	0.000000000	0.0000000000	0.000000e+00	0.0000000000	0.0000000000	0.000000e+00	0.0000000000	0.0000000000	1.000000e+00	1.000000e+00	0.0000000000	0.0000000000	0.0000000000	0.477777778	0.0000000000	0.000000000	0.0000000000	0.000000000	0.0000000000	0.0000000000	0.000000000	0.000000000	0.000000000
