Acartia tonsa
Acrochaetium humile
Ahnfeltia plicata
Alitta virens
Amphibalanus improvisus
Amphitrite figulus
Arenicola marina
Aurelia aurita
Aureococcus anophagefferens
Balanus balanus_crenatus
Baltidrilus costatus
Bathycoccus prasinos
Bathyporeia sarsi
Bonnemaisonia hamifera
Capitella teleta
Centropages hamatus
Ceramium virgatum
Cerastoderma glaucum
Chondrus crispus
Chorda filum
Clydonella sawyeri
Cyanea capillata
Cylindrotheca closterium
Dichromadora geophila
Dictyosiphon foeniculaceus
Dynamena pumila
Ecrobia ventrosa
Ectocarpus siliculosus
Ectocarpus subulatus synonym of Ectocarpus siliculosus
Elachista fucicola
Eudesme borealis
Fibrocapsa japonica
Fucus serratus
Gymnodinium catenatum
Halichondria panicea
Halidrys siliquosa
Harpacticus flexus
Haslea ostrearia
Hecatonema terminale
Heterocapsa rotundata
Hildenbrandia rubra
Hincksia granulosa
Kuckuckia spinosa
Laminaria digitata
Leathesia marina
Littorina littorea
Lumbricillus lineatus
Microspongium tenuissimum
Monocelis fusca
Monocorophium insidiosum
Monoposthia costata
Mya arenaria
Myriotrichia claviformis
Mytilus trossulus
Nannochloropsis gaditana
Nannochloropsis limnetica
Nassarius nitidus
Nephtys hombergii
Paracalanus parvus
Paranais litoralis
Paraonis fulgens
Parvamoeba rugata
Pellucidodinium psammophilum
Peringia ulvae
Polydora cornuta
Porphyra linearis_umbilicalis
Pycnococcus provasolii
Pylaiella littoralis
Ralfsia robertii
Rhizothrix minuta
Scytosiphon lomentaria
Skeletonema marinoi
Spisula subtruncata
Squamamoeba japonica
Tachidius discipes
Thalassiosira nordenskioeldii
Togula jolla
Trichotheristus mirabilis
Tubificoides benedii
Tubificoides pseudogaster
