"","water_33","water_32","water_23","water_24","water_25","water_26","water_27","water_21","water_20","water_31","water_28","water_19","water_29","water_16","water_30","water_13","water_18","water_15","water_14","water_17","water_12","water_11","water_7","water_6","water_8","water_5","water_9","water_10","water_4","water_3","water_1"
"water_33",0,0.100163383731927,0.109222065189081,0.23038745354289,0.0975321094410254,0.217755338243109,0.0282143102344665,0.125519843471435,0.0910709351249844,0.26311496306283,0.301822070810374,0.183385680917642,0.180925916431479,0.367584723875455,0.0626684587813621,0.251265850945495,0.259054827767008,0.386975878095544,0.0250896057347672,0.21501368125694,0.45681939356567,0.549814778946804,0.19290569768879,0.23649659839235,0.578009730576428,0.361983917198907,0.291822661366063,0.628710575139147,0,0.610000643797016,0.477046723837722
"water_32",0.100163383731927,0,0.0857084952463523,0.344340944721053,0.0927510990181376,0.194883874551273,0.0822683617973454,0.114090893914164,0.125065673382375,0.148352675853937,0.214109122815447,0.0764554989991861,0.136820509567696,0.263243371259972,0.101260835303389,0.0906413289525458,0.296216006777442,0.319356259338624,0.138980535279806,0.215887395521521,0.458098088747571,0.422084900568772,0.104470802919708,0.152897892010023,0.547303826662319,0.0457251234672225,0.127268470780417,0.5,0.253152088258472,0.712630236019562,0.634432619211482
"water_23",0.109222065189081,0.0857084952463523,0,0.207948282704834,0.0887837587410364,0.178765759730702,0.148996527469588,0.224308231249194,0.171692513916616,0.332572083977374,0.400312134217714,0.177544283551963,0.228242239136628,0.489492088380543,0.130948132286462,0.303832832751576,0.330930543284193,0.53008652460621,0.347517730496454,0.22968477882271,0.518061468788012,0.618325254580128,0.173758865248227,0.28282168576696,0.666129433586681,0.386319541024943,0.409685105233866,0.691756272401434,0.388888888888889,0.761470204545656,0.830963213418525
"water_24",0.23038745354289,0.344340944721053,0.207948282704834,0,0.14589108776479,0.37350690998623,0.226507337383202,0.0452960873592709,0.0694535445346478,0.483112287824087,0.436470207777509,0.121587721945033,0.0567676156056978,0.290937907334992,0.234031701842861,0.61057675039008,0.286077584893403,0.261195591473655,0.0240549828178695,0.240216629193324,0.254336360449341,0.333333333333333,0.756013745704467,0.35926165610497,0.55239870814524,0.110901071203529,0.564123468792162,0.552910052910053,NA,0.5,0.666666666666667
"water_25",0.0975321094410254,0.0927510990181376,0.0887837587410364,0.14589108776479,0,0.127135038213286,0.125872445084282,0.209130365330302,0.0892072682531055,0.285014680328072,0.313225733705644,0.138278522579583,0.057226448668202,0.283263233318666,0.153316355669057,0.225612873551018,0.266098923222028,0.4355136554625,0.0888030888030885,0.154797647599275,0.350968369680388,0.45822994210091,0,0.251629384089415,0.560356652949246,0.397941879915294,0.315859179853667,0.533653846153846,0.0376344086021508,0.596759655066865,0.558740157480315
"water_26",0.217755338243109,0.194883874551273,0.178765759730702,0.37350690998623,0.127135038213286,0,0.10778519596698,0.18324111742412,0.131125194731928,0.160751132591575,0.140258529965397,0.13450704600736,0.122953816132227,0.184748045188092,0.0811718018619586,0.0534536963272089,0.200445528553431,0.14222838262371,0.146492130367182,0.146543660203742,0.309872822698765,0.444906160826782,0.0767238270046401,0.120950073382217,0.319418917243324,0.191697649890442,0.250481062533096,0.363620062027575,0.0794775287460052,0.383629292031468,0.421315944859555
"water_27",0.0282143102344665,0.0822683617973454,0.148996527469588,0.226507337383202,0.125872445084282,0.10778519596698,0,0.0996694388236919,0.0712880863800077,0.158769969552079,0.17818624613047,0.0859206889404558,0.115248218238315,0.206797134824323,0.0509824959125943,0.08734448004396,0.270792237718957,0.126181083909325,0.0420576619478627,0.104057364216792,0.221823828710358,0.31321874870262,0.132036515852326,0.0667044288229327,0.373119786110276,0.0432602559731272,0.233071030014535,0.407014530633824,0.145084823313715,0.342691914232848,0.246478038583398
"water_21",0.125519843471435,0.114090893914164,0.224308231249194,0.0452960873592709,0.209130365330302,0.18324111742412,0.0996694388236919,0,0.0525795902112312,0.181334982147928,0.19189471336664,0.0986098715450535,0.0493900218360771,0.220325022681991,0.102257094426845,0.139052769521267,0.216132846410006,0.109195780169191,0.0784119199812962,0.152241826253874,0.167595049291928,0.214764707960244,0.167628319131928,0.135644455264389,0.356981995018687,0.0467073257798556,0.236408790323591,0.406204908426262,0.156615503377045,0.516151421033545,0.407804655048374
"water_20",0.0910709351249844,0.125065673382375,0.171692513916616,0.0694535445346478,0.0892072682531055,0.131125194731928,0.0712880863800077,0.0525795902112312,0,0.197342214146318,0.280205168780566,0.0331534794350018,0.0491534059558838,0.12070427847434,0.0977743920640017,0.160974139418346,0.124947081431748,0.0828679839633449,0.237008556638437,0.105219401900065,0.141824717495381,0.204230556247157,0.22597251395629,0.174358298208795,0.310751073877973,0.248774971235288,0.20749433355268,0.374869368419885,0.257737883635502,0.396628514756683,0.350917591722813
"water_31",0.26311496306283,0.148352675853937,0.332572083977374,0.483112287824087,0.285014680328072,0.160751132591575,0.158769969552079,0.181334982147928,0.197342214146318,0,0.262962354490432,0.11439666276449,0.22830501841924,0.175181386483302,0.0603012279638527,0.239543297043443,0.206364885836365,0.169923220658255,0.0389302949301287,0.0121050857599676,0.299362820198381,0.343253153697749,0.127781569449424,0.0390379067131885,0.3790569445945,0.121168409292608,0.0620182555780934,0.5,0.275226504921927,0.519520827508047,0.452777777777778
